Year,Municipality,Godine,UNIT_MEASURE,Spol,Value
2013,Banja Luka,Total,Broj,Oba spola,185042
2013,Banja Luka,Total,Broj,Muškarci,89148
2013,Banja Luka,Total,Broj,Žene,95894
2013,Banovići,Total,Broj,Oba spola,22773
2013,Banovići,Total,Broj,Muškarci,11392
2013,Banovići,Total,Broj,Žene,11381
2013,Berkovići,Total,Broj,Oba spola,2114
2013,Berkovići,Total,Broj,Muškarci,1059
2013,Berkovići,Total,Broj,Žene,1055
2013,Bihać,Total,Broj,Oba spola,56261
2013,Bihać,Total,Broj,Muškarci,27041
2013,Bihać,Total,Broj,Žene,29220
2013,Bijeljina,Total,Broj,Oba spola,107715
2013,Bijeljina,Total,Broj,Muškarci,52827
2013,Bijeljina,Total,Broj,Žene,54888
2013,Bileća,Total,Broj,Oba spola,10807
2013,Bileća,Total,Broj,Muškarci,5454
2013,Bileća,Total,Broj,Žene,5353
2013,Bosanska Krupa,Total,Broj,Oba spola,25545
2013,Bosanska Krupa,Total,Broj,Muškarci,12548
2013,Bosanska Krupa,Total,Broj,Žene,12997
2013,Bosanski Petrovac,Total,Broj,Oba spola,7328
2013,Bosanski Petrovac,Total,Broj,Muškarci,3678
2013,Bosanski Petrovac,Total,Broj,Žene,3650
2013,Bosansko Grahovo,Total,Broj,Oba spola,2449
2013,Bosansko Grahovo,Total,Broj,Muškarci,1287
2013,Bosansko Grahovo,Total,Broj,Žene,1162
2013,Bratunac,Total,Broj,Oba spola,20340
2013,Bratunac,Total,Broj,Muškarci,10091
2013,Bratunac,Total,Broj,Žene,10249
2013,Brčko,Total,Broj,Oba spola,83516
2013,Brčko,Total,Broj,Muškarci,41250
2013,Brčko,Total,Broj,Žene,42266
2013,Breza,Total,Broj,Oba spola,14168
2013,Breza,Total,Broj,Muškarci,6952
2013,Breza,Total,Broj,Žene,7216
2013,Brod,Total,Broj,Oba spola,16619
2013,Brod,Total,Broj,Muškarci,8143
2013,Brod,Total,Broj,Žene,8476
2013,Bugojno,Total,Broj,Oba spola,31470
2013,Bugojno,Total,Broj,Muškarci,15635
2013,Bugojno,Total,Broj,Žene,15835
2013,Busovača,Total,Broj,Oba spola,17910
2013,Busovača,Total,Broj,Muškarci,9134
2013,Busovača,Total,Broj,Žene,8776
2013,Bužim,Total,Broj,Oba spola,19340
2013,Bužim,Total,Broj,Muškarci,9885
2013,Bužim,Total,Broj,Žene,9455
2013,Cazin,Total,Broj,Oba spola,66149
2013,Cazin,Total,Broj,Muškarci,33072
2013,Cazin,Total,Broj,Žene,33077
