Year,Spol,Administrativna oblast,UNIT_MEASURE,Value
1998,Oba spola,BiH,Starosna dob,66.1
1999,Oba spola,BiH,Starosna dob,66.6
2000,Oba spola,BiH,Starosna dob,66.8
2001,Oba spola,BiH,Starosna dob,67.2
2002,Oba spola,BiH,Starosna dob,67.8
2003,Oba spola,BiH,Starosna dob,68.4
2004,Oba spola,BiH,Starosna dob,68.9
2005,Oba spola,BiH,Starosna dob,69.3
2006,Oba spola,BiH,Starosna dob,69.4
2007,Oba spola,BiH,Starosna dob,69.6
2008,Oba spola,BiH,Starosna dob,70.2
2009,Oba spola,BiH,Starosna dob,70.8
2010,Oba spola,BiH,Starosna dob,71.6
2011,Oba spola,BiH,Starosna dob,72.1
2012,Oba spola,BiH,Starosna dob,72.5
2013,Oba spola,BiH,Starosna dob,72.7
2014,Oba spola,BiH,Starosna dob,73.0
2015,Oba spola,BiH,Starosna dob,73.4
2016,Oba spola,BiH,Starosna dob,73.4
2017,Oba spola,BiH,Starosna dob,73.9
2018,Oba spola,BiH,Starosna dob,74.1
2019,Oba spola,BiH,Starosna dob,74.1
1961,M,BiH,Starosna dob,31.6
1971,M,BiH,Starosna dob,48.0
1998,M,BiH,Starosna dob,63.3
1999,M,BiH,Starosna dob,64.0
2000,M,BiH,Starosna dob,64.2
2001,M,BiH,Starosna dob,64.6
2002,M,BiH,Starosna dob,65.0
2003,M,BiH,Starosna dob,65.8
2004,M,BiH,Starosna dob,66.3
2005,M,BiH,Starosna dob,66.8
2006,M,BiH,Starosna dob,66.8
2007,M,BiH,Starosna dob,66.9
2008,M,BiH,Starosna dob,67.4
2009,M,BiH,Starosna dob,68.1
2010,M,BiH,Starosna dob,68.9
2011,M,BiH,Starosna dob,69.4
2012,M,BiH,Starosna dob,69.8
2013,M,BiH,Starosna dob,70.0
2014,M,BiH,Starosna dob,70.4
2015,M,BiH,Starosna dob,70.7
2016,M,BiH,Starosna dob,70.7
2017,M,BiH,Starosna dob,71.2
2018,M,BiH,Starosna dob,71.4
2019,M,BiH,Starosna dob,71.5
1961,Ž,BiH,Starosna dob,34.5
1971,Ž,BiH,Starosna dob,51.6
1998,Ž,BiH,Starosna dob,69.2
1999,Ž,BiH,Starosna dob,69.5
2000,Ž,BiH,Starosna dob,69.7
2001,Ž,BiH,Starosna dob,70.2
2002,Ž,BiH,Starosna dob,70.7
2003,Ž,BiH,Starosna dob,71.2
2004,Ž,BiH,Starosna dob,71.7
2005,Ž,BiH,Starosna dob,72.2
2006,Ž,BiH,Starosna dob,72.2
2007,Ž,BiH,Starosna dob,72.5
2008,Ž,BiH,Starosna dob,73.3
2009,Ž,BiH,Starosna dob,73.6
2010,Ž,BiH,Starosna dob,74.5
2011,Ž,BiH,Starosna dob,75.0
2012,Ž,BiH,Starosna dob,75.3
2013,Ž,BiH,Starosna dob,75.5
2014,Ž,BiH,Starosna dob,75.8
2015,Ž,BiH,Starosna dob,76.1
2016,Ž,BiH,Starosna dob,76.2
2017,Ž,BiH,Starosna dob,76.5
2018,Ž,BiH,Starosna dob,76.8
2019,Ž,BiH,Starosna dob,76.9
