Year,UNIT_MEASURE,Entitet,Value
1965,Broj,BiH,107.61
1970,Broj,BiH,107.0
1975,Broj,BiH,106.91
1980,Broj,BiH,106.81
1988,Broj,BiH,107.9
1989,Broj,BiH,105.4
1990,Broj,BiH,106.56
1991,Broj,BiH,105.61
1996,Broj,BiH,109.92
1997,Broj,BiH,109.51
1998,Broj,BiH,108.54
1999,Broj,BiH,103.88
2000,Broj,BiH,106.53
2001,Broj,BiH,105.91
2002,Broj,BiH,105.82
2003,Broj,BiH,108.44
2004,Broj,BiH,106.55
2005,Broj,BiH,105.75
2006,Broj,BiH,106.44
2007,Broj,BiH,107.56
2008,Broj,BiH,105.99
2009,Broj,BiH,108.77
2010,Broj,BiH,106.31
2011,Broj,BiH,108.19
2012,Broj,BiH,106.56
2013,Broj,BiH,106.64
2014,Broj,BiH,106.31
2015,Broj,BiH,105.85
2016,Broj,BiH,108.63
2017,Broj,BiH,107.9
2018,Broj,BiH,107.53
2019,Broj,BiH,109.24
1997,Broj,Federacija BiH,109.9
1998,Broj,Federacija BiH,107.98
1999,Broj,Federacija BiH,103.79
2000,Broj,Federacija BiH,106.55
2001,Broj,Federacija BiH,105.79
2002,Broj,Federacija BiH,105.42
2003,Broj,Federacija BiH,109.0
2004,Broj,Federacija BiH,106.52
2005,Broj,Federacija BiH,106.01
2006,Broj,Federacija BiH,107.81
2007,Broj,Federacija BiH,108.36
2008,Broj,Federacija BiH,104.83
2009,Broj,Federacija BiH,107.6
2010,Broj,Federacija BiH,106.84
2011,Broj,Federacija BiH,107.83
2012,Broj,Federacija BiH,108.1
2013,Broj,Federacija BiH,106.53
2014,Broj,Federacija BiH,105.05
2015,Broj,Federacija BiH,104.33
2016,Broj,Federacija BiH,108.19
2017,Broj,Federacija BiH,107.0
2018,Broj,Federacija BiH,106.39
2019,Broj,Federacija BiH,107.66
1996,Broj,Republika Srpska,108.02
1997,Broj,Republika Srpska,109.04
1998,Broj,Republika Srpska,109.85
1999,Broj,Republika Srpska,104.05
2000,Broj,Republika Srpska,106.5
2001,Broj,Republika Srpska,106.12
2002,Broj,Republika Srpska,106.6
2003,Broj,Republika Srpska,107.14
2004,Broj,Republika Srpska,107.86
2005,Broj,Republika Srpska,105.62
2006,Broj,Republika Srpska,103.44
2007,Broj,Republika Srpska,106.03
2008,Broj,Republika Srpska,106.6
2009,Broj,Republika Srpska,110.96
2010,Broj,Republika Srpska,104.45
2011,Broj,Republika Srpska,109.99
2012,Broj,Republika Srpska,104.09
2013,Broj,Republika Srpska,106.6
2014,Broj,Republika Srpska,107.95
2015,Broj,Republika Srpska,107.24
2016,Broj,Republika Srpska,109.07
2017,Broj,Republika Srpska,109.72
2018,Broj,Republika Srpska,109.5
2019,Broj,Republika Srpska,112.37
2002,Broj,Brčko Distrikt BiH,129.67
2003,Broj,Brčko Distrikt BiH,103.09
2004,Broj,Brčko Distrikt BiH,91.07
2005,Broj,Brčko Distrikt BiH,107.43
2006,Broj,Brčko Distrikt BiH,111.11
2007,Broj,Brčko Distrikt BiH,106.78
2008,Broj,Brčko Distrikt BiH,129.7
2009,Broj,Brčko Distrikt BiH,113.5
2010,Broj,Brčko Distrikt BiH,114.02
2011,Broj,Brčko Distrikt BiH,98.03
2012,Broj,Brčko Distrikt BiH,99.59
2013,Broj,Brčko Distrikt BiH,113.33
2014,Broj,Brčko Distrikt BiH,118.81
2015,Broj,Brčko Distrikt BiH,122.97
2016,Broj,Brčko Distrikt BiH,116.26
2017,Broj,Brčko Distrikt BiH,110.8
2018,Broj,Brčko Distrikt BiH,108.47
2019,Broj,Brčko Distrikt BiH,102.93
