Year,UNIT_MEASURE,SPOL,Entitet,Value
2004,Starost,Oba spola,BiH,37.8
2007,Starost,Oba spola,BiH,38.3
2011,Starost,Oba spola,BiH,39.7
2013,Starost,Oba spola,BiH,39.5
2015,Starost,Oba spola,BiH,41.9
2004,Starost,Oba spola,Federacija BiH,36.4
2007,Starost,Oba spola,Federacija BiH,37.0
2011,Starost,Oba spola,Federacija BiH,38.5
2013,Starost,Oba spola,Federacija BiH,38.5
2015,Starost,Oba spola,Federacija BiH,40.7
2004,Starost,Oba spola,Republika Srpska,40.1
2007,Starost,Oba spola,Republika Srpska,40.8
2011,Starost,Oba spola,Republika Srpska,42.0
2013,Starost,Oba spola,Republika Srpska,41.4
2015,Starost,Oba spola,Republika Srpska,44.4
2004,Starost,Oba spola,Brčko Distrikt BiH,38.3
2007,Starost,Oba spola,Brčko Distrikt BiH,39.5
2011,Starost,Oba spola,Brčko Distrikt BiH,40.4
2013,Starost,Oba spola,Brčko Distrikt BiH,39.7
2015,Starost,Oba spola,Brčko Distrikt BiH,40.8
2004,Starost,M,BiH,36.8
2007,Starost,M,BiH,37.2
2011,Starost,M,BiH,38.6
2013,Starost,M,BiH,38.2
2015,Starost,M,BiH,40.5
2004,Starost,M,Federacija BiH,35.6
2007,Starost,M,Federacija BiH,35.8
2011,Starost,M,Federacija BiH,37.6
2013,Starost,M,Federacija BiH,37.2
2015,Starost,M,Federacija BiH,39.2
2004,Starost,M,Republika Srpska,39.0
2007,Starost,M,Republika Srpska,39.6
2011,Starost,M,Republika Srpska,40.5
2013,Starost,M,Republika Srpska,40.0
2015,Starost,M,Republika Srpska,43.0
2004,Starost,M,Brčko Distrikt BiH,37.2
2007,Starost,M,Brčko Distrikt BiH,38.7
2011,Starost,M,Brčko Distrikt BiH,39.2
2013,Starost,M,Brčko Distrikt BiH,38.4
2015,Starost,M,Brčko Distrikt BiH,39.8
2004,Starost,Ž,BiH,38.7
2007,Starost,Ž,BiH,39.4
2011,Starost,Ž,BiH,40.8
2013,Starost,Ž,BiH,40.7
2015,Starost,Ž,BiH,43.3
2004,Starost,Ž,Federacija BiH,37.2
2007,Starost,Ž,Federacija BiH,38.1
2011,Starost,Ž,Federacija BiH,39.4
2013,Starost,Ž,Federacija BiH,39.7
2015,Starost,Ž,Federacija BiH,42.2
2004,Starost,Ž,Republika Srpska,41.1
2007,Starost,Ž,Republika Srpska,42.0
2011,Starost,Ž,Republika Srpska,43.6
2013,Starost,Ž,Republika Srpska,42.7
2015,Starost,Ž,Republika Srpska,45.7
2004,Starost,Ž,Brčko Distrikt BiH,39.3
2007,Starost,Ž,Brčko Distrikt BiH,40.2
2011,Starost,Ž,Brčko Distrikt BiH,41.7
2013,Starost,Ž,Brčko Distrikt BiH,40.9
2015,Starost,Ž,Brčko Distrikt BiH,41.7
