Year,Entity,UNIT_MEASURE,Value
1996,BiH,Broj,21107
1997,BiH,Broj,23220
1998,BiH,Broj,22398
1999,BiH,Broj,22472
2000,BiH,Broj,21897
2001,BiH,Broj,20302
2002,BiH,Broj,20122
2003,BiH,Broj,20733
2004,BiH,Broj,22252
2005,BiH,Broj,21698
2006,BiH,Broj,21501
2007,BiH,Broj,23494
2008,BiH,Broj,22151
2009,BiH,Broj,20633
2010,BiH,Broj,19541
2011,BiH,Broj,19156
2012,BiH,Broj,18235
2013,BiH,Broj,17623
2014,BiH,Broj,18643
2015,BiH,Broj,19686
2016,BiH,Broj,19265
2017,BiH,Broj,19969
2018,BiH,Broj,19911
2019,BiH,Broj,18952
1996,FBIH,Broj,14692
1997,FBIH,Broj,16061
1998,FBIH,Broj,14921
1999,FBIH,Broj,14285
2000,FBIH,Broj,13894
2001,FBIH,Broj,12758
2002,FBIH,Broj,12889
2003,FBIH,Broj,13102
2004,FBIH,Broj,13695
2005,FBIH,Broj,13620
2006,FBIH,Broj,13012
2007,FBIH,Broj,14808
2008,FBIH,Broj,14909
2009,FBIH,Broj,13670
2010,FBIH,Broj,12988
2011,FBIH,Broj,12589
2012,FBIH,Broj,12060
2013,FBIH,Broj,11381
2014,FBIH,Broj,11982
2015,FBIH,Broj,12972
2016,FBIH,Broj,12790
2017,FBIH,Broj,12994
2018,FBIH,Broj,13061
2019,FBIH,Broj,12266
1996,RS,Broj,6227
1997,RS,Broj,6889
1998,RS,Broj,7186
1999,RS,Broj,7893
2000,RS,Broj,7642
2001,RS,Broj,7179
2002,RS,Broj,7233
2003,RS,Broj,6769
2004,RS,Broj,7143
2005,RS,Broj,6810
2006,RS,Broj,6860
2007,RS,Broj,7093
2008,RS,Broj,6401
2009,RS,Broj,6131
2010,RS,Broj,5767
2011,RS,Broj,5802
2012,RS,Broj,5326
2013,RS,Broj,5467
2014,RS,Broj,5823
2015,RS,Broj,5895
2016,RS,Broj,5563
2017,RS,Broj,5954
2018,RS,Broj,5966
2019,RS,Broj,5822
2002,BD,Broj,644
2003,BD,Broj,655
2004,BD,Broj,782
2005,BD,Broj,669
2006,BD,Broj,673
2007,BD,Broj,712
2008,BD,Broj,680
2009,BD,Broj,670
2010,BD,Broj,618
2011,BD,Broj,613
2012,BD,Broj,703
2013,BD,Broj,622
2014,BD,Broj,663
2015,BD,Broj,670
2016,BD,Broj,653
2017,BD,Broj,718
2018,BD,Broj,632
2019,BD,Broj,599
