Year,UNIT_MEASURE,Godine,Spol,Municipality,Value
2013,Broj,Total,Oba spola,Banja Luka,185042
2013,Broj,Total,Oba spola,Banovići,22773
2013,Broj,Total,Oba spola,Berkovići,2114
2013,Broj,Total,Oba spola,Bihać,56261
2013,Broj,Total,Oba spola,Bijeljina,107715
2013,Broj,Total,Oba spola,Bileća,10807
2013,Broj,Total,Oba spola,Bosanska Krupa,25545
2013,Broj,Total,Oba spola,Bosanski Petrovac,7328
2013,Broj,Total,Oba spola,Bosansko Grahovo,2449
2013,Broj,Total,Oba spola,Bratunac,20340
2013,Broj,Total,Oba spola,Brčko,83516
2013,Broj,Total,Oba spola,Breza,14168
2013,Broj,Total,Oba spola,Brod,16619
2013,Broj,Total,Oba spola,Bugojno,31470
2013,Broj,Total,Oba spola,Busovača,17910
2013,Broj,Total,Oba spola,Bužim,19340
2013,Broj,Total,Oba spola,Cazin,66149
2013,Broj,Total,Oba spola,Sarajevo - Centar,55181
2013,Broj,Total,Oba spola,Čajniče,4895
2013,Broj,Total,Oba spola,Čapljina,26157
2013,Broj,Total,Oba spola,Čelić,10502
2013,Broj,Total,Oba spola,Čelinac,15548
2013,Broj,Total,Oba spola,Čitluk,18140
2013,Broj,Total,Oba spola,Derventa,27404
2013,Broj,Total,Oba spola,Doboj,71441
2013,Broj,Total,Oba spola,Doboj-Istok,10248
2013,Broj,Total,Oba spola,Doboj-Jug,4137
2013,Broj,Total,Oba spola,Dobretići,1629
2013,Broj,Total,Oba spola,Domaljevac-Šamac,4771
2013,Broj,Total,Oba spola,Donji Vakuf,13985
2013,Broj,Total,Oba spola,Donji Žabar,3809
2013,Broj,Total,Oba spola,Drvar,7036
2013,Broj,Total,Oba spola,Foča - FBIH,1933
2013,Broj,Total,Oba spola,Foča - RS,18288
2013,Broj,Total,Oba spola,Fojnica,12356
2013,Broj,Total,Oba spola,Gacko,8990
2013,Broj,Total,Oba spola,Glamoč,3860
2013,Broj,Total,Oba spola,Goražde,20897
2013,Broj,Total,Oba spola,Gornji Vakuf-Uskoplje,20933
2013,Broj,Total,Oba spola,Gračanica,45220
2013,Broj,Total,Oba spola,Gradačac,39340
2013,Broj,Total,Oba spola,Gradiška,51727
2013,Broj,Total,Oba spola,Grude,17308
2013,Broj,Total,Oba spola,Sarajevo - Hadžići,23891
2013,Broj,Total,Oba spola,Han Pijesak,3530
2013,Broj,Total,Oba spola,Sarajevo - Ilidža,66730
