Year,SPOL,BIRTHS,UNIT_MEASURE,Value
2020,Oba spola,LIVE_BIRTH,Broj,29511.0
2020,Oba spola,DEATHS,Broj,37517.0
2020,Oba spola,NATURAL_CHANGE,Broj,-8006.0
2025,Oba spola,LIVE_BIRTH,Broj,26090.0
2025,Oba spola,DEATHS,Broj,39013.0
2025,Oba spola,NATURAL_CHANGE,Broj,-12924.0
2030,Oba spola,LIVE_BIRTH,Broj,22815.0
2030,Oba spola,DEATHS,Broj,40539.0
2030,Oba spola,NATURAL_CHANGE,Broj,-17724.0
2035,Oba spola,LIVE_BIRTH,Broj,20041.0
2035,Oba spola,DEATHS,Broj,42144.0
2035,Oba spola,NATURAL_CHANGE,Broj,-22103.0
2040,Oba spola,LIVE_BIRTH,Broj,18095.0
2040,Oba spola,DEATHS,Broj,43514.0
2040,Oba spola,NATURAL_CHANGE,Broj,-25419.0
2045,Oba spola,LIVE_BIRTH,Broj,16461.0
2045,Oba spola,DEATHS,Broj,44097.0
2045,Oba spola,NATURAL_CHANGE,Broj,-27635.0
2050,Oba spola,LIVE_BIRTH,Broj,14955.0
2050,Oba spola,DEATHS,Broj,43537.0
2050,Oba spola,NATURAL_CHANGE,Broj,-28582.0
2055,Oba spola,LIVE_BIRTH,Broj,13510.0
2055,Oba spola,DEATHS,Broj,42130.0
2055,Oba spola,NATURAL_CHANGE,Broj,-28620.0
2060,Oba spola,LIVE_BIRTH,Broj,12120.0
2060,Oba spola,DEATHS,Broj,40129.0
2060,Oba spola,NATURAL_CHANGE,Broj,-28009.0
2065,Oba spola,LIVE_BIRTH,Broj,10861.0
2065,Oba spola,DEATHS,Broj,37783.0
2065,Oba spola,NATURAL_CHANGE,Broj,-26921.0
2070,Oba spola,LIVE_BIRTH,Broj,9813.0
2070,Oba spola,DEATHS,Broj,35279.0
2070,Oba spola,NATURAL_CHANGE,Broj,-25466.0
2020,M,LIVE_BIRTH,Broj,15198.1
2020,M,DEATHS,Broj,19067.38
2020,M,NATURAL_CHANGE,Broj,-3869.28
2025,M,LIVE_BIRTH,Broj,13436.14
2025,M,DEATHS,Broj,19749.42
2025,M,NATURAL_CHANGE,Broj,-6313.28
2030,M,LIVE_BIRTH,Broj,11749.71
2030,M,DEATHS,Broj,20415.9
2030,M,NATURAL_CHANGE,Broj,-8666.19
2035,M,LIVE_BIRTH,Broj,10321.36
2035,M,DEATHS,Broj,21109.52
2035,M,NATURAL_CHANGE,Broj,-10788.16
2040,M,LIVE_BIRTH,Broj,9318.9
2040,M,DEATHS,Broj,21636.31
2040,M,NATURAL_CHANGE,Broj,-12317.42
2045,M,LIVE_BIRTH,Broj,8477.6
2045,M,DEATHS,Broj,21687.35
2045,M,NATURAL_CHANGE,Broj,-13209.75
2050,M,LIVE_BIRTH,Broj,7701.99
2050,M,DEATHS,Broj,21195.41
2050,M,NATURAL_CHANGE,Broj,-13493.42
2055,M,LIVE_BIRTH,Broj,6957.74
2055,M,DEATHS,Broj,20338.32
2055,M,NATURAL_CHANGE,Broj,-13380.59
2060,M,LIVE_BIRTH,Broj,6241.95
2060,M,DEATHS,Broj,19207.75
2060,M,NATURAL_CHANGE,Broj,-12965.8
2065,M,LIVE_BIRTH,Broj,5593.5
2065,M,DEATHS,Broj,17838.31
2065,M,NATURAL_CHANGE,Broj,-12244.81
2070,M,LIVE_BIRTH,Broj,5053.93
2070,M,DEATHS,Broj,16375.72
2070,M,NATURAL_CHANGE,Broj,-11321.79
2020,Ž,LIVE_BIRTH,Broj,14312.78
2020,Ž,DEATHS,Broj,18449.39
2020,Ž,NATURAL_CHANGE,Broj,-4136.61
2025,Ž,LIVE_BIRTH,Broj,12653.45
2025,Ž,DEATHS,Broj,19263.68
2025,Ž,NATURAL_CHANGE,Broj,-6610.23
2030,Ž,LIVE_BIRTH,Broj,11065.26
2030,Ž,DEATHS,Broj,20122.9
2030,Ž,NATURAL_CHANGE,Broj,-9057.64
2035,Ž,LIVE_BIRTH,Broj,9720.12
2035,Ž,DEATHS,Broj,21034.49
2035,Ž,NATURAL_CHANGE,Broj,-11314.37
2040,Ž,LIVE_BIRTH,Broj,8776.05
2040,Ž,DEATHS,Broj,21877.98
2040,Ž,NATURAL_CHANGE,Broj,-13101.93
2045,Ž,LIVE_BIRTH,Broj,7983.76
2045,Ž,DEATHS,Broj,22409.28
2045,Ž,NATURAL_CHANGE,Broj,-14425.52
2050,Ž,LIVE_BIRTH,Broj,7253.33
2050,Ž,DEATHS,Broj,22341.66
2050,Ž,NATURAL_CHANGE,Broj,-15088.33
2055,Ž,LIVE_BIRTH,Broj,6552.43
2055,Ž,DEATHS,Broj,21791.64
2055,Ž,NATURAL_CHANGE,Broj,-15239.21
2060,Ž,LIVE_BIRTH,Broj,5878.35
2060,Ž,DEATHS,Broj,20921.08
2060,Ž,NATURAL_CHANGE,Broj,-15042.73
2065,Ž,LIVE_BIRTH,Broj,5267.66
2065,Ž,DEATHS,Broj,19944.35
2065,Ž,NATURAL_CHANGE,Broj,-14676.69
2070,Ž,LIVE_BIRTH,Broj,4759.53
2070,Ž,DEATHS,Broj,18903.51
2070,Ž,NATURAL_CHANGE,Broj,-14143.98
