Year,Spol,UNIT_MEASURE,Ethnicity_national_affiliation,Value
2013,Oba spola,Broj,Bosniak,1769592
2013,Oba spola,Broj,Serb,1086733
2013,Oba spola,Broj,Croat ,544780
2013,Oba spola,Broj,Bosnian,37110
2013,Oba spola,Broj,Romani,12583
2013,Oba spola,Broj,Muslim,12121
2013,Oba spola,Broj,Bosnian_and_Herzegovinian,11406
2013,Oba spola,Broj,Albanian,2659
2013,Oba spola,Broj,Yugoslav,2570
2013,Oba spola,Broj,Ukrainian,2331
2013,Oba spola,Broj,Montenegrin,1883
2013,Oba spola,Broj,Turk,1108
2013,Oba spola,Broj,Slovenian,937
2013,Oba spola,Broj,Orthodox,826
2013,Oba spola,Broj,Macedonian ,738
2013,Oba spola,Broj,Others,10267
2013,Oba spola,Broj,Undeclared,27055
2013,Oba spola,Broj,Unknown,6460
2013,M,Broj,Bosniak,867492
2013,M,Broj,Serb,534030
2013,M,Broj,Croat ,267789
2013,M,Broj,Bosnian,18135
2013,M,Broj,Romani,6511
2013,M,Broj,Muslim,5888
2013,M,Broj,Bosnian_and_Herzegovinian,5663
2013,M,Broj,Albanian,1646
2013,M,Broj,Yugoslav,1350
2013,M,Broj,Ukrainian,1146
2013,M,Broj,Montenegrin,953
2013,M,Broj,Turk,738
2013,M,Broj,Slovenian,366
2013,M,Broj,Orthodox,376
2013,M,Broj,Macedonian ,351
2013,M,Broj,Others,5171
2013,M,Broj,Undeclared,11503
2013,M,Broj,Unknown,3162
2013,Ž,Broj,Bosniak,902100
2013,Ž,Broj,Serb,552703
2013,Ž,Broj,Croat ,276991
2013,Ž,Broj,Bosnian,18975
2013,Ž,Broj,Romani,6072
2013,Ž,Broj,Muslim,6233
2013,Ž,Broj,Bosnian_and_Herzegovinian,5743
2013,Ž,Broj,Albanian,1013
2013,Ž,Broj,Yugoslav,1220
2013,Ž,Broj,Ukrainian,1185
2013,Ž,Broj,Montenegrin,930
2013,Ž,Broj,Turk,370
2013,Ž,Broj,Slovenian,571
2013,Ž,Broj,Orthodox,450
2013,Ž,Broj,Macedonian ,387
2013,Ž,Broj,Others,5096
2013,Ž,Broj,Undeclared,15552
2013,Ž,Broj,Unknown,3298
