Year,UNIT_MEASURE,Entity,Value
1999,Broj,BiH,1754
1999,Broj,RS,1754
2000,Broj,BiH,1716
2000,Broj,RS,1716
2001,Broj,BiH,1731
2001,Broj,RS,1731
2002,Broj,BiH,1786
2002,Broj,RS,1786
2003,Broj,BiH,1802
2003,Broj,RS,1802
2004,Broj,BiH,1838
2004,Broj,RS,1838
2005,Broj,BiH,5540
2005,Broj,FBIH,3683
2005,Broj,RS,1857
2006,Broj,BiH,5684
2006,Broj,FBIH,3767
2006,Broj,RS,1917
2007,Broj,BiH,5967
2007,Broj,FBIH,3979
2007,Broj,RS,1988
2008,Broj,BiH,6165
2008,Broj,FBIH,4117
2008,Broj,RS,2048
2009,Broj,BiH,6369
2009,Broj,FBIH,4268
2009,Broj,RS,2101
2010,Broj,BiH,6540
2010,Broj,FBIH,4355
2010,Broj,RS,2185
2011,Broj,BiH,6729
2011,Broj,FBIH,4443
2011,Broj,RS,2286
2012,Broj,BiH,6874
2012,Broj,FBIH,4519
2012,Broj,RS,2355
2013,Broj,BiH,7068
2013,Broj,FBIH,4625
2013,Broj,RS,2443
2014,Broj,BiH,7272
2014,Broj,FBIH,4801
2014,Broj,RS,2471
2015,Broj,BiH,7255
2015,Broj,FBIH,4764
2015,Broj,RS,2491
2016,Broj,BiH,7285
2016,Broj,FBIH,4755
2016,Broj,RS,2530
2017,Broj,BiH,7330
2017,Broj,FBIH,4810
2017,Broj,RS,2520
2018,Broj,BiH,7653
2018,Broj,FBIH,4922
2018,Broj,RS,2588
2019,Broj,BiH,5092
2019,Broj,FBIH,5092
2018,Broj,BD,143
