Year,UNIT_MEASURE,school_year,Spol,Value
2013,Broj,2011/2012,Oba spola,17293
2013,Broj,2012/2013,Oba spola,18817
2013,Broj,2013/2014,Oba spola,19880
2013,Broj,2014/2015,Oba spola,21490
2013,Broj,2015/2016,Oba spola,22901
2013,Broj,2016/2017,Oba spola,24918
2013,Broj,2017/2018,Oba spola,25889
2013,Broj,2018/2019,Oba spola,28511
2013,Broj,2019/2020,Oba spola,30587
2013,Broj,2020/2021,Oba spola,27698
2013,Broj,2011/2012,M,9082
2013,Broj,2012/2013,M,9859
2013,Broj,2013/2014,M,10497
2013,Broj,2014/2015,M,11200
2013,Broj,2015/2016,M,11918
2013,Broj,2016/2017,M,13086
2013,Broj,2017/2018,M,13436
2013,Broj,2018/2019,M,14855
2013,Broj,2019/2020,M,15857
2013,Broj,2020/2021,M,14477
2013,Broj,2011/2012,Ž,8211
2013,Broj,2012/2013,Ž,8958
2013,Broj,2013/2014,Ž,9383
2013,Broj,2014/2015,Ž,10290
2013,Broj,2015/2016,Ž,10983
2013,Broj,2016/2017,Ž,11832
2013,Broj,2017/2018,Ž,12453
2013,Broj,2018/2019,Ž,13656
2013,Broj,2019/2020,Ž,14730
2013,Broj,2020/2021,Ž,13221
