Year,UNIT_MEASURE,school_year_end,Type_of_school,Spol,Value
2013,Broj,2010/2011,_T,Oba spola,35349
2013,Broj,2011/2012,_T,Oba spola,34791
2013,Broj,2012/2013,_T,Oba spola,40630
2013,Broj,2013/2014,_T,Oba spola,43991
2013,Broj,2014/2015,_T,Oba spola,43318
2013,Broj,2015/2016,_T,Oba spola,35897
2013,Broj,2016/2017,_T,Oba spola,31761
2013,Broj,2017/2018,_T,Oba spola,32963
2013,Broj,2018/2019,_T,Oba spola,32540
2013,Broj,2019/2020,_T,Oba spola,31140
2013,Broj,2010/2011,gymnasium,Oba spola,8863
2013,Broj,2011/2012,gymnasium,Oba spola,8101
2013,Broj,2012/2013,gymnasium,Oba spola,9732
2013,Broj,2013/2014,gymnasium,Oba spola,10855
2013,Broj,2014/2015,gymnasium,Oba spola,11920
2013,Broj,2015/2016,gymnasium,Oba spola,9210
2013,Broj,2016/2017,gymnasium,Oba spola,7893
2013,Broj,2017/2018,gymnasium,Oba spola,7799
2013,Broj,2018/2019,gymnasium,Oba spola,7462
2013,Broj,2019/2020,gymnasium,Oba spola,7010
2013,Broj,2010/2011,technical_schools,Oba spola,17510
2013,Broj,2011/2012,technical_schools,Oba spola,16553
2013,Broj,2012/2013,technical_schools,Oba spola,19679
2013,Broj,2013/2014,technical_schools,Oba spola,21299
2013,Broj,2014/2015,technical_schools,Oba spola,21426
2013,Broj,2015/2016,technical_schools,Oba spola,18617
2013,Broj,2016/2017,technical_schools,Oba spola,15815
2013,Broj,2017/2018,technical_schools,Oba spola,16988
2013,Broj,2018/2019,technical_schools,Oba spola,17092
2013,Broj,2019/2020,technical_schools,Oba spola,16116
2013,Broj,2010/2011,art_schools,Oba spola,276
2013,Broj,2011/2012,art_schools,Oba spola,293
2013,Broj,2012/2013,art_schools,Oba spola,316
2013,Broj,2013/2014,art_schools,Oba spola,318
2013,Broj,2014/2015,art_schools,Oba spola,357
2013,Broj,2015/2016,art_schools,Oba spola,288
2013,Broj,2016/2017,art_schools,Oba spola,214
2013,Broj,2017/2018,art_schools,Oba spola,302
2013,Broj,2018/2019,art_schools,Oba spola,281
2013,Broj,2019/2020,art_schools,Oba spola,241
2013,Broj,2010/2011,religion_schools,Oba spola,447
2013,Broj,2011/2012,religion_schools,Oba spola,356
2013,Broj,2012/2013,religion_schools,Oba spola,460
2013,Broj,2013/2014,religion_schools,Oba spola,517
2013,Broj,2014/2015,religion_schools,Oba spola,602
2013,Broj,2015/2016,religion_schools,Oba spola,503
2013,Broj,2016/2017,religion_schools,Oba spola,476
2013,Broj,2017/2018,religion_schools,Oba spola,530
2013,Broj,2018/2019,religion_schools,Oba spola,553
