Year,UNIT_MEASURE,Value
1997,BAM,6752
1998,BAM,7650
1999,BAM,8604
2000,BAM,9611
2001,BAM,10480
2002,BAM,11651
2003,BAM,12303
2004,BAM,13497
2005,BAM,17649
2006,BAM,20056
2007,BAM,22548
2008,BAM,25519
2009,BAM,24799
2010,BAM,25365
2011,BAM,26231
2012,BAM,26223
2013,BAM,26779
2014,BAM,27358
2015,BAM,28589
2016,BAM,29905
2017,BAM,31377
2018,BAM,33445
2019,BAM,35295
1997,EUR,3424
1998,EUR,3879
1999,EUR,4399
2000,EUR,4914
2001,EUR,5358
2002,EUR,5957
2003,EUR,6291
2004,EUR,6901
2005,EUR,9025
2006,EUR,10255
2007,EUR,11529
2008,EUR,13048
2009,EUR,12679
2010,EUR,12969
2011,EUR,13412
2012,EUR,13408
2013,EUR,13692
2014,EUR,13989
2015,EUR,14618
2016,EUR,15290
2017,EUR,16043
2018,EUR,17100
2019,EUR,18047
1997,USD,3894
1998,USD,4343
1999,USD,4691
2000,USD,4536
2001,USD,4795
2002,USD,5610
2003,USD,7097
2004,USD,8567
2005,USD,11221
2006,USD,12865
2007,USD,15773
2008,USD,19093
2009,USD,17628
2010,USD,17174
2011,USD,18655
2012,USD,17222
2013,USD,18173
2014,USD,18566
2015,USD,16220
2016,USD,16914
2017,USD,18079
2018,USD,20177
2019,USD,20201
