Year,UNIT_MEASURE,Admin. podrucje,Value
2004,% od ukupno,BiH,18.1
2007,% od ukupno,BiH,18.4
2011,% od ukupno,BiH,17.2
2015,% od ukupno,BiH,16.5
2004,% od ukupno,Federacija BiH,18.3
2007,% od ukupno,Federacija BiH,16.3
2011,% od ukupno,Federacija BiH,16.0
2015,% od ukupno,Federacija BiH,16.0
2004,% od ukupno,Republika Srpska,18.3
2007,% od ukupno,Republika Srpska,21.7
2011,% od ukupno,Republika Srpska,19.6
2015,% od ukupno,Republika Srpska,17.4
2004,% od ukupno,Brčko distrikt BiH,7.8
2007,% od ukupno,Brčko distrikt BiH,23.6
2011,% od ukupno,Brčko distrikt BiH,12.2
2015,% od ukupno,Brčko distrikt BiH,15.9
