Year,UNIT_MEASURE,Spol,Admin. podrucje,Vitalna statistika,Value
1996,Broj,Oba spola,BiH,Živorođeni,46594
1997,Broj,Oba spola,BiH,Živorođeni,48397
1998,Broj,Oba spola,BiH,Živorođeni,45007
1999,Broj,Oba spola,BiH,Živorođeni,42464
2000,Broj,Oba spola,BiH,Živorođeni,39563
2001,Broj,Oba spola,BiH,Živorođeni,37717
2002,Broj,Oba spola,BiH,Živorođeni,35587
2003,Broj,Oba spola,BiH,Živorođeni,35234
2004,Broj,Oba spola,BiH,Živorođeni,35151
2005,Broj,Oba spola,BiH,Živorođeni,34627
2006,Broj,Oba spola,BiH,Živorođeni,34033
2007,Broj,Oba spola,BiH,Živorođeni,33835
2008,Broj,Oba spola,BiH,Živorođeni,34176
2009,Broj,Oba spola,BiH,Živorođeni,34550
2010,Broj,Oba spola,BiH,Živorođeni,33528
2011,Broj,Oba spola,BiH,Živorođeni,31811
2012,Broj,Oba spola,BiH,Živorođeni,32547
2013,Broj,Oba spola,BiH,Živorođeni,30684
2014,Broj,Oba spola,BiH,Živorođeni,30268
2015,Broj,Oba spola,BiH,Živorođeni,29770
2016,Broj,Oba spola,BiH,Živorođeni,30183
2017,Broj,Oba spola,BiH,Živorođeni,30200
2018,Broj,Oba spola,BiH,Živorođeni,29467
2019,Broj,Oba spola,BiH,Živorođeni,28360
1996,Broj,M,BiH,Živorođeni,24398
1997,Broj,M,BiH,Živorođeni,25297
1998,Broj,M,BiH,Živorođeni,23425
1999,Broj,M,BiH,Živorođeni,21636
2000,Broj,M,BiH,Živorođeni,20407
2001,Broj,M,BiH,Živorođeni,19400
2002,Broj,M,BiH,Živorođeni,18297
2003,Broj,M,BiH,Živorođeni,18330
2004,Broj,M,BiH,Živorođeni,18133
2005,Broj,M,BiH,Živorođeni,17797
2006,Broj,M,BiH,Živorođeni,17547
2007,Broj,M,BiH,Živorođeni,17534
2008,Broj,M,BiH,Živorođeni,17585
2009,Broj,M,BiH,Živorođeni,18001
2010,Broj,M,BiH,Živorođeni,17277
2011,Broj,M,BiH,Živorođeni,16531
2012,Broj,M,BiH,Živorođeni,16790
2013,Broj,M,BiH,Živorođeni,15835
2014,Broj,M,BiH,Živorođeni,15597
2015,Broj,M,BiH,Živorođeni,15308
2016,Broj,M,BiH,Živorođeni,15716
2017,Broj,M,BiH,Živorođeni,15674
2018,Broj,M,BiH,Živorođeni,15268
2019,Broj,M,BiH,Živorođeni,14806
1996,Broj,Ž,BiH,Živorođeni,22196
1997,Broj,Ž,BiH,Živorođeni,23100
1998,Broj,Ž,BiH,Živorođeni,21582
1999,Broj,Ž,BiH,Živorođeni,20828
2000,Broj,Ž,BiH,Živorođeni,19156
2001,Broj,Ž,BiH,Živorođeni,18317
2002,Broj,Ž,BiH,Živorođeni,17290
2003,Broj,Ž,BiH,Živorođeni,16904
2004,Broj,Ž,BiH,Živorođeni,17018
2005,Broj,Ž,BiH,Živorođeni,16830
2006,Broj,Ž,BiH,Živorođeni,16486
2007,Broj,Ž,BiH,Živorođeni,16301
2008,Broj,Ž,BiH,Živorođeni,16591
2009,Broj,Ž,BiH,Živorođeni,16549
2010,Broj,Ž,BiH,Živorođeni,16251
2011,Broj,Ž,BiH,Živorođeni,15280
2012,Broj,Ž,BiH,Živorođeni,15757
2013,Broj,Ž,BiH,Živorođeni,14849
2014,Broj,Ž,BiH,Živorođeni,14671
2015,Broj,Ž,BiH,Živorođeni,14462
2016,Broj,Ž,BiH,Živorođeni,14467
2017,Broj,Ž,BiH,Živorođeni,14526
2018,Broj,Ž,BiH,Živorođeni,14199
2019,Broj,Ž,BiH,Živorođeni,13554
1996,Broj,Oba spola,BiH,Smrtni slučajevi,25152
1997,Broj,Oba spola,BiH,Smrtni slučajevi,27875
1998,Broj,Oba spola,BiH,Smrtni slučajevi,28679
1999,Broj,Oba spola,BiH,Smrtni slučajevi,28637
2000,Broj,Oba spola,BiH,Smrtni slučajevi,30482
2001,Broj,Oba spola,BiH,Smrtni slučajevi,30325
2002,Broj,Oba spola,BiH,Smrtni slučajevi,30155
2003,Broj,Oba spola,BiH,Smrtni slučajevi,31757
2004,Broj,Oba spola,BiH,Smrtni slučajevi,32616
2005,Broj,Oba spola,BiH,Smrtni slučajevi,34402
2006,Broj,Oba spola,BiH,Smrtni slučajevi,33221
2007,Broj,Oba spola,BiH,Smrtni slučajevi,35044
2008,Broj,Oba spola,BiH,Smrtni slučajevi,34026
2009,Broj,Oba spola,BiH,Smrtni slučajevi,34904
2010,Broj,Oba spola,BiH,Smrtni slučajevi,35118
2011,Broj,Oba spola,BiH,Smrtni slučajevi,35028
2012,Broj,Oba spola,BiH,Smrtni slučajevi,35817
2013,Broj,Oba spola,BiH,Smrtni slučajevi,35662
2014,Broj,Oba spola,BiH,Smrtni slučajevi,35980
2015,Broj,Oba spola,BiH,Smrtni slučajevi,38150
2016,Broj,Oba spola,BiH,Smrtni slučajevi,36571
2017,Broj,Oba spola,BiH,Smrtni slučajevi,37979
2018,Broj,Oba spola,BiH,Smrtni slučajevi,37744
2019,Broj,Oba spola,BiH,Smrtni slučajevi,38829
1996,Broj,M,BiH,Smrtni slučajevi,13952
1997,Broj,M,BiH,Smrtni slučajevi,15184
1998,Broj,M,BiH,Smrtni slučajevi,15303
1999,Broj,M,BiH,Smrtni slučajevi,15161
2000,Broj,M,BiH,Smrtni slučajevi,16058
2001,Broj,M,BiH,Smrtni slučajevi,16202
2002,Broj,M,BiH,Smrtni slučajevi,15647
2003,Broj,M,BiH,Smrtni slučajevi,16590
2004,Broj,M,BiH,Smrtni slučajevi,16780
2005,Broj,M,BiH,Smrtni slučajevi,18018
2006,Broj,M,BiH,Smrtni slučajevi,17308
2007,Broj,M,BiH,Smrtni slučajevi,18154
2008,Broj,M,BiH,Smrtni slučajevi,17687
2009,Broj,M,BiH,Smrtni slučajevi,17884
2010,Broj,M,BiH,Smrtni slučajevi,17900
2011,Broj,M,BiH,Smrtni slučajevi,17965
2012,Broj,M,BiH,Smrtni slučajevi,18436
2013,Broj,M,BiH,Smrtni slučajevi,18217
2014,Broj,M,BiH,Smrtni slučajevi,18360
2015,Broj,M,BiH,Smrtni slučajevi,19219
2016,Broj,M,BiH,Smrtni slučajevi,18542
2017,Broj,M,BiH,Smrtni slučajevi,19186
2018,Broj,M,BiH,Smrtni slučajevi,19007
2019,Broj,M,BiH,Smrtni slučajevi,19042
1996,Broj,Ž,BiH,Smrtni slučajevi,11200
1997,Broj,Ž,BiH,Smrtni slučajevi,12691
1998,Broj,Ž,BiH,Smrtni slučajevi,13376
1999,Broj,Ž,BiH,Smrtni slučajevi,13476
2000,Broj,Ž,BiH,Smrtni slučajevi,14424
2001,Broj,Ž,BiH,Smrtni slučajevi,14123
2002,Broj,Ž,BiH,Smrtni slučajevi,14508
2003,Broj,Ž,BiH,Smrtni slučajevi,15167
2004,Broj,Ž,BiH,Smrtni slučajevi,15836
2005,Broj,Ž,BiH,Smrtni slučajevi,16384
2006,Broj,Ž,BiH,Smrtni slučajevi,15913
2007,Broj,Ž,BiH,Smrtni slučajevi,16890
2008,Broj,Ž,BiH,Smrtni slučajevi,16339
2009,Broj,Ž,BiH,Smrtni slučajevi,17020
2010,Broj,Ž,BiH,Smrtni slučajevi,17218
2011,Broj,Ž,BiH,Smrtni slučajevi,17063
2012,Broj,Ž,BiH,Smrtni slučajevi,17381
2013,Broj,Ž,BiH,Smrtni slučajevi,17445
2014,Broj,Ž,BiH,Smrtni slučajevi,17620
