Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,SPOL,Entitet,Value
1971,%,total_support_ratio,Oba spola,BiH,65.4
1971,%,total_support_ratio,M,BiH,67.9
1971,%,total_support_ratio,Ž,BiH,63.0
1981,%,total_support_ratio,Oba spola,BiH,52.3
1981,%,total_support_ratio,M,BiH,53.0
1981,%,total_support_ratio,Ž,BiH,51.6
1991,%,total_support_ratio,Oba spola,BiH,48.3
1991,%,total_support_ratio,M,BiH,46.8
1991,%,total_support_ratio,Ž,BiH,49.7
2013,%,total_support_ratio,Oba spola,BiH,42.1
2013,%,total_support_ratio,M,BiH,39.2
2013,%,total_support_ratio,Ž,BiH,44.9
1971,%,young_age_support_ratio,Oba spola,BiH,57.0
1971,%,young_age_support_ratio,M,BiH,60.2
1971,%,young_age_support_ratio,Ž,BiH,53.9
1981,%,young_age_support_ratio,Oba spola,BiH,42.5
1981,%,young_age_support_ratio,M,BiH,44.5
1981,%,young_age_support_ratio,Ž,BiH,40.6
1991,%,young_age_support_ratio,Oba spola,BiH,35.6
1991,%,young_age_support_ratio,M,BiH,36.6
1991,%,young_age_support_ratio,Ž,BiH,34.6
2013,%,young_age_support_ratio,Oba spola,BiH,21.9
2013,%,young_age_support_ratio,M,BiH,22.4
2013,%,young_age_support_ratio,Ž,BiH,21.3
1971,%,old_age_support_ratio,Oba spola,BiH,8.4
1971,%,old_age_support_ratio,M,BiH,7.7
1971,%,old_age_support_ratio,Ž,BiH,9.1
1981,%,old_age_support_ratio,Oba spola,BiH,9.8
1981,%,old_age_support_ratio,M,BiH,8.5
1981,%,old_age_support_ratio,Ž,BiH,11.0
1991,%,old_age_support_ratio,Oba spola,BiH,12.7
1991,%,old_age_support_ratio,M,BiH,10.1
1991,%,old_age_support_ratio,Ž,BiH,15.2
2013,%,old_age_support_ratio,Oba spola,BiH,20.2
2013,%,old_age_support_ratio,M,BiH,16.8
2013,%,old_age_support_ratio,Ž,BiH,23.6
1971,%,older_persons_to_youth_ratio,Oba spola,BiH,14.8
1971,%,older_persons_to_youth_ratio,M,BiH,12.8
1971,%,older_persons_to_youth_ratio,Ž,BiH,16.9
1981,%,older_persons_to_youth_ratio,Oba spola,BiH,23.1
1981,%,older_persons_to_youth_ratio,M,BiH,19.2
1981,%,older_persons_to_youth_ratio,Ž,BiH,27.2
1991,%,older_persons_to_youth_ratio,Oba spola,BiH,35.6
1991,%,older_persons_to_youth_ratio,M,BiH,27.7
1991,%,older_persons_to_youth_ratio,Ž,BiH,43.8
2013,%,older_persons_to_youth_ratio,Oba spola,BiH,92.3
2013,%,older_persons_to_youth_ratio,M,BiH,75.0
2013,%,older_persons_to_youth_ratio,Ž,BiH,110.6
2013,%,total_support_ratio,Oba spola,Federacija BiH,40.8
2013,%,total_support_ratio,M,Federacija BiH,38.4
2013,%,total_support_ratio,Ž,Federacija BiH,43.1
2013,%,young_age_support_ratio,Oba spola,Federacija BiH,22.6
2013,%,young_age_support_ratio,M,Federacija BiH,23.3
2013,%,young_age_support_ratio,Ž,Federacija BiH,22.0
2013,%,old_age_support_ratio,Oba spola,Federacija BiH,18.1
2013,%,old_age_support_ratio,M,Federacija BiH,15.1
2013,%,old_age_support_ratio,Ž,Federacija BiH,21.1
2013,%,older_persons_to_youth_ratio,Oba spola,Federacija BiH,80.1
2013,%,older_persons_to_youth_ratio,M,Federacija BiH,65.0
2013,%,older_persons_to_youth_ratio,Ž,Federacija BiH,96.1
2013,%,total_support_ratio,Oba spola,Republika Srpska,44.4
2013,%,total_support_ratio,M,Republika Srpska,40.6
2013,%,total_support_ratio,Ž,Republika Srpska,48.2
2013,%,young_age_support_ratio,Oba spola,Republika Srpska,20.4
2013,%,young_age_support_ratio,M,Republika Srpska,20.8
2013,%,young_age_support_ratio,Ž,Republika Srpska,20.1
2013,%,old_age_support_ratio,Oba spola,Republika Srpska,24.0
2013,%,old_age_support_ratio,M,Republika Srpska,19.8
2013,%,old_age_support_ratio,Ž,Republika Srpska,28.2
2013,%,older_persons_to_youth_ratio,Oba spola,Republika Srpska,117.4
2013,%,older_persons_to_youth_ratio,M,Republika Srpska,95.6
2013,%,older_persons_to_youth_ratio,Ž,Republika Srpska,140.3
2013,%,total_support_ratio,Oba spola,Brčko Distrikt BiH,43.3
2013,%,total_support_ratio,M,Brčko Distrikt BiH,40.6
2013,%,total_support_ratio,Ž,Brčko Distrikt BiH,46.0
2013,%,young_age_support_ratio,Oba spola,Brčko Distrikt BiH,22.4
2013,%,young_age_support_ratio,M,Brčko Distrikt BiH,23.3
2013,%,young_age_support_ratio,Ž,Brčko Distrikt BiH,21.6
2013,%,old_age_support_ratio,Oba spola,Brčko Distrikt BiH,20.8
2013,%,old_age_support_ratio,M,Brčko Distrikt BiH,17.3
2013,%,old_age_support_ratio,Ž,Brčko Distrikt BiH,24.4
2013,%,older_persons_to_youth_ratio,Oba spola,Brčko Distrikt BiH,92.8
2013,%,older_persons_to_youth_ratio,M,Brčko Distrikt BiH,74.5
2013,%,older_persons_to_youth_ratio,Ž,Brčko Distrikt BiH,112.7
