Year,UNIT_MEASURE,Administrativna oblast,Value
1971,Starosna dob,BiH,22.2
1981,Starosna dob,BiH,23.0
2004,Starosna dob,BiH,24.34
2005,Starosna dob,BiH,24.41
2006,Starosna dob,BiH,24.51
2007,Starosna dob,BiH,24.76
2008,Starosna dob,BiH,24.94
2009,Starosna dob,BiH,25.25
2010,Starosna dob,BiH,25.87
2011,Starosna dob,BiH,26.25
2012,Starosna dob,BiH,26.45
2013,Starosna dob,BiH,26.69
2014,Starosna dob,BiH,26.97
2015,Starosna dob,BiH,27.17
2016,Starosna dob,BiH,26.96
2017,Starosna dob,BiH,27.28
2018,Starosna dob,BiH,27.4
2019,Starosna dob,BiH,27.68
