Year,UNIT_MEASURE,Admin. podrucje,Value
1965,Dječaci na 100 djevojčica,BiH,107.61
1970,Dječaci na 100 djevojčica,BiH,107.0
1975,Dječaci na 100 djevojčica,BiH,106.91
1980,Dječaci na 100 djevojčica,BiH,106.81
1988,Dječaci na 100 djevojčica,BiH,107.9
1989,Dječaci na 100 djevojčica,BiH,105.4
1990,Dječaci na 100 djevojčica,BiH,106.56
1991,Dječaci na 100 djevojčica,BiH,105.61
1996,Dječaci na 100 djevojčica,BiH,109.92
1997,Dječaci na 100 djevojčica,BiH,109.51
1998,Dječaci na 100 djevojčica,BiH,108.54
1999,Dječaci na 100 djevojčica,BiH,103.88
2000,Dječaci na 100 djevojčica,BiH,106.53
2001,Dječaci na 100 djevojčica,BiH,105.91
2002,Dječaci na 100 djevojčica,BiH,105.82
2003,Dječaci na 100 djevojčica,BiH,108.44
2004,Dječaci na 100 djevojčica,BiH,106.55
2005,Dječaci na 100 djevojčica,BiH,105.75
2006,Dječaci na 100 djevojčica,BiH,106.44
2007,Dječaci na 100 djevojčica,BiH,107.56
2008,Dječaci na 100 djevojčica,BiH,105.99
2009,Dječaci na 100 djevojčica,BiH,108.77
2010,Dječaci na 100 djevojčica,BiH,106.31
2011,Dječaci na 100 djevojčica,BiH,108.19
2012,Dječaci na 100 djevojčica,BiH,106.56
2013,Dječaci na 100 djevojčica,BiH,106.64
2014,Dječaci na 100 djevojčica,BiH,106.31
2015,Dječaci na 100 djevojčica,BiH,105.85
2016,Dječaci na 100 djevojčica,BiH,108.63
2017,Dječaci na 100 djevojčica,BiH,107.9
2018,Dječaci na 100 djevojčica,BiH,107.53
2019,Dječaci na 100 djevojčica,BiH,109.24
1997,Dječaci na 100 djevojčica,Federacija BiH,109.9
1998,Dječaci na 100 djevojčica,Federacija BiH,107.98
1999,Dječaci na 100 djevojčica,Federacija BiH,103.79
2000,Dječaci na 100 djevojčica,Federacija BiH,106.55
2001,Dječaci na 100 djevojčica,Federacija BiH,105.79
