Year,Spol,Admin. podrucje,UNIT_MEASURE,Value
1996,M,BiH,Starosna dob,27.7
1997,M,BiH,Starosna dob,28.0
1998,M,BiH,Starosna dob,27.9
1999,M,BiH,Starosna dob,27.8
2000,M,BiH,Starosna dob,27.8
2001,M,BiH,Starosna dob,27.8
2002,M,BiH,Starosna dob,27.8
2003,M,BiH,Starosna dob,28.1
2004,M,BiH,Starosna dob,28.0
2005,M,BiH,Starosna dob,28.1
2006,M,BiH,Starosna dob,28.3
2007,M,BiH,Starosna dob,28.3
2008,M,BiH,Starosna dob,28.3
2009,M,BiH,Starosna dob,28.3
2010,M,BiH,Starosna dob,28.9
2011,M,BiH,Starosna dob,29.1
2012,M,BiH,Starosna dob,29.3
2013,M,BiH,Starosna dob,29.6
2014,M,BiH,Starosna dob,29.6
2015,M,BiH,Starosna dob,29.5
2016,M,BiH,Starosna dob,29.4
2017,M,BiH,Starosna dob,29.5
2018,M,BiH,Starosna dob,29.7
2019,M,BiH,Starosna dob,29.5
1996,Ž,BiH,Starosna dob,24.2
1997,Ž,BiH,Starosna dob,24.3
1998,Ž,BiH,Starosna dob,24.3
1999,Ž,BiH,Starosna dob,24.3
2000,Ž,BiH,Starosna dob,24.2
2001,Ž,BiH,Starosna dob,24.2
2002,Ž,BiH,Starosna dob,24.3
2003,Ž,BiH,Starosna dob,24.6
2004,Ž,BiH,Starosna dob,24.5
2005,Ž,BiH,Starosna dob,24.6
2006,Ž,BiH,Starosna dob,24.9
2007,Ž,BiH,Starosna dob,24.9
2008,Ž,BiH,Starosna dob,24.9
2009,Ž,BiH,Starosna dob,24.8
2010,Ž,BiH,Starosna dob,25.7
2011,Ž,BiH,Starosna dob,25.9
2012,Ž,BiH,Starosna dob,26.1
2013,Ž,BiH,Starosna dob,26.4
2014,Ž,BiH,Starosna dob,26.4
2015,Ž,BiH,Starosna dob,26.4
2016,Ž,BiH,Starosna dob,26.4
2017,Ž,BiH,Starosna dob,26.6
2018,Ž,BiH,Starosna dob,27.1
2019,Ž,BiH,Starosna dob,26.8
1996,M,Federacija BiH,Starosna dob,27.7
1997,M,Federacija BiH,Starosna dob,27.4
1998,M,Federacija BiH,Starosna dob,27.4
1999,M,Federacija BiH,Starosna dob,27.5
2000,M,Federacija BiH,Starosna dob,27.6
2001,M,Federacija BiH,Starosna dob,27.6
2002,M,Federacija BiH,Starosna dob,27.7
2003,M,Federacija BiH,Starosna dob,27.7
2004,M,Federacija BiH,Starosna dob,27.8
2005,M,Federacija BiH,Starosna dob,27.8
2006,M,Federacija BiH,Starosna dob,27.9
2007,M,Federacija BiH,Starosna dob,27.9
2008,M,Federacija BiH,Starosna dob,28.1
2009,M,Federacija BiH,Starosna dob,28.1
2010,M,Federacija BiH,Starosna dob,28.6
