Year,UNIT_MEASURE,Entitet,Value
1971,Broj,BIH,15.4
1972,Broj,BIH,14.5
1973,Broj,BIH,13.7
1974,Broj,BIH,13.8
1975,Broj,BIH,13.4
1976,Broj,BIH,13.4
1977,Broj,BIH,12.4
1978,Broj,BIH,11.4
1979,Broj,BIH,10.9
1980,Broj,BIH,10.9
1981,Broj,BIH,10.8
1982,Broj,BIH,11.2
1983,Broj,BIH,10.6
1984,Broj,BIH,10.8
1985,Broj,BIH,10.4
1986,Broj,BIH,9.9
1987,Broj,BIH,9.7
1988,Broj,BIH,9.6
1989,Broj,BIH,8.4
1990,Broj,BIH,8.7
1991,Broj,BIH,7.8
1996,Broj,BIH,5.9
1997,Broj,BIH,5.5
1998,Broj,BIH,4.5
1999,Broj,BIH,3.7
2000,Broj,BIH,2.4
2001,Broj,BIH,1.9
2002,Broj,BIH,1.4
2003,Broj,BIH,0.9
2004,Broj,BIH,0.7
2005,Broj,BIH,0.1
2006,Broj,BIH,0.2
2007,Broj,BIH,-0.3
2008,Broj,BIH,0.0
2009,Broj,BIH,-0.1
2010,Broj,BIH,-0.4
2011,Broj,BIH,-0.8
2012,Broj,BIH,-0.8
2013,Broj,BIH,-1.4
2014,Broj,BIH,-1.6
2015,Broj,BIH,-2.3
2016,Broj,BIH,-1.8
2017,Broj,BIH,-2.2
2018,Broj,BIH,-2.4
2019,Broj,BIH,-3.0
1996,Broj,Federacija BiH,8.9
1997,Broj,Federacija BiH,7.7
1998,Broj,Federacija BiH,6.8
1999,Broj,Federacija BiH,5.2
2000,Broj,Federacija BiH,3.6
2001,Broj,Federacija BiH,3.1
2002,Broj,Federacija BiH,2.6
2003,Broj,Federacija BiH,2.1
2004,Broj,Federacija BiH,1.7
2005,Broj,Federacija BiH,1.1
2006,Broj,Federacija BiH,1.3
2007,Broj,Federacija BiH,1.0
2008,Broj,Federacija BiH,1.5
2009,Broj,Federacija BiH,1.2
2010,Broj,Federacija BiH,0.8
2011,Broj,Federacija BiH,0.4
2012,Broj,Federacija BiH,0.3
2013,Broj,Federacija BiH,-0.1
2014,Broj,Federacija BiH,-0.2
2015,Broj,Federacija BiH,-1.1
2016,Broj,Federacija BiH,-0.7
2017,Broj,Federacija BiH,-0.8
2018,Broj,Federacija BiH,-1.2
2019,Broj,Federacija BiH,-1.8
1996,Broj,Republika Srpska,1.1
1997,Broj,Republika Srpska,1.6
1998,Broj,Republika Srpska,0.8
1999,Broj,Republika Srpska,1.5
2000,Broj,Republika Srpska,0.6
2001,Broj,Republika Srpska,0.1
2002,Broj,Republika Srpska,-0.5
2003,Broj,Republika Srpska,-2.1
2004,Broj,Republika Srpska,-2.1
2005,Broj,Republika Srpska,-2.9
2006,Broj,Republika Srpska,-2.3
2007,Broj,Republika Srpska,-3.4
2008,Broj,Republika Srpska,-2.8
2009,Broj,Republika Srpska,-2.7
2010,Broj,Republika Srpska,-2.9
2011,Broj,Republika Srpska,-3.5
2012,Broj,Republika Srpska,-3.3
2013,Broj,Republika Srpska,-3.8
2014,Broj,Republika Srpska,-4.3
2015,Broj,Republika Srpska,-4.9
2016,Broj,Republika Srpska,-3.9
2017,Broj,Republika Srpska,-4.6
2018,Broj,Republika Srpska,-4.6
2019,Broj,Republika Srpska,-5.1
2004,Broj,Brčko Distrikt BiH,2.6
2005,Broj,Brčko Distrikt BiH,2.0
2006,Broj,Brčko Distrikt BiH,2.3
2007,Broj,Brčko Distrikt BiH,2.1
2008,Broj,Brčko Distrikt BiH,0.2
2009,Broj,Brčko Distrikt BiH,0.3
2010,Broj,Brčko Distrikt BiH,0.1
2011,Broj,Brčko Distrikt BiH,-0.6
2012,Broj,Brčko Distrikt BiH,0.5
2013,Broj,Brčko Distrikt BiH,-0.5
2014,Broj,Brčko Distrikt BiH,-1.0
2015,Broj,Brčko Distrikt BiH,-2.2
2016,Broj,Brčko Distrikt BiH,-1.3
2017,Broj,Brčko Distrikt BiH,-2.4
2018,Broj,Brčko Distrikt BiH,-2.1
2019,Broj,Brčko Distrikt BiH,-2.8
