Year,Spol,UNIT_MEASURE,Value
2020,Oba spola,% od ukupnog broja,10.94
2025,Oba spola,% od ukupnog broja,11.93
2030,Oba spola,% od ukupnog broja,13.09
2035,Oba spola,% od ukupnog broja,14.47
2040,Oba spola,% od ukupnog broja,16.01
2045,Oba spola,% od ukupnog broja,17.51
2050,Oba spola,% od ukupnog broja,18.78
2055,Oba spola,% od ukupnog broja,19.84
2060,Oba spola,% od ukupnog broja,20.73
2065,Oba spola,% od ukupnog broja,21.51
2070,Oba spola,% od ukupnog broja,22.2
2020,Muškarci,% od ukupnog broja,9.06
2025,Muškarci,% od ukupnog broja,8.49
2030,Muškarci,% od ukupnog broja,7.92
2035,Muškarci,% od ukupnog broja,7.47
2040,Muškarci,% od ukupnog broja,7.29
2045,Muškarci,% od ukupnog broja,7.22
2050,Muškarci,% od ukupnog broja,7.19
2055,Muškarci,% od ukupnog broja,7.16
2060,Muškarci,% od ukupnog broja,7.11
2065,Muškarci,% od ukupnog broja,7.08
2070,Muškarci,% od ukupnog broja,7.12
2020,Žene,% od ukupnog broja,8.16
2025,Žene,% od ukupnog broja,7.5
2030,Žene,% od ukupnog broja,6.86
2035,Žene,% od ukupnog broja,6.35
2040,Žene,% od ukupnog broja,6.1
2045,Žene,% od ukupnog broja,5.94
2050,Žene,% od ukupnog broja,5.81
2055,Žene,% od ukupnog broja,5.69
2060,Žene,% od ukupnog broja,5.56
2065,Žene,% od ukupnog broja,5.45
2070,Žene,% od ukupnog broja,5.41
