Year,UNIT_MEASURE,Entity,Value
2005,Broj,BiH,3.0
2005,Broj,RS,3.0
2007,Broj,BiH,3.0
2007,Broj,RS,3.0
2008,Broj,BiH,4.0
2008,Broj,RS,4.0
2009,Broj,BiH,5.0
2009,Broj,RS,5.0
2010,Broj,BiH,4.0
2010,Broj,RS,4.0
2011,Broj,BiH,2.0
2011,Broj,RS,2.0
2012,Broj,BiH,4.0
2012,Broj,RS,4.0
2013,Broj,BiH,3.0
2013,Broj,RS,3.0
2014,Broj,BiH,1.0
2014,Broj,RS,1.0
2016,Broj,BiH,3.0
2016,Broj,RS,3.0
2017,Broj,BiH,1.0
2017,Broj,RS,1.0
2018,Broj,BiH,9.0
2018,Broj,FBIH,1.0
2018,Broj,RS,8.0
2019,Broj,BiH,10.0
2019,Broj,FBIH,10.0
