Year,UNIT_MEASURE,Test,Value
2005,Broj,BiH,421
2005,Broj,Republika Srpska,421
2006,Broj,BiH,409
2006,Broj,Republika Srpska,409
2007,Broj,BiH,797
2007,Broj,Federacija BiH,797
2008,Broj,BiH,1235
2008,Broj,Federacija BiH,818
2008,Broj,Republika Srpska,417
2009,Broj,BiH,1226
2009,Broj,Federacija BiH,820
2009,Broj,Republika Srpska,406
2010,Broj,BiH,1226
2010,Broj,Federacija BiH,831
2010,Broj,Republika Srpska,395
2011,Broj,BiH,1224
2011,Broj,Federacija BiH,834
2011,Broj,Republika Srpska,390
2012,Broj,BiH,1244
2012,Broj,Federacija BiH,847
2012,Broj,Republika Srpska,397
2013,Broj,BiH,1132
2013,Broj,Federacija BiH,755
2013,Broj,Republika Srpska,377
2014,Broj,BiH,1116
2014,Broj,Federacija BiH,737
2014,Broj,Republika Srpska,379
2015,Broj,BiH,1088
2015,Broj,Federacija BiH,717
2015,Broj,Republika Srpska,371
2016,Broj,BiH,1075
2016,Broj,Federacija BiH,704
2016,Broj,Republika Srpska,371
2017,Broj,BiH,1050
2017,Broj,Federacija BiH,687
2017,Broj,Republika Srpska,363
2018,Broj,BiH,1063
2018,Broj,Federacija BiH,689
2018,Broj,Republika Srpska,371
2019,Broj,BiH,701
2019,Broj,Federacija BiH,701
2018,Broj,Brčko distrikt BiH,3
