Year,UNIT_MEASURE,SPOL,Vrsta obrazovne ustanove,Value
2001,Broj,Oba spola,Predškolski odgoj i obrazovanje,15004.0
2002,Broj,Oba spola,Predškolski odgoj i obrazovanje,11692.0
2003,Broj,Oba spola,Predškolski odgoj i obrazovanje,13548.0
2004,Broj,Oba spola,Predškolski odgoj i obrazovanje,13135.0
2005,Broj,Oba spola,Predškolski odgoj i obrazovanje,12989.0
2006,Broj,Oba spola,Predškolski odgoj i obrazovanje,13384.0
2007,Broj,Oba spola,Predškolski odgoj i obrazovanje,14517.0
2008,Broj,Oba spola,Predškolski odgoj i obrazovanje,16260.0
2009,Broj,Oba spola,Predškolski odgoj i obrazovanje,16789.0
2010,Broj,Oba spola,Predškolski odgoj i obrazovanje,17028.0
2011,Broj,Oba spola,Predškolski odgoj i obrazovanje,17293.0
2012,Broj,Oba spola,Predškolski odgoj i obrazovanje,18817.0
2013,Broj,Oba spola,Predškolski odgoj i obrazovanje,19880.0
2014,Broj,Oba spola,Predškolski odgoj i obrazovanje,21490.0
2015,Broj,Oba spola,Predškolski odgoj i obrazovanje,22901.0
2016,Broj,Oba spola,Predškolski odgoj i obrazovanje,24918.0
2017,Broj,Oba spola,Predškolski odgoj i obrazovanje,25889.0
2018,Broj,Oba spola,Predškolski odgoj i obrazovanje,28511.0
2019,Broj,Oba spola,Predškolski odgoj i obrazovanje,30587.0
2020,Broj,Oba spola,Predškolski odgoj i obrazovanje,27698.0
2001,Broj,M,Predškolski odgoj i obrazovanje,7873.0
2002,Broj,M,Predškolski odgoj i obrazovanje,7671.0
2003,Broj,M,Predškolski odgoj i obrazovanje,7147.0
2004,Broj,M,Predškolski odgoj i obrazovanje,6897.0
2005,Broj,M,Predškolski odgoj i obrazovanje,6877.0
2006,Broj,M,Predškolski odgoj i obrazovanje,7085.0
2007,Broj,M,Predškolski odgoj i obrazovanje,7619.0
2008,Broj,M,Predškolski odgoj i obrazovanje,8497.0
2009,Broj,M,Predškolski odgoj i obrazovanje,8706.0
2010,Broj,M,Predškolski odgoj i obrazovanje,8962.0
2011,Broj,M,Predškolski odgoj i obrazovanje,9082.0
2012,Broj,M,Predškolski odgoj i obrazovanje,9859.0
2013,Broj,M,Predškolski odgoj i obrazovanje,10497.0
2014,Broj,M,Predškolski odgoj i obrazovanje,11200.0
2015,Broj,M,Predškolski odgoj i obrazovanje,11918.0
2016,Broj,M,Predškolski odgoj i obrazovanje,13086.0
2017,Broj,M,Predškolski odgoj i obrazovanje,13436.0
2018,Broj,M,Predškolski odgoj i obrazovanje,14855.0
2019,Broj,M,Predškolski odgoj i obrazovanje,15857.0
2020,Broj,M,Predškolski odgoj i obrazovanje,14477.0
2001,Broj,Ž,Predškolski odgoj i obrazovanje,7131.0
2002,Broj,Ž,Predškolski odgoj i obrazovanje,4021.0
2003,Broj,Ž,Predškolski odgoj i obrazovanje,6401.0
2004,Broj,Ž,Predškolski odgoj i obrazovanje,6238.0
2005,Broj,Ž,Predškolski odgoj i obrazovanje,6112.0
2006,Broj,Ž,Predškolski odgoj i obrazovanje,6299.0
2007,Broj,Ž,Predškolski odgoj i obrazovanje,6898.0
2008,Broj,Ž,Predškolski odgoj i obrazovanje,7763.0
2009,Broj,Ž,Predškolski odgoj i obrazovanje,8083.0
2010,Broj,Ž,Predškolski odgoj i obrazovanje,8066.0
2011,Broj,Ž,Predškolski odgoj i obrazovanje,8211.0
2012,Broj,Ž,Predškolski odgoj i obrazovanje,8958.0
2013,Broj,Ž,Predškolski odgoj i obrazovanje,9383.0
2014,Broj,Ž,Predškolski odgoj i obrazovanje,10290.0
2015,Broj,Ž,Predškolski odgoj i obrazovanje,10983.0
2016,Broj,Ž,Predškolski odgoj i obrazovanje,11832.0
2017,Broj,Ž,Predškolski odgoj i obrazovanje,12453.0
2018,Broj,Ž,Predškolski odgoj i obrazovanje,13656.0
2019,Broj,Ž,Predškolski odgoj i obrazovanje,14730.0
2020,Broj,Ž,Predškolski odgoj i obrazovanje,13221.0
1996,Broj,Oba spola,Osnovna škola,390399.0
1997,Broj,Oba spola,Osnovna škola,396103.0
1998,Broj,Oba spola,Osnovna škola,402912.0
1999,Broj,Oba spola,Osnovna škola,391533.0
2000,Broj,Oba spola,Osnovna škola,369709.0
2001,Broj,Oba spola,Osnovna škola,364481.0
2002,Broj,Oba spola,Osnovna škola,360959.0
2003,Broj,Oba spola,Osnovna škola,374915.0
2004,Broj,Oba spola,Osnovna škola,380686.0
2005,Broj,Oba spola,Osnovna škola,374707.0
2006,Broj,Oba spola,Osnovna škola,367176.0
2007,Broj,Oba spola,Osnovna škola,362474.0
2008,Broj,Oba spola,Osnovna škola,359925.0
2009,Broj,Oba spola,Osnovna škola,351118.0
2010,Broj,Oba spola,Osnovna škola,335403.0
2011,Broj,Oba spola,Osnovna škola,316657.0
2012,Broj,Oba spola,Osnovna škola,304881.0
2013,Broj,Oba spola,Osnovna škola,302133.0
2014,Broj,Oba spola,Osnovna škola,296819.0
2015,Broj,Oba spola,Osnovna škola,291342.0
2016,Broj,Oba spola,Osnovna škola,287729.0
2017,Broj,Oba spola,Osnovna škola,282946.0
2018,Broj,Oba spola,Osnovna škola,280018.0
2019,Broj,Oba spola,Osnovna škola,274034.0
2020,Broj,Oba spola,Osnovna škola,268132.0
1996,Broj,M,Osnovna škola,200389.0
1997,Broj,M,Osnovna škola,203239.0
1998,Broj,M,Osnovna škola,203897.0
1999,Broj,M,Osnovna škola,193927.0
2000,Broj,M,Osnovna škola,189855.0
2001,Broj,M,Osnovna škola,187196.0
2002,Broj,M,Osnovna škola,184971.0
2003,Broj,M,Osnovna škola,192679.0
2004,Broj,M,Osnovna škola,195814.0
2005,Broj,M,Osnovna škola,192396.0
2006,Broj,M,Osnovna škola,188333.0
2007,Broj,M,Osnovna škola,185900.0
2008,Broj,M,Osnovna škola,184739.0
2009,Broj,M,Osnovna škola,180221.0
2010,Broj,M,Osnovna škola,172347.0
2011,Broj,M,Osnovna škola,162596.0
2012,Broj,M,Osnovna škola,156296.0
2013,Broj,M,Osnovna škola,154895.0
2014,Broj,M,Osnovna škola,152363.0
2015,Broj,M,Osnovna škola,149888.0
2016,Broj,M,Osnovna škola,148250.0
2017,Broj,M,Osnovna škola,145441.0
2018,Broj,M,Osnovna škola,143837.0
2019,Broj,M,Osnovna škola,140792.0
2020,Broj,M,Osnovna škola,137576.0
1996,Broj,Ž,Osnovna škola,190010.0
1997,Broj,Ž,Osnovna škola,192864.0
1998,Broj,Ž,Osnovna škola,199015.0
1999,Broj,Ž,Osnovna škola,197606.0
2000,Broj,Ž,Osnovna škola,179854.0
2001,Broj,Ž,Osnovna škola,177285.0
2002,Broj,Ž,Osnovna škola,175988.0
2003,Broj,Ž,Osnovna škola,182236.0
2004,Broj,Ž,Osnovna škola,184872.0
2005,Broj,Ž,Osnovna škola,182311.0
2006,Broj,Ž,Osnovna škola,178843.0
2007,Broj,Ž,Osnovna škola,176574.0
2008,Broj,Ž,Osnovna škola,175186.0
2009,Broj,Ž,Osnovna škola,170897.0
2010,Broj,Ž,Osnovna škola,163056.0
2011,Broj,Ž,Osnovna škola,154061.0
2012,Broj,Ž,Osnovna škola,148585.0
2013,Broj,Ž,Osnovna škola,147238.0
2014,Broj,Ž,Osnovna škola,144456.0
2015,Broj,Ž,Osnovna škola,141454.0
2016,Broj,Ž,Osnovna škola,139479.0
2017,Broj,Ž,Osnovna škola,137505.0
2018,Broj,Ž,Osnovna škola,136181.0
2019,Broj,Ž,Osnovna škola,133242.0
2020,Broj,Ž,Osnovna škola,130556.0
1996,Broj,Oba spola,Srednja škola,138158.0
1997,Broj,Oba spola,Srednja škola,146536.0
1998,Broj,Oba spola,Srednja škola,155166.0
1999,Broj,Oba spola,Srednja škola,160173.0
2000,Broj,Oba spola,Srednja škola,160962.0
2001,Broj,Oba spola,Srednja škola,168628.0
2002,Broj,Oba spola,Srednja škola,168335.0
2003,Broj,Oba spola,Srednja škola,166901.0
2004,Broj,Oba spola,Srednja škola,164743.0
2005,Broj,Oba spola,Srednja škola,162434.0
2006,Broj,Oba spola,Srednja škola,160497.0
2007,Broj,Oba spola,Srednja škola,154666.0
2008,Broj,Oba spola,Srednja škola,148100.0
2009,Broj,Oba spola,Srednja škola,146919.0
2010,Broj,Oba spola,Srednja škola,151680.0
2011,Broj,Oba spola,Srednja škola,163284.0
2012,Broj,Oba spola,Srednja škola,166662.0
2013,Broj,Oba spola,Srednja škola,156350.0
2014,Broj,Oba spola,Srednja škola,143881.0
2015,Broj,Oba spola,Srednja škola,133228.0
2016,Broj,Oba spola,Srednja škola,126824.0
2017,Broj,Oba spola,Srednja škola,124148.0
2018,Broj,Oba spola,Srednja škola,117475.0
2019,Broj,Oba spola,Srednja škola,112796.0
2020,Broj,Oba spola,Srednja škola,110534.0
1996,Broj,M,Srednja škola,72532.0
1997,Broj,M,Srednja škola,75120.0
1998,Broj,M,Srednja škola,79163.0
1999,Broj,M,Srednja škola,80622.0
2000,Broj,M,Srednja škola,80724.0
2001,Broj,M,Srednja škola,84955.0
2002,Broj,M,Srednja škola,84866.0
2003,Broj,M,Srednja škola,83898.0
2004,Broj,M,Srednja škola,82758.0
2005,Broj,M,Srednja škola,81458.0
2006,Broj,M,Srednja škola,80443.0
2007,Broj,M,Srednja škola,77704.0
2008,Broj,M,Srednja škola,74713.0
2009,Broj,M,Srednja škola,74077.0
2010,Broj,M,Srednja škola,76604.0
2011,Broj,M,Srednja škola,82745.0
2012,Broj,M,Srednja škola,84420.0
2013,Broj,M,Srednja škola,78882.0
2014,Broj,M,Srednja škola,72095.0
2015,Broj,M,Srednja škola,66708.0
2016,Broj,M,Srednja škola,63232.0
2017,Broj,M,Srednja škola,61934.0
2018,Broj,M,Srednja škola,58821.0
2019,Broj,M,Srednja škola,56328.0
2020,Broj,M,Srednja škola,55119.0
2008,Broj,M,Srednja škola,50.44767049
2009,Broj,M,Srednja škola,50.42029962
2010,Broj,M,Srednja škola,50.50369198
2011,Broj,M,Srednja škola,50.67551015
2012,Broj,M,Srednja škola,50.6534183
2013,Broj,M,Srednja škola,50.4521906
2014,Broj,M,Srednja škola,50.1073804
2015,Broj,M,Srednja škola,50.07055574
2016,Broj,M,Srednja škola,49.85807103
2017,Broj,M,Srednja škola,49.88723137
2018,Broj,M,Srednja škola,50.07107895
2019,Broj,M,Srednja škola,49.93794106
2020,Broj,M,Srednja škola,49.86610455
1996,Broj,Ž,Srednja škola,65626.0
1997,Broj,Ž,Srednja škola,71416.0
1998,Broj,Ž,Srednja škola,76003.0
1999,Broj,Ž,Srednja škola,79551.0
2000,Broj,Ž,Srednja škola,80238.0
2001,Broj,Ž,Srednja škola,83673.0
2002,Broj,Ž,Srednja škola,83469.0
2003,Broj,Ž,Srednja škola,83003.0
2004,Broj,Ž,Srednja škola,81985.0
2005,Broj,Ž,Srednja škola,80976.0
2006,Broj,Ž,Srednja škola,80054.0
2007,Broj,Ž,Srednja škola,76962.0
2008,Broj,Ž,Srednja škola,73387.0
2009,Broj,Ž,Srednja škola,72842.0
2010,Broj,Ž,Srednja škola,75076.0
2011,Broj,Ž,Srednja škola,80539.0
2012,Broj,Ž,Srednja škola,82242.0
