Year,UNIT_MEASURE,school_year_beginning,Spol,Value
2013,Broj,2011/2012,Oba spola,163284
2013,Broj,2012/2013,Oba spola,166662
2013,Broj,2013/2014,Oba spola,156350
2013,Broj,2014/2015,Oba spola,143881
2013,Broj,2015/2016,Oba spola,133228
2013,Broj,2016/2017,Oba spola,126824
2013,Broj,2017/2018,Oba spola,124148
2013,Broj,2018/2019,Oba spola,117475
2013,Broj,2019/2020,Oba spola,112796
2013,Broj,2020/2021,Oba spola,110404
2013,Broj,2011/2012,M,82745
2013,Broj,2012/2013,M,84420
2013,Broj,2013/2014,M,78882
2013,Broj,2014/2015,M,72095
2013,Broj,2015/2016,M,66708
2013,Broj,2016/2017,M,63232
2013,Broj,2017/2018,M,61934
2013,Broj,2018/2019,M,58821
2013,Broj,2019/2020,M,56328
2013,Broj,2020/2021,M,55068
2013,Broj,2011/2012,Ž,80539
2013,Broj,2012/2013,Ž,82242
2013,Broj,2013/2014,Ž,77468
2013,Broj,2014/2015,Ž,71786
2013,Broj,2015/2016,Ž,66520
2013,Broj,2016/2017,Ž,63592
2013,Broj,2017/2018,Ž,62214
2013,Broj,2018/2019,Ž,58654
2013,Broj,2019/2020,Ž,56468
2013,Broj,2020/2021,Ž,55336
