Year,Value,UNIT_MEASURE
NUMBER,88.2,BiH
NUMBER,93.3,BiH
NUMBER,56.3,BiH
NUMBER,0.0,BiH
NUMBER,79.02670112,BiH
NUMBER,87.68640057,BiH
NUMBER,88.77714489,BiH
NUMBER,88.09425949,BiH
NUMBER,104.7187469,BiH
NUMBER,112.9112414,BiH
NUMBER,92.50952588,BiH
NUMBER,68.443286,BiH
NUMBER,81.25172827,BiH
NUMBER,77.1592019,BiH
NUMBER,77.72197157,BiH
NUMBER,61.80307887,BiH
NUMBER,67.94940144,BiH
NUMBER,85.76838442,BiH
NUMBER,120.5366465,BiH
NUMBER,125.8020291,BiH
NUMBER,148.0451682,BiH
NUMBER,144.0755243,BiH
NUMBER,150.513055,BiH
NUMBER,143.9397872,BiH
NUMBER,151.3345686,BiH
NUMBER,155.2408217,BiH
NUMBER,147.2140144,BiH
NUMBER,25.7282875,Federacija BiH
NUMBER,68.36436087,Federacija BiH
NUMBER,77.94383754,Federacija BiH
NUMBER,84.07420371,Federacija BiH
NUMBER,84.92874622,Federacija BiH
NUMBER,100.7994984,Federacija BiH
NUMBER,110.4818062,Federacija BiH
NUMBER,89.60464051,Federacija BiH
NUMBER,62.57758306,Federacija BiH
NUMBER,70.92511013,Federacija BiH
NUMBER,71.70304334,Federacija BiH
NUMBER,69.62452728,Federacija BiH
NUMBER,62.91501777,Federacija BiH
NUMBER,58.88807608,Federacija BiH
NUMBER,76.53218355,Federacija BiH
NUMBER,96.98943522,Federacija BiH
NUMBER,97.51243781,Federacija BiH
NUMBER,119.8488709,Federacija BiH
NUMBER,110.2487064,Federacija BiH
NUMBER,115.7878508,Federacija BiH
NUMBER,112.9788898,Federacija BiH
NUMBER,132.7535786,Federacija BiH
NUMBER,139.5758365,Federacija BiH
NUMBER,136.3932822,Federacija BiH
NUMBER,95.07911163,Republika Srpska
NUMBER,102.1430559,Republika Srpska
NUMBER,93.50057013,Republika Srpska
NUMBER,92.64590421,Republika Srpska
NUMBER,115.6149882,Republika Srpska
NUMBER,117.2404258,Republika Srpska
NUMBER,109.9128379,Republika Srpska
NUMBER,89.17821644,Republika Srpska
NUMBER,105.8737151,Republika Srpska
NUMBER,76.67638484,Republika Srpska
NUMBER,84.026505,Republika Srpska
NUMBER,49.52351195,Republika Srpska
NUMBER,74.21301582,Republika Srpska
NUMBER,89.64799723,Republika Srpska
NUMBER,152.7059635,Republika Srpska
NUMBER,164.851671,Republika Srpska
NUMBER,192.427291,Republika Srpska
NUMBER,189.9364589,Republika Srpska
NUMBER,193.8931298,Republika Srpska
NUMBER,184.2531008,Republika Srpska
NUMBER,165.4350017,Republika Srpska
NUMBER,161.4146832,Republika Srpska
NUMBER,158.0212985,Republika Srpska
NUMBER,90.0621118,Brčko Distrikt BiH
NUMBER,122.1374046,Brčko Distrikt BiH
NUMBER,122.7621483,Brčko Distrikt BiH
NUMBER,127.0553064,Brčko Distrikt BiH
NUMBER,135.2154532,Brčko Distrikt BiH
NUMBER,132.0224719,Brčko Distrikt BiH
NUMBER,120.5882353,Brčko Distrikt BiH
NUMBER,207.4626866,Brčko Distrikt BiH
NUMBER,249.1909385,Brčko Distrikt BiH
NUMBER,324.6329527,Brčko Distrikt BiH
NUMBER,335.7041252,Brčko Distrikt BiH
NUMBER,307.073955,Brčko Distrikt BiH
NUMBER,378.5822021,Brčko Distrikt BiH
NUMBER,464.1791045,Brčko Distrikt BiH
NUMBER,442.5727412,Brčko Distrikt BiH
NUMBER,410.8635097,Brčko Distrikt BiH
NUMBER,471.5189873,Brčko Distrikt BiH
NUMBER,312.1869783,Brčko Distrikt BiH
