Year,Municipality,AGE,UNIT_MEASURE,SEX,Value
2013,Banja Luka,Total,NUMBER,_T,185042
2013,Banja Luka,Total,NUMBER,M,89148
2013,Banja Luka,Total,NUMBER,F,95894
2013,Banovići,Total,NUMBER,_T,22773
2013,Banovići,Total,NUMBER,M,11392
2013,Banovići,Total,NUMBER,F,11381
2013,Berkovići,Total,NUMBER,_T,2114
2013,Berkovići,Total,NUMBER,M,1059
2013,Berkovići,Total,NUMBER,F,1055
2013,Bihać,Total,NUMBER,_T,56261
2013,Bihać,Total,NUMBER,M,27041
2013,Bihać,Total,NUMBER,F,29220
2013,Bijeljina,Total,NUMBER,_T,107715
2013,Bijeljina,Total,NUMBER,M,52827
2013,Bijeljina,Total,NUMBER,F,54888
2013,Bileća,Total,NUMBER,_T,10807
2013,Bileća,Total,NUMBER,M,5454
2013,Bileća,Total,NUMBER,F,5353
2013,Bosanska Krupa,Total,NUMBER,_T,25545
2013,Bosanska Krupa,Total,NUMBER,M,12548
2013,Bosanska Krupa,Total,NUMBER,F,12997
2013,Bosanski Petrovac,Total,NUMBER,_T,7328
2013,Bosanski Petrovac,Total,NUMBER,M,3678
2013,Bosanski Petrovac,Total,NUMBER,F,3650
2013,Bosansko Grahovo,Total,NUMBER,_T,2449
2013,Bosansko Grahovo,Total,NUMBER,M,1287
2013,Bosansko Grahovo,Total,NUMBER,F,1162
2013,Bratunac,Total,NUMBER,_T,20340
2013,Bratunac,Total,NUMBER,M,10091
2013,Bratunac,Total,NUMBER,F,10249
2013,Brčko,Total,NUMBER,_T,83516
2013,Brčko,Total,NUMBER,M,41250
2013,Brčko,Total,NUMBER,F,42266
2013,Breza,Total,NUMBER,_T,14168
2013,Breza,Total,NUMBER,M,6952
2013,Breza,Total,NUMBER,F,7216
2013,Brod,Total,NUMBER,_T,16619
2013,Brod,Total,NUMBER,M,8143
2013,Brod,Total,NUMBER,F,8476
2013,Bugojno,Total,NUMBER,_T,31470
2013,Bugojno,Total,NUMBER,M,15635
2013,Bugojno,Total,NUMBER,F,15835
2013,Busovača,Total,NUMBER,_T,17910
2013,Busovača,Total,NUMBER,M,9134
2013,Busovača,Total,NUMBER,F,8776
2013,Bužim,Total,NUMBER,_T,19340
2013,Bužim,Total,NUMBER,M,9885
2013,Bužim,Total,NUMBER,F,9455
2013,Cazin,Total,NUMBER,_T,66149
2013,Cazin,Total,NUMBER,M,33072
2013,Cazin,Total,NUMBER,F,33077
2013,Sarajevo - Centar,Total,NUMBER,_T,55181
2013,Sarajevo - Centar,Total,NUMBER,M,25369
2013,Sarajevo - Centar,Total,NUMBER,F,29812
2013,Čajniče,Total,NUMBER,_T,4895
2013,Čajniče,Total,NUMBER,M,2474
2013,Čajniče,Total,NUMBER,F,2421
2013,Čapljina,Total,NUMBER,_T,26157
2013,Čapljina,Total,NUMBER,M,12947
2013,Čapljina,Total,NUMBER,F,13210
2013,Čelić,Total,NUMBER,_T,10502
2013,Čelić,Total,NUMBER,M,5256
2013,Čelić,Total,NUMBER,F,5246
2013,Čelinac,Total,NUMBER,_T,15548
2013,Čelinac,Total,NUMBER,M,7728
2013,Čelinac,Total,NUMBER,F,7820
2013,Čitluk,Total,NUMBER,_T,18140
2013,Čitluk,Total,NUMBER,M,8937
2013,Čitluk,Total,NUMBER,F,9203
2013,Derventa,Total,NUMBER,_T,27404
2013,Derventa,Total,NUMBER,M,13397
2013,Derventa,Total,NUMBER,F,14007
2013,Doboj,Total,NUMBER,_T,71441
2013,Doboj,Total,NUMBER,M,34916
2013,Doboj,Total,NUMBER,F,36525
2013,Doboj-Istok,Total,NUMBER,_T,10248
