Year,UNIT_MEASURE,Value
1971,number_birth_rate,6.6
1972,number_birth_rate,7.0
1973,number_birth_rate,6.4
1974,number_birth_rate,6.0
1975,number_birth_rate,6.4
1976,number_birth_rate,6.2
1977,number_birth_rate,6.1
1978,number_birth_rate,6.3
1979,number_birth_rate,6.1
1980,number_birth_rate,6.4
1981,number_birth_rate,6.3
1982,number_birth_rate,6.4
1983,number_birth_rate,7.2
1984,number_birth_rate,6.9
1985,number_birth_rate,6.9
1986,number_birth_rate,6.9
1987,number_birth_rate,6.9
1988,number_birth_rate,6.9
1989,number_birth_rate,7.0
1990,number_birth_rate,6.7
1991,number_birth_rate,7.2
1996,number_birth_rate,6.9
1997,number_birth_rate,7.5
1998,number_birth_rate,7.9
1999,number_birth_rate,7.7
2000,number_birth_rate,8.1
2001,number_birth_rate,8.0
2002,number_birth_rate,7.9
2003,number_birth_rate,8.3
2004,number_birth_rate,8.5
2005,number_birth_rate,9.0
2006,number_birth_rate,8.6
2007,number_birth_rate,9.1
2008,number_birth_rate,8.9
2009,number_birth_rate,9.1
2010,number_birth_rate,9.1
2011,number_birth_rate,9.1
2012,number_birth_rate,9.3
2013,number_birth_rate,10.1
2014,number_birth_rate,10.2
2015,number_birth_rate,10.8
2016,number_birth_rate,10.4
2017,number_birth_rate,10.8
2018,number_birth_rate,10.8
2019,number_birth_rate,11.1
