Year,SEX,ADMIN_AREA,UNIT_MEASURE,Value
1971,_T,BiH,NO_PER_1000_LIVE_BIRTHS,22.0
1981,_T,BiH,NO_PER_1000_LIVE_BIRTHS,17.2
1991,_T,BiH,NO_PER_1000_LIVE_BIRTHS,14.9
1996,_T,BiH,NO_PER_1000_LIVE_BIRTHS,14.0
1997,_T,BiH,NO_PER_1000_LIVE_BIRTHS,12.4
1998,_T,BiH,NO_PER_1000_LIVE_BIRTHS,11.0
1999,_T,BiH,NO_PER_1000_LIVE_BIRTHS,10.1
2000,_T,BiH,NO_PER_1000_LIVE_BIRTHS,9.7
2001,_T,BiH,NO_PER_1000_LIVE_BIRTHS,7.6
2002,_T,BiH,NO_PER_1000_LIVE_BIRTHS,9.4
2003,_T,BiH,NO_PER_1000_LIVE_BIRTHS,7.6
2004,_T,BiH,NO_PER_1000_LIVE_BIRTHS,7.2
2005,_T,BiH,NO_PER_1000_LIVE_BIRTHS,6.7
2006,_T,BiH,NO_PER_1000_LIVE_BIRTHS,7.5
2007,_T,BiH,NO_PER_1000_LIVE_BIRTHS,6.8
2008,_T,BiH,NO_PER_1000_LIVE_BIRTHS,6.9
2009,_T,BiH,NO_PER_1000_LIVE_BIRTHS,6.5
2010,_T,BiH,NO_PER_1000_LIVE_BIRTHS,6.4
2011,_T,BiH,NO_PER_1000_LIVE_BIRTHS,5.8
2012,_T,BiH,NO_PER_1000_LIVE_BIRTHS,5.4
2013,_T,BiH,NO_PER_1000_LIVE_BIRTHS,5.9
2014,_T,BiH,NO_PER_1000_LIVE_BIRTHS,5.2
2015,_T,BiH,NO_PER_1000_LIVE_BIRTHS,6.1
2016,_T,BiH,NO_PER_1000_LIVE_BIRTHS,5.9
2017,_T,BiH,NO_PER_1000_LIVE_BIRTHS,6.5
2018,_T,BiH,NO_PER_1000_LIVE_BIRTHS,6.2
2019,_T,BiH,NO_PER_1000_LIVE_BIRTHS,6.7
1996,M,BiH,NO_PER_1000_LIVE_BIRTHS,14.8
1997,M,BiH,NO_PER_1000_LIVE_BIRTHS,14.6
1998,M,BiH,NO_PER_1000_LIVE_BIRTHS,12.9
1999,M,BiH,NO_PER_1000_LIVE_BIRTHS,11.2
2000,M,BiH,NO_PER_1000_LIVE_BIRTHS,10.8
2001,M,BiH,NO_PER_1000_LIVE_BIRTHS,8.2
2002,M,BiH,NO_PER_1000_LIVE_BIRTHS,10.4
2003,M,BiH,NO_PER_1000_LIVE_BIRTHS,8.4
2004,M,BiH,NO_PER_1000_LIVE_BIRTHS,8.3
2005,M,BiH,NO_PER_1000_LIVE_BIRTHS,7.5
2006,M,BiH,NO_PER_1000_LIVE_BIRTHS,9.0
2007,M,BiH,NO_PER_1000_LIVE_BIRTHS,7.5
2008,M,BiH,NO_PER_1000_LIVE_BIRTHS,7.4
2009,M,BiH,NO_PER_1000_LIVE_BIRTHS,6.4
2010,M,BiH,NO_PER_1000_LIVE_BIRTHS,7.2
2011,M,BiH,NO_PER_1000_LIVE_BIRTHS,6.7
2012,M,BiH,NO_PER_1000_LIVE_BIRTHS,6.6
2013,M,BiH,NO_PER_1000_LIVE_BIRTHS,6.9
2014,M,BiH,NO_PER_1000_LIVE_BIRTHS,4.7
2015,M,BiH,NO_PER_1000_LIVE_BIRTHS,6.1
2016,M,BiH,NO_PER_1000_LIVE_BIRTHS,7.1
2017,M,BiH,NO_PER_1000_LIVE_BIRTHS,6.7
2018,M,BiH,NO_PER_1000_LIVE_BIRTHS,6.0
2019,M,BiH,NO_PER_1000_LIVE_BIRTHS,6.9
1996,F,BiH,NO_PER_1000_LIVE_BIRTHS,13.2
1997,F,BiH,NO_PER_1000_LIVE_BIRTHS,10.0
1998,F,BiH,NO_PER_1000_LIVE_BIRTHS,8.9
1999,F,BiH,NO_PER_1000_LIVE_BIRTHS,9.1
2000,F,BiH,NO_PER_1000_LIVE_BIRTHS,8.5
2001,F,BiH,NO_PER_1000_LIVE_BIRTHS,7.0
2002,F,BiH,NO_PER_1000_LIVE_BIRTHS,8.3
2003,F,BiH,NO_PER_1000_LIVE_BIRTHS,6.7
2004,F,BiH,NO_PER_1000_LIVE_BIRTHS,6.0
2005,F,BiH,NO_PER_1000_LIVE_BIRTHS,5.9
2006,F,BiH,NO_PER_1000_LIVE_BIRTHS,5.9
2007,F,BiH,NO_PER_1000_LIVE_BIRTHS,6.1
2008,F,BiH,NO_PER_1000_LIVE_BIRTHS,6.3
2009,F,BiH,NO_PER_1000_LIVE_BIRTHS,6.5
2010,F,BiH,NO_PER_1000_LIVE_BIRTHS,5.6
2011,F,BiH,NO_PER_1000_LIVE_BIRTHS,4.8
2012,F,BiH,NO_PER_1000_LIVE_BIRTHS,4.2
2013,F,BiH,NO_PER_1000_LIVE_BIRTHS,4.8
2014,F,BiH,NO_PER_1000_LIVE_BIRTHS,5.6
2015,F,BiH,NO_PER_1000_LIVE_BIRTHS,6.1
2016,F,BiH,NO_PER_1000_LIVE_BIRTHS,4.6
2017,F,BiH,NO_PER_1000_LIVE_BIRTHS,6.3
2018,F,BiH,NO_PER_1000_LIVE_BIRTHS,6.5
2019,F,BiH,NO_PER_1000_LIVE_BIRTHS,6.5
1996,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,13.8
1997,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,13.0
1998,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,12.1
1999,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,11.2
2000,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,11.0
2001,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,8.9
2002,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,10.5
2003,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,8.7
2004,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,8.5
2005,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,8.8
2006,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,9.5
2007,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,8.9
2008,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,8.5
2009,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,7.6
2010,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,7.7
2011,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,6.6
2012,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,6.5
2013,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,7.3
2014,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,6.4
2015,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,8.0
2016,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,7.5
2017,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,8.2
2018,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,8.4
2019,_T,FBIH,NO_PER_1000_LIVE_BIRTHS,9.3
1997,M,FBIH,NO_PER_1000_LIVE_BIRTHS,15.4
1998,M,FBIH,NO_PER_1000_LIVE_BIRTHS,14.4
1999,M,FBIH,NO_PER_1000_LIVE_BIRTHS,12.2
2000,M,FBIH,NO_PER_1000_LIVE_BIRTHS,12.5
2001,M,FBIH,NO_PER_1000_LIVE_BIRTHS,9.6
2002,M,FBIH,NO_PER_1000_LIVE_BIRTHS,11.6
2003,M,FBIH,NO_PER_1000_LIVE_BIRTHS,10.1
2004,M,FBIH,NO_PER_1000_LIVE_BIRTHS,9.3
2005,M,FBIH,NO_PER_1000_LIVE_BIRTHS,10.0
2006,M,FBIH,NO_PER_1000_LIVE_BIRTHS,11.3
2007,M,FBIH,NO_PER_1000_LIVE_BIRTHS,10.1
2008,M,FBIH,NO_PER_1000_LIVE_BIRTHS,9.4
2009,M,FBIH,NO_PER_1000_LIVE_BIRTHS,7.3
2010,M,FBIH,NO_PER_1000_LIVE_BIRTHS,9.1
