Year,UNIT_MEASURE,SEX,Value
2001,NUMBER,M,98.00
2002,NUMBER,M,77.00
2003,NUMBER,M,91.00
2004,NUMBER,M,94.00
2005,NUMBER,M,85.00
2006,NUMBER,M,83.00
2007,NUMBER,M,98.00
2008,NUMBER,M,102.00
2009,NUMBER,M,80.00
2010,NUMBER,M,83.00
2011,NUMBER,M,57.00
2012,NUMBER,M,64.00
2013,NUMBER,M,45.00
2014,NUMBER,M,45.00
2015,NUMBER,M,56.00
2016,NUMBER,M,54.00
2017,NUMBER,M,51.00
2018,NUMBER,M,49.00
2019,NUMBER,M,40.00
2001,NUMBER,F,95.00
2002,NUMBER,F,61.00
2003,NUMBER,F,59.00
2004,NUMBER,F,74.00
2005,NUMBER,F,62.00
2006,NUMBER,F,54.00
2007,NUMBER,F,76.00
2008,NUMBER,F,69.00
2009,NUMBER,F,56.00
2010,NUMBER,F,60.00
2011,NUMBER,F,61.00
2012,NUMBER,F,56.00
2013,NUMBER,F,57.00
2014,NUMBER,F,32.00
2015,NUMBER,F,58.00
2016,NUMBER,F,56.00
2017,NUMBER,F,52.00
2018,NUMBER,F,39.00
2019,NUMBER,F,42.00
1996,NUMBER,_T,271.00
1997,NUMBER,_T,240.00
1998,NUMBER,_T,202.00
1999,NUMBER,_T,224.00
2000,NUMBER,_T,159.00
2001,NUMBER,_T,193.00
2002,NUMBER,_T,138.00
2003,NUMBER,_T,150.00
2004,NUMBER,_T,168.00
2005,NUMBER,_T,147.00
2006,NUMBER,_T,137.00
2007,NUMBER,_T,174.00
2008,NUMBER,_T,171.00
2009,NUMBER,_T,136.00
2010,NUMBER,_T,143.00
2011,NUMBER,_T,118.00
2012,NUMBER,_T,120.00
2013,NUMBER,_T,102.00
2014,NUMBER,_T,77.00
2015,NUMBER,_T,114.00
2016,NUMBER,_T,110.00
2017,NUMBER,_T,103.00
2018,NUMBER,_T,88.00
2019,NUMBER,_T,82.00
