Year,Entity,AGE,UNIT_MEASURE,Value,Year
1997,FBIH,13 - 14,NUMBER,11,1997
1997,FBIH,15 - 19,NUMBER,3128,1997
1997,RS,13 - 14,NUMBER,0,1997
1997,RS,15 - 19,NUMBER,0,1997
1997,BD,13 - 14,NUMBER,0,1997
1997,BD,15 - 19,NUMBER,0,1997
1997,BiH,13 - 14,NUMBER,11,1997
1997,BiH,15 - 19,NUMBER,3128,1997
1998,FBIH,13 - 14,NUMBER,2,1998
1998,FBIH,15 - 19,NUMBER,2395,1998
1998,RS,13 - 14,NUMBER,0,1998
1998,RS,15 - 19,NUMBER,796,1998
1998,BD,13 - 14,NUMBER,0,1998
1998,BD,15 - 19,NUMBER,0,1998
1998,BiH,13 - 14,NUMBER,2,1998
1998,BiH,15 - 19,NUMBER,3191,1998
1999,FBIH,13 - 14,NUMBER,0,1999
1999,FBIH,15 - 19,NUMBER,2073,1999
1999,RS,13 - 14,NUMBER,1,1999
1999,RS,15 - 19,NUMBER,907,1999
1999,BD,13 - 14,NUMBER,0,1999
1999,BD,15 - 19,NUMBER,0,1999
1999,BiH,13 - 14,NUMBER,1,1999
1999,BiH,15 - 19,NUMBER,2980,1999
2000,FBIH,13 - 14,NUMBER,3,2000
2000,FBIH,15 - 19,NUMBER,1806,2000
2000,RS,13 - 14,NUMBER,1,2000
2000,RS,15 - 19,NUMBER,722,2000
2000,BD,13 - 14,NUMBER,0,2000
2000,BD,15 - 19,NUMBER,0,2000
2000,BiH,13 - 14,NUMBER,4,2000
2000,BiH,15 - 19,NUMBER,2528,2000
2001,FBIH,13 - 14,NUMBER,13,2001
2001,FBIH,15 - 19,NUMBER,1679,2001
2001,RS,13 - 14,NUMBER,2,2001
2001,RS,15 - 19,NUMBER,938,2001
2001,BD,13 - 14,NUMBER,0,2001
2001,BD,15 - 19,NUMBER,0,2001
2001,BiH,13 - 14,NUMBER,15,2001
2001,BiH,15 - 19,NUMBER,2617,2001
2002,FBIH,13 - 14,NUMBER,10,2002
2002,FBIH,15 - 19,NUMBER,1561,2002
2002,RS,13 - 14,NUMBER,4,2002
2002,RS,15 - 19,NUMBER,787,2002
2002,BD,13 - 14,NUMBER,0,2002
2002,BD,15 - 19,NUMBER,0,2002
2002,BiH,13 - 14,NUMBER,14,2002
2002,BiH,15 - 19,NUMBER,2348,2002
2003,FBIH,13 - 14,NUMBER,9,2003
2003,FBIH,15 - 19,NUMBER,1457,2003
2003,RS,13 - 14,NUMBER,0,2003
2003,RS,15 - 19,NUMBER,688,2003
2003,BD,13 - 14,NUMBER,0,2003
2003,BD,15 - 19,NUMBER,0,2003
2003,BiH,13 - 14,NUMBER,9,2003
2003,BiH,15 - 19,NUMBER,2145,2003
2004,FBIH,13 - 14,NUMBER,7,2004
2004,FBIH,15 - 19,NUMBER,1396,2004
2004,RS,13 - 14,NUMBER,4,2004
2004,RS,15 - 19,NUMBER,697,2004
2004,BD,13 - 14,NUMBER,1,2004
2004,BD,15 - 19,NUMBER,43,2004
2004,BiH,13 - 14,NUMBER,12,2004
2004,BiH,15 - 19,NUMBER,2136,2004
2005,FBIH,13 - 14,NUMBER,2,2005
2005,FBIH,15 - 19,NUMBER,1296,2005
2005,RS,13 - 14,NUMBER,3,2005
2005,RS,15 - 19,NUMBER,659,2005
2005,BD,13 - 14,NUMBER,1,2005
2005,BD,15 - 19,NUMBER,52,2005
2005,BiH,13 - 14,NUMBER,6,2005
2005,BiH,15 - 19,NUMBER,2007,2005
2006,FBIH,13 - 14,NUMBER,4,2006
2006,FBIH,15 - 19,NUMBER,1399,2006
2006,RS,13 - 14,NUMBER,3,2006
2006,RS,15 - 19,NUMBER,586,2006
2006,BD,13 - 14,NUMBER,1,2006
2006,BD,15 - 19,NUMBER,57,2006
2006,BiH,13 - 14,NUMBER,8,2006
2006,BiH,15 - 19,NUMBER,2042,2006
2007,FBIH,13 - 14,NUMBER,2,2007
2007,FBIH,15 - 19,NUMBER,1357,2007
2007,RS,13 - 14,NUMBER,3,2007
2007,RS,15 - 19,NUMBER,557,2007
2007,BD,13 - 14,NUMBER,2,2007
2007,BD,15 - 19,NUMBER,57,2007
2007,BiH,13 - 14,NUMBER,7,2007
2007,BiH,15 - 19,NUMBER,1971,2007
2008,FBIH,13 - 14,NUMBER,2,2008
2008,FBIH,15 - 19,NUMBER,1507,2008
2008,RS,13 - 14,NUMBER,4,2008
2008,RS,15 - 19,NUMBER,536,2008
2008,BD,13 - 14,NUMBER,7,2008
2008,BD,15 - 19,NUMBER,53,2008
2008,BiH,13 - 14,NUMBER,13,2008
2008,BiH,15 - 19,NUMBER,2096,2008
2009,FBIH,13 - 14,NUMBER,4,2009
2009,FBIH,15 - 19,NUMBER,1411,2009
2009,RS,13 - 14,NUMBER,3,2009
2009,RS,15 - 19,NUMBER,499,2009
2009,BD,13 - 14,NUMBER,5,2009
2009,BD,15 - 19,NUMBER,58,2009
2009,BiH,13 - 14,NUMBER,12,2009
2009,BiH,15 - 19,NUMBER,1968,2009
2010,FBIH,13 - 14,NUMBER,5,2010
