Year,Entity,UNIT_MEASURE,SEX,Value
1998,BiH,Age,_T,66.1
1999,BiH,Age,_T,66.6
2000,BiH,Age,_T,66.8
2001,BiH,Age,_T,67.2
2002,BiH,Age,_T,67.8
2003,BiH,Age,_T,68.4
2004,BiH,Age,_T,68.9
2005,BiH,Age,_T,69.3
2006,BiH,Age,_T,69.4
2007,BiH,Age,_T,69.6
2008,BiH,Age,_T,70.2
2009,BiH,Age,_T,70.8
2010,BiH,Age,_T,71.6
2011,BiH,Age,_T,72.1
2012,BiH,Age,_T,72.5
2013,BiH,Age,_T,72.7
2014,BiH,Age,_T,73.0
2015,BiH,Age,_T,73.4
2016,BiH,Age,_T,73.4
2017,BiH,Age,_T,73.9
2018,BiH,Age,_T,74.1
2019,BiH,Age,_T,74.1
2003,BiH,Age,M,31.6
2004,BiH,Age,M,48.0
2009,BiH,Age,M,63.3
2010,BiH,Age,M,64.0
2011,BiH,Age,M,64.2
2012,BiH,Age,M,64.6
2013,BiH,Age,M,65.0
2014,BiH,Age,M,65.8
2015,BiH,Age,M,66.3
2016,BiH,Age,M,66.8
2017,BiH,Age,M,66.8
2018,BiH,Age,M,66.9
2019,BiH,Age,M,67.4
1961,BiH,Age,M,68.1
1971,BiH,Age,M,68.9
1981,BiH,Age,M,69.4
1991,BiH,Age,M,69.8
1996,BiH,Age,M,70.0
1997,BiH,Age,M,70.4
1998,BiH,Age,M,70.7
1999,BiH,Age,M,70.7
2000,BiH,Age,M,71.2
2001,BiH,Age,M,71.4
2002,BiH,Age,M,71.5
2003,BiH,Age,F,34.5
2004,BiH,Age,F,51.6
2009,BiH,Age,F,69.2
2010,BiH,Age,F,69.5
2011,BiH,Age,F,69.7
2012,BiH,Age,F,70.2
2013,BiH,Age,F,70.7
2014,BiH,Age,F,71.2
2015,BiH,Age,F,71.7
2016,BiH,Age,F,72.2
2017,BiH,Age,F,72.2
2018,BiH,Age,F,72.5
2019,BiH,Age,F,73.3
2003,BiH,Age,F,73.6
2004,BiH,Age,F,74.5
2005,BiH,Age,F,75.0
2006,BiH,Age,F,75.3
2007,BiH,Age,F,75.5
2008,BiH,Age,F,75.8
2009,BiH,Age,F,76.1
2010,BiH,Age,F,76.2
2011,BiH,Age,F,76.5
2012,BiH,Age,F,76.8
2013,BiH,Age,F,76.9
1997,FBIH,Age,_T,64.3
1998,FBIH,Age,_T,63.8
1999,FBIH,Age,_T,65.7
2000,FBIH,Age,_T,66.5
2001,FBIH,Age,_T,67.1
2002,FBIH,Age,_T,67.3
2003,FBIH,Age,_T,68.2
2004,FBIH,Age,_T,68.6
2005,FBIH,Age,_T,69.1
2006,FBIH,Age,_T,69.0
2007,FBIH,Age,_T,69.3
2008,FBIH,Age,_T,69.5
2009,FBIH,Age,_T,70.2
2010,FBIH,Age,_T,70.5
2011,FBIH,Age,_T,70.8
2012,FBIH,Age,_T,71.3
2013,FBIH,Age,_T,71.6
2014,FBIH,Age,_T,72.0
2015,FBIH,Age,_T,72.3
2016,FBIH,Age,_T,72.3
2017,FBIH,Age,_T,72.5
2018,FBIH,Age,_T,73.0
2019,FBIH,Age,_T,73.0
2008,FBIH,Age,M,61.6
2009,FBIH,Age,M,61.3
2010,FBIH,Age,M,63.2
2011,FBIH,Age,M,64.1
2012,FBIH,Age,M,64.5
2013,FBIH,Age,M,64.6
2014,FBIH,Age,M,65.5
2015,FBIH,Age,M,66.0
2016,FBIH,Age,M,66.4
2017,FBIH,Age,M,66.5
2018,FBIH,Age,M,66.8
2019,FBIH,Age,M,66.7
1961,FBIH,Age,M,67.5
1971,FBIH,Age,M,67.7
1981,FBIH,Age,M,68.2
1991,FBIH,Age,M,68.9
1996,FBIH,Age,M,69.0
1997,FBIH,Age,M,69.4
1998,FBIH,Age,M,69.6
1999,FBIH,Age,M,69.7
2000,FBIH,Age,M,70.1
2001,FBIH,Age,M,70.5
2002,FBIH,Age,M,70.5
2008,FBIH,Age,F,67.5
2009,FBIH,Age,F,66.8
2010,FBIH,Age,F,68.5
2011,FBIH,Age,F,69.3
2012,FBIH,Age,F,69.9
2013,FBIH,Age,F,70.3
2014,FBIH,Age,F,71.1
2015,FBIH,Age,F,71.3
2016,FBIH,Age,F,72.0
2017,FBIH,Age,F,71.7
2018,FBIH,Age,F,72.0
2019,FBIH,Age,F,72.5
2003,FBIH,Age,F,73.0
2004,FBIH,Age,F,73.3
2005,FBIH,Age,F,73.7
2006,FBIH,Age,F,74.1
2007,FBIH,Age,F,74.3
2008,FBIH,Age,F,74.7
2009,FBIH,Age,F,75.0
2010,FBIH,Age,F,74.9
2011,FBIH,Age,F,75.0
2012,FBIH,Age,F,75.5
2013,FBIH,Age,F,75.6
2010,RS,Age,_T,72.1
2011,RS,Age,_T,72.5
2012,RS,Age,_T,73.0
2013,RS,Age,_T,73.0
2014,RS,Age,_T,73.0
2015,RS,Age,_T,73.7
2016,RS,Age,_T,73.8
2017,RS,Age,_T,74.5
2018,RS,Age,_T,74.5
2019,RS,Age,_T,74.5
2009,RS,Age,M,64.9
2011,RS,Age,M,65.2
2012,RS,Age,M,66.5
2013,RS,Age,M,66.3
2014,RS,Age,M,67.0
2015,RS,Age,M,67.0
2016,RS,Age,M,67.3
2017,RS,Age,M,67.6
2018,RS,Age,M,68.2
2019,RS,Age,M,68.3
1961,RS,Age,M,68.9
1971,RS,Age,M,69.4
1981,RS,Age,M,69.6
1991,RS,Age,M,70.1
1996,RS,Age,M,70.1
1997,RS,Age,M,70.5
1998,RS,Age,M,71.0
1999,RS,Age,M,71.0
2000,RS,Age,M,71.6
2001,RS,Age,M,71.6
2002,RS,Age,M,71.7
2009,RS,Age,F,70.8
2011,RS,Age,F,71.2
2012,RS,Age,F,71.3
2013,RS,Age,F,72.0
2014,RS,Age,F,72.0
2015,RS,Age,F,72.0
2016,RS,Age,F,72.5
2017,RS,Age,F,73.1
2018,RS,Age,F,74.0
2019,RS,Age,F,74.3
2003,RS,Age,F,74.4
2004,RS,Age,F,74.9
2005,RS,Age,F,75.5
2006,RS,Age,F,76.1
2007,RS,Age,F,76.0
2008,RS,Age,F,76.1
2009,RS,Age,F,76.5
2010,RS,Age,F,76.9
2011,RS,Age,F,77.4
2012,RS,Age,F,77.4
2013,RS,Age,F,77.4
2004,BD,Age,_T,70.6
2005,BD,Age,_T,71.2
2006,BD,Age,_T,71.5
2007,BD,Age,_T,70.3
2008,BD,Age,_T,70.7
2009,BD,Age,_T,71.5
2010,BD,Age,_T,72.1
2011,BD,Age,_T,73.3
2012,BD,Age,_T,70.9
2013,BD,Age,_T,73.2
2014,BD,Age,_T,71.7
2015,BD,Age,_T,76.2
2016,BD,Age,_T,75.3
2017,BD,Age,_T,75.5
2018,BD,Age,_T,75.2
2019,BD,Age,_T,75.8
2015,BD,Age,M,68.1
2016,BD,Age,M,68.4
2017,BD,Age,M,68.5
2018,BD,Age,M,67.7
2019,BD,Age,M,67.1
1961,BD,Age,M,70.6
1971,BD,Age,M,69.8
1981,BD,Age,M,69.9
1991,BD,Age,M,69.1
1996,BD,Age,M,70.8
1997,BD,Age,M,69.1
1998,BD,Age,M,74.8
1999,BD,Age,M,72.9
2000,BD,Age,M,73.5
2001,BD,Age,M,71.1
2002,BD,Age,M,74.0
2015,BD,Age,F,73.2
2016,BD,Age,F,74.1
2017,BD,Age,F,74.8
2018,BD,Age,F,73.0
2019,BD,Age,F,74.7
2003,BD,Age,F,74.3
2004,BD,Age,F,75.0
2005,BD,Age,F,75.7
2006,BD,Age,F,72.6
2007,BD,Age,F,75.7
2008,BD,Age,F,74.4
2009,BD,Age,F,77.7
2010,BD,Age,F,78.1
2011,BD,Age,F,77.5
2012,BD,Age,F,77.3
2013,BD,Age,F,77.6
