Year,Entity,SEX,UNIT_MEASURE,Value
1996,BiH,M,Age,27.7
1997,BiH,M,Age,28.0
1998,BiH,M,Age,27.9
1999,BiH,M,Age,27.8
2000,BiH,M,Age,27.8
2001,BiH,M,Age,27.8
2002,BiH,M,Age,27.8
2003,BiH,M,Age,28.1
2004,BiH,M,Age,28.0
2005,BiH,M,Age,28.1
2006,BiH,M,Age,28.3
2007,BiH,M,Age,28.3
2008,BiH,M,Age,28.3
2009,BiH,M,Age,28.3
2010,BiH,M,Age,28.9
2011,BiH,M,Age,29.1
2012,BiH,M,Age,29.3
2013,BiH,M,Age,29.6
2014,BiH,M,Age,29.6
2015,BiH,M,Age,29.5
2016,BiH,M,Age,29.4
2017,BiH,M,Age,29.5
2018,BiH,M,Age,29.7
2019,BiH,M,Age,29.5
1996,BiH,F,Age,24.2
1997,BiH,F,Age,24.3
1998,BiH,F,Age,24.3
1999,BiH,F,Age,24.3
2000,BiH,F,Age,24.2
2001,BiH,F,Age,24.2
2002,BiH,F,Age,24.3
2003,BiH,F,Age,24.6
2004,BiH,F,Age,24.5
2005,BiH,F,Age,24.6
2006,BiH,F,Age,24.9
2007,BiH,F,Age,24.9
2008,BiH,F,Age,24.9
2009,BiH,F,Age,24.8
2010,BiH,F,Age,25.7
2011,BiH,F,Age,25.9
2012,BiH,F,Age,26.1
2013,BiH,F,Age,26.4
2014,BiH,F,Age,26.4
2015,BiH,F,Age,26.4
2016,BiH,F,Age,26.4
2017,BiH,F,Age,26.6
2018,BiH,F,Age,27.1
2019,BiH,F,Age,26.8
1996,FBIH,M,Age,27.7
1997,FBIH,M,Age,27.4
1998,FBIH,M,Age,27.4
1999,FBIH,M,Age,27.5
2000,FBIH,M,Age,27.6
2001,FBIH,M,Age,27.6
2002,FBIH,M,Age,27.7
2003,FBIH,M,Age,27.7
2004,FBIH,M,Age,27.8
2005,FBIH,M,Age,27.8
2006,FBIH,M,Age,27.9
2007,FBIH,M,Age,27.9
2008,FBIH,M,Age,28.1
2009,FBIH,M,Age,28.1
2010,FBIH,M,Age,28.6
2011,FBIH,M,Age,28.1
2012,FBIH,M,Age,28.4
2013,FBIH,M,Age,28.3
2014,FBIH,M,Age,28.3
2015,FBIH,M,Age,28.5
2016,FBIH,M,Age,28.3
2017,FBIH,M,Age,28.3
2018,FBIH,M,Age,28.5
2019,FBIH,M,Age,28.3
1996,FBIH,F,Age,24.4
1997,FBIH,F,Age,23.8
1998,FBIH,F,Age,24.4
1999,FBIH,F,Age,24.2
2000,FBIH,F,Age,23.9
2001,FBIH,F,Age,24.0
2002,FBIH,F,Age,24.1
2003,FBIH,F,Age,24.2
2004,FBIH,F,Age,24.2
2005,FBIH,F,Age,24.3
2006,FBIH,F,Age,24.3
2007,FBIH,F,Age,24.5
2008,FBIH,F,Age,24.6
2009,FBIH,F,Age,24.8
2010,FBIH,F,Age,24.9
2011,FBIH,F,Age,25.0
2012,FBIH,F,Age,25.2
2013,FBIH,F,Age,25.5
2014,FBIH,F,Age,25.2
2015,FBIH,F,Age,25.5
2016,FBIH,F,Age,25.4
2017,FBIH,F,Age,25.5
2018,FBIH,F,Age,25.8
2019,FBIH,F,Age,25.7
1998,RS,M,Age,28.6
2000,RS,M,Age,28.6
2003,RS,M,Age,28.3
2004,RS,M,Age,28.4
2005,RS,M,Age,28.6
2006,RS,M,Age,28.9
2007,RS,M,Age,28.9
2008,RS,M,Age,29.1
2009,RS,M,Age,29.1
2010,RS,M,Age,29.2
2011,RS,M,Age,29.5
2012,RS,M,Age,29.6
2013,RS,M,Age,29.9
2014,RS,M,Age,30.1
2015,RS,M,Age,30.0
2016,RS,M,Age,29.9
2017,RS,M,Age,30.2
2018,RS,M,Age,30.3
2019,RS,M,Age,30.2
1998,RS,F,Age,24.7
2000,RS,F,Age,24.9
2003,RS,F,Age,24.7
2004,RS,F,Age,24.8
2005,RS,F,Age,25.0
2006,RS,F,Age,25.3
2007,RS,F,Age,25.4
2008,RS,F,Age,25.4
2009,RS,F,Age,25.8
2010,RS,F,Age,25.9
2011,RS,F,Age,26.1
2012,RS,F,Age,26.3
2013,RS,F,Age,26.6
2014,RS,F,Age,26.7
2015,RS,F,Age,26.6
2016,RS,F,Age,26.7
2017,RS,F,Age,27.0
2018,RS,F,Age,27.3
2019,RS,F,Age,27.2
2004,BD,M,Age,30.0
2005,BD,M,Age,29.8
2006,BD,M,Age,30.1
2007,BD,M,Age,31.2
2008,BD,M,Age,30.1
2009,BD,M,Age,30.3
2010,BD,M,Age,29.3
2011,BD,M,Age,30.5
2012,BD,M,Age,30.7
2013,BD,M,Age,32.7
2014,BD,M,Age,30.7
2015,BD,M,Age,30.7
2016,BD,M,Age,33.8
2017,BD,M,Age,32.2
2018,BD,M,Age,32.4
2019,BD,M,Age,32.2
2004,BD,F,Age,26.9
2005,BD,F,Age,26.7
2006,BD,F,Age,26.0
2007,BD,F,Age,27.8
2008,BD,F,Age,26.6
2009,BD,F,Age,27.1
2010,BD,F,Age,27.0
2011,BD,F,Age,27.3
2012,BD,F,Age,27.8
2013,BD,F,Age,29.0
2014,BD,F,Age,28.1
2015,BD,F,Age,27.8
2016,BD,F,Age,30.7
2017,BD,F,Age,29.0
2018,BD,F,Age,29.2
2019,BD,F,Age,29.4
