Year,UNIT_MEASURE,SEX,Entity,BIRTHS,Value
1997,NUMBER,M,FBIH,LIVE_BIRTH,17961
1998,NUMBER,M,FBIH,LIVE_BIRTH,16344
1999,NUMBER,M,FBIH,LIVE_BIRTH,14242
2000,NUMBER,M,FBIH,LIVE_BIRTH,13088
2001,NUMBER,M,FBIH,LIVE_BIRTH,12347
2002,NUMBER,M,FBIH,LIVE_BIRTH,11932
2003,NUMBER,M,FBIH,LIVE_BIRTH,12083
2004,NUMBER,M,FBIH,LIVE_BIRTH,11476
2005,NUMBER,M,FBIH,LIVE_BIRTH,11287
2006,NUMBER,M,FBIH,LIVE_BIRTH,11207
2007,NUMBER,M,FBIH,LIVE_BIRTH,11293
2008,NUMBER,M,FBIH,LIVE_BIRTH,11730
2009,NUMBER,M,FBIH,LIVE_BIRTH,11876
2010,NUMBER,M,FBIH,LIVE_BIRTH,11561
2011,NUMBER,M,FBIH,LIVE_BIRTH,11014
2012,NUMBER,M,FBIH,LIVE_BIRTH,11154
2013,NUMBER,M,FBIH,LIVE_BIRTH,10391
2014,NUMBER,M,FBIH,LIVE_BIRTH,10185
2015,NUMBER,M,FBIH,LIVE_BIRTH,9884
2016,NUMBER,M,FBIH,LIVE_BIRTH,10214
2017,NUMBER,M,FBIH,LIVE_BIRTH,10247
2018,NUMBER,M,FBIH,LIVE_BIRTH,9742
2019,NUMBER,M,FBIH,LIVE_BIRTH,9342
1997,NUMBER,F,FBIH,LIVE_BIRTH,16343
1998,NUMBER,F,FBIH,LIVE_BIRTH,15136
1999,NUMBER,F,FBIH,LIVE_BIRTH,13722
2000,NUMBER,F,FBIH,LIVE_BIRTH,12284
2001,NUMBER,F,FBIH,LIVE_BIRTH,11671
2002,NUMBER,F,FBIH,LIVE_BIRTH,11319
2003,NUMBER,F,FBIH,LIVE_BIRTH,11085
2004,NUMBER,F,FBIH,LIVE_BIRTH,10774
2005,NUMBER,F,FBIH,LIVE_BIRTH,10647
2006,NUMBER,F,FBIH,LIVE_BIRTH,10395
2007,NUMBER,F,FBIH,LIVE_BIRTH,10422
2008,NUMBER,F,FBIH,LIVE_BIRTH,11190
2009,NUMBER,F,FBIH,LIVE_BIRTH,11037
2010,NUMBER,F,FBIH,LIVE_BIRTH,10821
2011,NUMBER,F,FBIH,LIVE_BIRTH,10214
2012,NUMBER,F,FBIH,LIVE_BIRTH,10318
2013,NUMBER,F,FBIH,LIVE_BIRTH,9754
2014,NUMBER,F,FBIH,LIVE_BIRTH,9695
2015,NUMBER,F,FBIH,LIVE_BIRTH,9474
2016,NUMBER,F,FBIH,LIVE_BIRTH,9441
2017,NUMBER,F,FBIH,LIVE_BIRTH,9577
2018,NUMBER,F,FBIH,LIVE_BIRTH,9157
2019,NUMBER,F,FBIH,LIVE_BIRTH,8677
1997,NUMBER,_T,FBIH,DEATHS,14703
1998,NUMBER,_T,FBIH,DEATHS,15311
1999,NUMBER,_T,FBIH,DEATHS,15516
2000,NUMBER,_T,FBIH,DEATHS,16985
2001,NUMBER,_T,FBIH,DEATHS,16756
2002,NUMBER,_T,FBIH,DEATHS,16988
2003,NUMBER,_T,FBIH,DEATHS,18049
2004,NUMBER,_T,FBIH,DEATHS,18122
2005,NUMBER,_T,FBIH,DEATHS,19099
2006,NUMBER,_T,FBIH,DEATHS,18497
2007,NUMBER,_T,FBIH,DEATHS,19280
2008,NUMBER,_T,FBIH,DEATHS,19306
2009,NUMBER,_T,FBIH,DEATHS,19829
2010,NUMBER,_T,FBIH,DEATHS,20256
2011,NUMBER,_T,FBIH,DEATHS,19979
2012,NUMBER,_T,FBIH,DEATHS,20621
2013,NUMBER,_T,FBIH,DEATHS,20269
2014,NUMBER,_T,FBIH,DEATHS,20030
2015,NUMBER,_T,FBIH,DEATHS,21474
2016,NUMBER,_T,FBIH,DEATHS,21105
2017,NUMBER,_T,FBIH,DEATHS,21689
2018,NUMBER,_T,FBIH,DEATHS,21442
2019,NUMBER,_T,FBIH,DEATHS,22024
1997,NUMBER,M,FBIH,NATURAL_CHANGE,7908
1998,NUMBER,M,FBIH,NATURAL_CHANGE,8216
1999,NUMBER,M,FBIH,NATURAL_CHANGE,8194
2000,NUMBER,M,FBIH,NATURAL_CHANGE,8917
2001,NUMBER,M,FBIH,NATURAL_CHANGE,8830
2002,NUMBER,M,FBIH,NATURAL_CHANGE,8757
2003,NUMBER,M,FBIH,NATURAL_CHANGE,9344
2004,NUMBER,M,FBIH,NATURAL_CHANGE,9258
2005,NUMBER,M,FBIH,NATURAL_CHANGE,9934
2006,NUMBER,M,FBIH,NATURAL_CHANGE,9538
2007,NUMBER,M,FBIH,NATURAL_CHANGE,9921
2008,NUMBER,M,FBIH,NATURAL_CHANGE,9982
2009,NUMBER,M,FBIH,NATURAL_CHANGE,10077
2010,NUMBER,M,FBIH,NATURAL_CHANGE,10220
2011,NUMBER,M,FBIH,NATURAL_CHANGE,10234
2012,NUMBER,M,FBIH,NATURAL_CHANGE,10599
2013,NUMBER,M,FBIH,NATURAL_CHANGE,10250
2014,NUMBER,M,FBIH,NATURAL_CHANGE,10184
2015,NUMBER,M,FBIH,NATURAL_CHANGE,10722
2016,NUMBER,M,FBIH,NATURAL_CHANGE,10538
2017,NUMBER,M,FBIH,NATURAL_CHANGE,10979
2018,NUMBER,M,FBIH,NATURAL_CHANGE,10756
2019,NUMBER,M,FBIH,NATURAL_CHANGE,11140
1997,NUMBER,F,FBIH,NATURAL_CHANGE,6795
1998,NUMBER,F,FBIH,NATURAL_CHANGE,7095
1999,NUMBER,F,FBIH,NATURAL_CHANGE,7322
