Year,SEX,UNIT_MEASURE,AGE,Value
2018,_T,_%,0-14,14.24
2020,_T,_%,0-14,14.04
2025,_T,_%,0-14,13.21
2030,_T,_%,0-14,12.52
2035,_T,_%,0-14,11.82
2040,_T,_%,0-14,11.17
2045,_T,_%,0-14,10.75
2050,_T,_%,0-14,10.55
2055,_T,_%,0-14,10.46
2060,_T,_%,0-14,10.38
2065,_T,_%,0-14,10.3
2070,_T,_%,0-14,10.24
2018,_T,_%,0-18,18.54
2020,_T,_%,0-18,18.17
2025,_T,_%,0-18,17.47
2030,_T,_%,0-18,16.37
2035,_T,_%,0-18,15.58
2040,_T,_%,0-18,14.8
2045,_T,_%,0-18,14.19
2050,_T,_%,0-18,13.83
2055,_T,_%,0-18,13.67
2060,_T,_%,0-18,13.58
2065,_T,_%,0-18,13.5
2070,_T,_%,0-18,13.44
2018,_T,_%,15-29,18.87
2020,_T,_%,15-29,17.67
2025,_T,_%,15-29,15.82
2030,_T,_%,15-29,14.36
2035,_T,_%,15-29,13.92
2040,_T,_%,15-29,13.37
2045,_T,_%,15-29,12.94
2050,_T,_%,15-29,12.47
2055,_T,_%,15-29,12.04
2060,_T,_%,15-29,11.8
2065,_T,_%,15-29,11.75
2070,_T,_%,15-29,11.78
2018,_T,_%,15-49,47.25
2020,_T,_%,15-49,45.93
2025,_T,_%,15-49,42.85
2030,_T,_%,15-49,39.63
2035,_T,_%,15-49,36.53
2040,_T,_%,15-49,33.98
2045,_T,_%,15-49,32.16
2050,_T,_%,15-49,30.64
2055,_T,_%,15-49,30.08
2060,_T,_%,15-49,29.47
2065,_T,_%,15-49,29.15
2070,_T,_%,15-49,28.93
2018,_T,_%,15-64,69.29
2020,_T,_%,15-64,67.98
2025,_T,_%,15-64,64.95
2030,_T,_%,15-64,61.69
2035,_T,_%,15-64,59.18
2040,_T,_%,15-64,56.82
2045,_T,_%,15-64,54.25
2050,_T,_%,15-64,51.5
2055,_T,_%,15-64,49.1
2060,_T,_%,15-64,47.52
2065,_T,_%,15-64,46.34
2070,_T,_%,15-64,46.26
2018,_T,_%,65+,16.47
2020,_T,_%,65+,17.98
2025,_T,_%,65+,21.85
2030,_T,_%,65+,25.79
2035,_T,_%,65+,29
2040,_T,_%,65+,32.01
2045,_T,_%,65+,35
2050,_T,_%,65+,37.94
2055,_T,_%,65+,40.44
2060,_T,_%,65+,42.1
2065,_T,_%,65+,43.36
2070,_T,_%,65+,43.5
2018,_T,_%,75+,6.61
2020,_T,_%,75+,6.78
2025,_T,_%,75+,8.44
2030,_T,_%,75+,10.99
2035,_T,_%,75+,13.93
2040,_T,_%,75+,16.85
2045,_T,_%,75+,19.02
2050,_T,_%,75+,21.09
2055,_T,_%,75+,23.33
2060,_T,_%,75+,25.7
2065,_T,_%,75+,27.74
2070,_T,_%,75+,28.98
2018,_T,_%,85+,1.19
2020,_T,_%,85+,1.44
2025,_T,_%,85+,2.11
2030,_T,_%,85+,2.33
2035,_T,_%,85+,3.24
2040,_T,_%,85+,4.65
2045,_T,_%,85+,6.2
2050,_T,_%,85+,7.7
2055,_T,_%,85+,8.75
2060,_T,_%,85+,9.93
2065,_T,_%,85+,11.36
2070,_T,_%,85+,12.95
2018,_T,_%,100+,0.01
2020,_T,_%,100+,0.01
2025,_T,_%,100+,0.01
2030,_T,_%,100+,0.02
2035,_T,_%,100+,0.04
2040,_T,_%,100+,0.06
2045,_T,_%,100+,0.08
2050,_T,_%,100+,0.15
2055,_T,_%,100+,0.25
2060,_T,_%,100+,0.36
2065,_T,_%,100+,0.48
2070,_T,_%,100+,0.58
2018,M,_%,0-14,7.33
2020,M,_%,0-14,7.22
2025,M,_%,0-14,6.79
2030,M,_%,0-14,6.43
2035,M,_%,0-14,6.06
2040,M,_%,0-14,5.73
2045,M,_%,0-14,5.51
2050,M,_%,0-14,5.4
2055,M,_%,0-14,5.35
2060,M,_%,0-14,5.31
2065,M,_%,0-14,5.27
2070,M,_%,0-14,5.24
2018,M,_%,0-18,9.54
2020,M,_%,0-18,9.35
2025,M,_%,0-18,8.97
2030,M,_%,0-18,8.39
2035,M,_%,0-18,7.98
2040,M,_%,0-18,7.57
2045,M,_%,0-18,7.26
2050,M,_%,0-18,7.07
2055,M,_%,0-18,6.98
2060,M,_%,0-18,6.93
2065,M,_%,0-18,6.89
2070,M,_%,0-18,6.86
2018,M,_%,15-29,9.68
2020,M,_%,15-29,8.99
2025,M,_%,15-29,7.95
2030,M,_%,15-29,7.19
2035,M,_%,15-29,6.95
2040,M,_%,15-29,6.67
2045,M,_%,15-29,6.44
2050,M,_%,15-29,6.19
2055,M,_%,15-29,5.96
2060,M,_%,15-29,5.84
2065,M,_%,15-29,5.81
2070,M,_%,15-29,5.82
2018,M,_%,15-49,24.07
2020,M,_%,15-49,23.22
2025,M,_%,15-49,21.26
