Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value
2021,2018,M,0-14,-255913.00
2021,2020,M,0-14,-247796.39
2021,2025,M,0-14,-222013.71
2021,2030,M,0-14,-199296.65
2021,2035,M,0-14,-176575.87
2021,2040,M,0-14,-155603.50
2021,2045,M,0-14,-138732.12
2021,2050,M,0-14,-125279.59
2021,2055,M,0-14,-113691.16
2021,2060,M,0-14,-102849.69
2021,2065,M,0-14,-92612.55
2021,2070,M,0-14,-83229.23
2021,2018,M,0-18,-333145.00
2021,2020,M,0-18,-320599.07
2021,2025,M,0-18,-293229.70
2021,2030,M,0-18,-259993.17
2021,2035,M,0-18,-232461.57
2021,2040,M,0-18,-205847.01
2021,2045,M,0-18,-182738.42
2021,2050,M,0-18,-163858.32
2021,2055,M,0-18,-148218.85
2021,2060,M,0-18,-134202.15
2021,2065,M,0-18,-121071.07
2021,2070,M,0-18,-108970.91
2021,2018,M,15-29,-337883.00
2021,2020,M,15-29,-308413.08
2021,2025,M,15-29,-260029.98
2021,2030,M,15-29,-222802.14
2021,2035,M,15-29,-202505.62
2021,2040,M,15-29,-181252.18
2021,2045,M,15-29,-162245.69
2021,2050,M,15-29,-143416.75
2021,2055,M,15-29,-126573.33
2021,2060,M,15-29,-113029.38
2021,2065,M,15-29,-102046.81
2021,2070,M,15-29,-92476.25
2021,2018,M,15-49,-840629.00
2021,2020,M,15-49,-796383.95
2021,2025,M,15-49,-695191.33
2021,2030,M,15-49,-598995.44
2021,2035,M,15-49,-512463.51
2021,2040,M,15-49,-440716.72
2021,2045,M,15-49,-384237.59
2021,2050,M,15-49,-336202.40
2021,2055,M,15-49,-300805.65
2021,2060,M,15-49,-267989.93
2021,2065,M,15-49,-240180.19
2021,2070,M,15-49,-215183.81
2021,2018,M,15-64,-1215068.00
2021,2020,M,15-64,-1165216.13
2021,2025,M,15-64,-1048187.78
2021,2030,M,15-64,-930823.00
2021,2035,M,15-64,-828174.60
2021,2040,M,15-64,-732041.19
2021,2045,M,15-64,-639446.55
2021,2050,M,15-64,-553092.29
2021,2055,M,15-64,-479237.28
2021,2060,M,15-64,-420813.00
2021,2065,M,15-64,-371840.92
2021,2070,M,15-64,-334558.77
2021,2018,M,65+,-243272.00
2021,2020,M,65+,-263804.83
2021,2025,M,65+,-311898.61
2021,2030,M,65+,-354143.93
2021,2035,M,65+,-377698.02
2021,2040,M,65+,-390474.03
2021,2045,M,65+,-395318.86
2021,2050,M,65+,-392428.70
2021,2055,M,65+,-379122.43
2021,2060,M,65+,-354612.84
2021,2065,M,65+,-326096.54
2021,2070,M,65+,-291938.72
2021,2018,M,75+,-89422.00
2021,2020,M,75+,-90069.64
2021,2025,M,75+,-109078.39
2021,2030,M,75+,-139429.42
2021,2035,M,75+,-170498.17
2021,2040,M,75+,-195835.35
2021,2045,M,75+,-207084.94
2021,2050,M,75+,-212616.50
2021,2055,M,75+,-215262.57
2021,2060,M,75+,-214471.85
2021,2065,M,75+,-207249.90
2021,2070,M,75+,-192567.31
2021,2018,M,85+,-14573.00
2021,2020,M,85+,-17447.59
2021,2025,M,85+,-24778.28
2021,2030,M,85+,-26232.80
2021,2035,M,85+,-35487.64
2021,2040,M,85+,-49540.75
2021,2045,M,85+,-62942.54
2021,2050,M,85+,-73464.87
2021,2055,M,85+,-77624.86
2021,2060,M,85+,-80660.52
2021,2065,M,85+,-83458.39
2021,2070,M,85+,-85035.01
2021,2018,M,100+,-85.00
2021,2020,M,100+,-62.98
2021,2025,M,100+,-68.86
2021,2030,M,100+,-199.65
2021,2035,M,100+,-394.66
2021,2040,M,100+,-661.68
2021,2045,M,100+,-738.63
2021,2050,M,100+,-1327.84
2021,2055,M,100+,-2127.69
2021,2060,M,100+,-2885.64
2021,2065,M,100+,-3539.93
2021,2070,M,100+,-3839.44
2021,2018,F,0-14,241267.00
2021,2020,F,0-14,233772.58
2021,2025,F,0-14,209817.07
2021,2030,F,0-14,188433.34
2021,2035,F,0-14,167733.42
2021,2040,F,0-14,147983.55
2021,2045,F,0-14,132070.82
2021,2050,F,0-14,119361.34
2021,2055,F,0-14,108389.87
2021,2060,F,0-14,98105.63
2021,2065,F,0-14,88382.47
2021,2070,F,0-14,79463.21
2021,2018,F,0-18,314180.00
2021,2020,F,0-18,302711.47
2021,2025,F,0-18,277800.30
2021,2030,F,0-18,246910.42
2021,2035,F,0-18,221225.26
2021,2040,F,0-18,196518.81
2021,2045,F,0-18,174699.57
2021,2050,F,0-18,156830.06
2021,2055,F,0-18,141991.38
2021,2060,F,0-18,128659.24
2021,2065,F,0-18,116146.01
2021,2070,F,0-18,104600.82
2021,2018,F,15-29,321040.00
2021,2020,F,15-29,297789.84
2021,2025,F,15-29,257232.59
2021,2030,F,15-29,221901.59
2021,2035,F,15-29,202788.14
2021,2040,F,15-29,182268.00
2021,2045,F,15-29,163766.60
2021,2050,F,15-29,145797.58
2021,2055,F,15-29,129036.58
2021,2060,F,15-29,115443.40
2021,2065,F,15-29,104393.65
2021,2070,F,15-29,94758.33
2021,2018,F,15-49,809225.00
2021,2020,F,15-49,779247.51
2021,2025,F,15-49,705653.38
2021,2030,F,15-49,628498.30
2021,2035,F,15-49,551466.16
2021,2040,F,15-49,482860.57
2021,2045,F,15-49,425594.62
2021,2050,F,15-49,374178.58
2021,2055,F,15-49,337809.12
2021,2060,F,15-49,302324.90
2021,2065,F,15-49,271838.13
2021,2070,F,15-49,244466.28
2021,2018,F,15-64,1204504.00
2021,2020,F,15-64,1166615.16
2021,2025,F,15-64,1075232.96
2021,2030,F,15-64,979786.19
2021,2035,F,15-64,895261.86
2021,2040,F,15-64,812224.01
2021,2045,F,15-64,726732.31
2021,2050,F,15-64,641137.88
2021,2055,F,15-64,563367.65
2021,2060,F,15-64,498858.89
