Year,Entity,UNIT_MEASURE,Value
1971,BiH,number_birth_rate,9.40
1981,BiH,number_birth_rate,8.90
1991,BiH,number_birth_rate,6.50
1996,BiH,number_birth_rate,5.80
1997,BiH,number_birth_rate,6.20
1998,BiH,number_birth_rate,6.10
1999,BiH,number_birth_rate,6.00
2000,BiH,number_birth_rate,5.80
2001,BiH,number_birth_rate,5.30
2002,BiH,number_birth_rate,5.30
2003,BiH,number_birth_rate,5.40
2004,BiH,number_birth_rate,5.80
2005,BiH,number_birth_rate,5.60
2006,BiH,number_birth_rate,5.60
2007,BiH,number_birth_rate,6.12
2008,BiH,number_birth_rate,5.77
2009,BiH,number_birth_rate,5.37
2010,BiH,number_birth_rate,5.08
2011,BiH,number_birth_rate,4.99
2012,BiH,number_birth_rate,4.75
2013,BiH,number_birth_rate,5.00
2014,BiH,number_birth_rate,5.30
2015,BiH,number_birth_rate,5.60
2016,BiH,number_birth_rate,5.50
2017,BiH,number_birth_rate,5.70
2018,BiH,number_birth_rate,5.70
2019,BiH,number_birth_rate,5.40
1996,FBIH,number_birth_rate,6.50
1997,FBIH,number_birth_rate,6.80
1998,FBIH,number_birth_rate,6.70
1999,FBIH,number_birth_rate,6.30
2000,FBIH,number_birth_rate,6.00
2001,FBIH,number_birth_rate,5.50
2002,FBIH,number_birth_rate,5.60
2003,FBIH,number_birth_rate,5.60
2004,FBIH,number_birth_rate,5.90
2005,FBIH,number_birth_rate,5.80
2006,FBIH,number_birth_rate,5.60
2007,FBIH,number_birth_rate,6.40
2008,FBIH,number_birth_rate,6.40
2009,FBIH,number_birth_rate,5.90
2010,FBIH,number_birth_rate,5.60
2011,FBIH,number_birth_rate,5.40
2012,FBIH,number_birth_rate,5.20
2013,FBIH,number_birth_rate,4.90
2014,FBIH,number_birth_rate,5.40
2015,FBIH,number_birth_rate,5.90
2016,FBIH,number_birth_rate,5.80
2017,FBIH,number_birth_rate,5.90
2018,FBIH,number_birth_rate,5.90
2019,FBIH,number_birth_rate,5.60
1996,RS,number_birth_rate,5.20
1997,RS,number_birth_rate,5.80
1998,RS,number_birth_rate,6.00
1999,RS,number_birth_rate,6.60
2000,RS,number_birth_rate,6.40
2001,RS,number_birth_rate,6.00
2002,RS,number_birth_rate,6.10
2003,RS,number_birth_rate,5.70
2004,RS,number_birth_rate,6.00
2005,RS,number_birth_rate,5.70
2006,RS,number_birth_rate,5.80
2007,RS,number_birth_rate,6.00
2008,RS,number_birth_rate,5.43
2009,RS,number_birth_rate,5.20
2010,RS,number_birth_rate,4.90
2011,RS,number_birth_rate,4.94
2012,RS,number_birth_rate,4.54
2013,RS,number_birth_rate,4.67
2014,RS,number_birth_rate,4.99
2015,RS,number_birth_rate,5.07
2016,RS,number_birth_rate,4.81
2017,RS,number_birth_rate,5.20
2018,RS,number_birth_rate,5.20
2019,RS,number_birth_rate,5.10
2006,BD,number_birth_rate,8.90
2007,BD,number_birth_rate,9.41
2008,BD,number_birth_rate,8.98
2009,BD,number_birth_rate,8.85
2010,BD,number_birth_rate,8.20
2011,BD,number_birth_rate,8.10
2012,BD,number_birth_rate,9.29
2013,BD,number_birth_rate,7.50
2014,BD,number_birth_rate,7.90
2015,BD,number_birth_rate,8.00
2016,BD,number_birth_rate,7.80
2017,BD,number_birth_rate,8.60
2018,BD,number_birth_rate,8.00
2019,BD,number_birth_rate,8.50
