Year,UNIT_MEASURE,Entity,Value
1971,NUMBER,BiH,88.2,88.2
1981,NUMBER,BiH,93.3,93.3
1991,NUMBER,BiH,56.3,56.3
1997,NUMBER,BiH,79,79.02670112
1998,NUMBER,BiH,87.7,87.68640057
1999,NUMBER,BiH,88.8,88.77714489
2000,NUMBER,BiH,88.1,88.09425949
2001,NUMBER,BiH,104.7,104.7187469
2002,NUMBER,BiH,112.9,112.9112414
2003,NUMBER,BiH,92.5,92.50952588
2004,NUMBER,BiH,68.4,68.443286
2005,NUMBER,BiH,81.3,81.25172827
2006,NUMBER,BiH,77.2,77.1592019
2007,NUMBER,BiH,77.7,77.72197157
2008,NUMBER,BiH,61.8,61.80307887
2009,NUMBER,BiH,68,67.94940144
2010,NUMBER,BiH,85.8,85.76838442
2011,NUMBER,BiH,120.5,120.5366465
2012,NUMBER,BiH,125.8,125.8020291
2013,NUMBER,BiH,148.1,148.0451682
2014,NUMBER,BiH,144.1,144.0755243
2015,NUMBER,BiH,150.5,150.513055
2016,NUMBER,BiH,143.9,143.9397872
2017,NUMBER,BiH,151.3,151.3345686
2018,NUMBER,BiH,155.2,155.2408217
2019,NUMBER,BiH,147.2,147.2140144
1996,NUMBER,FBIH,25.7,25.7282875
1997,NUMBER,FBIH,68.4,68.36436087
1998,NUMBER,FBIH,77.9,77.94383754
1999,NUMBER,FBIH,84.1,84.07420371
2000,NUMBER,FBIH,84.9,84.92874622
2001,NUMBER,FBIH,100.8,100.7994984
2002,NUMBER,FBIH,110.5,110.4818062
2003,NUMBER,FBIH,89.6,89.60464051
2004,NUMBER,FBIH,62.6,62.57758306
2005,NUMBER,FBIH,70.9,70.92511013
2006,NUMBER,FBIH,71.7,71.70304334
2007,NUMBER,FBIH,69.6,69.62452728
2008,NUMBER,FBIH,62.9,62.91501777
2009,NUMBER,FBIH,58.9,58.88807608
2010,NUMBER,FBIH,76.5,76.53218355
2011,NUMBER,FBIH,97,96.98943522
2012,NUMBER,FBIH,97.5,97.51243781
2013,NUMBER,FBIH,119.8,119.8488709
2014,NUMBER,FBIH,110.2,110.2487064
2015,NUMBER,FBIH,115.8,115.7878508
2016,NUMBER,FBIH,113,112.9788898
2017,NUMBER,FBIH,132.8,132.7535786
2018,NUMBER,FBIH,139.6,139.5758365
2019,NUMBER,FBIH,136.4,136.3932822
1997,NUMBER,RS,95.1,95.07911163
1998,NUMBER,RS,102.1,102.1430559
1999,NUMBER,RS,93.5,93.50057013
2000,NUMBER,RS,92.6,92.64590421
2001,NUMBER,RS,115.6,115.6149882
2002,NUMBER,RS,117.2,117.2404258
2003,NUMBER,RS,109.9,109.9128379
2004,NUMBER,RS,89.2,89.17821644
2005,NUMBER,RS,105.9,105.8737151
2006,NUMBER,RS,76.7,76.67638484
2007,NUMBER,RS,84,84.026505
2008,NUMBER,RS,49.5,49.52351195
2009,NUMBER,RS,74.2,74.21301582
2010,NUMBER,RS,89.6,89.64799723
2011,NUMBER,RS,152.7,152.7059635
2012,NUMBER,RS,164.9,164.851671
2013,NUMBER,RS,192.4,192.427291
2014,NUMBER,RS,189.9,189.9364589
2015,NUMBER,RS,193.9,193.8931298
2016,NUMBER,RS,184.3,184.2531008
2017,NUMBER,RS,165.4,165.4350017
2018,NUMBER,RS,161.4,161.4146832
2019,NUMBER,RS,158,158.0212985
2002,NUMBER,BD,90.1,90.0621118
2003,NUMBER,BD,122.1,122.1374046
2004,NUMBER,BD,122.8,122.7621483
2005,NUMBER,BD,127.1,127.0553064
2006,NUMBER,BD,135.2,135.2154532
2007,NUMBER,BD,132,132.0224719
2008,NUMBER,BD,120.6,120.5882353
2009,NUMBER,BD,207.5,207.4626866
2010,NUMBER,BD,249.2,249.1909385
2011,NUMBER,BD,324.6,324.6329527
2012,NUMBER,BD,335.7,335.7041252
2013,NUMBER,BD,307.1,307.073955
2014,NUMBER,BD,378.6,378.5822021
2015,NUMBER,BD,464.2,464.1791045
2016,NUMBER,BD,442.6,442.5727412
2017,NUMBER,BD,410.9,410.8635097
2018,NUMBER,BD,471.5,471.5189873
2019,NUMBER,BD,312.2,312.1869783
