Year,UNIT_MEASURE,SEX,AGE,Value
2018,NUMBER,_T,Total,3492023.00
2018,NUMBER,_T,0,29304.00
2018,NUMBER,_T,1,29995.00
2018,NUMBER,_T,2,29995.00
2018,NUMBER,_T,3,29566.00
2018,NUMBER,_T,4,30087.00
2018,NUMBER,_T,5,30487.00
2018,NUMBER,_T,6,34340.00
2018,NUMBER,_T,7,34192.00
2018,NUMBER,_T,8,35540.00
2018,NUMBER,_T,9,36576.00
2018,NUMBER,_T,10,36416.00
2018,NUMBER,_T,11,35032.00
2018,NUMBER,_T,12,34885.00
2018,NUMBER,_T,13,35394.00
2018,NUMBER,_T,14,35371.00
2018,NUMBER,_T,15,36154.00
2018,NUMBER,_T,16,36690.00
2018,NUMBER,_T,17,38105.00
2018,NUMBER,_T,18,39196.00
2018,NUMBER,_T,19,40457.00
2018,NUMBER,_T,20,44679.00
2018,NUMBER,_T,21,49640.00
2018,NUMBER,_T,22,52209.00
2018,NUMBER,_T,23,51959.00
2018,NUMBER,_T,24,44406.00
2018,NUMBER,_T,25,37828.00
2018,NUMBER,_T,26,43284.00
2018,NUMBER,_T,27,48558.00
2018,NUMBER,_T,28,48051.00
2018,NUMBER,_T,29,47707.00
2018,NUMBER,_T,30,49939.00
2018,NUMBER,_T,31,49807.00
2018,NUMBER,_T,32,49532.00
2018,NUMBER,_T,33,50507.00
2018,NUMBER,_T,34,51448.00
2018,NUMBER,_T,35,50794.00
2018,NUMBER,_T,36,51167.00
2018,NUMBER,_T,37,50642.00
2018,NUMBER,_T,38,50330.00
2018,NUMBER,_T,39,49548.00
2018,NUMBER,_T,40,49487.00
2018,NUMBER,_T,41,49317.00
2018,NUMBER,_T,42,51251.00
2018,NUMBER,_T,43,49565.00
2018,NUMBER,_T,44,48524.00
2018,NUMBER,_T,45,47950.00
2018,NUMBER,_T,46,49027.00
2018,NUMBER,_T,47,48514.00
2018,NUMBER,_T,48,45042.00
2018,NUMBER,_T,49,48540.00
2018,NUMBER,_T,50,48827.00
2018,NUMBER,_T,51,49938.00
2018,NUMBER,_T,52,51728.00
2018,NUMBER,_T,53,53243.00
2018,NUMBER,_T,54,51756.00
2018,NUMBER,_T,55,52530.00
2018,NUMBER,_T,56,53922.00
2018,NUMBER,_T,57,53887.00
2018,NUMBER,_T,58,53840.00
2018,NUMBER,_T,59,51985.00
2018,NUMBER,_T,60,52482.00
2018,NUMBER,_T,61,47582.00
2018,NUMBER,_T,62,49876.00
2018,NUMBER,_T,63,48513.00
2018,NUMBER,_T,64,49609.00
2018,NUMBER,_T,65,45978.00
2018,NUMBER,_T,66,46083.00
2018,NUMBER,_T,67,37090.00
2018,NUMBER,_T,68,39423.00
2018,NUMBER,_T,69,38224.00
2018,NUMBER,_T,70,33281.00
2018,NUMBER,_T,71,32296.00
2018,NUMBER,_T,72,28659.00
2018,NUMBER,_T,73,22492.00
2018,NUMBER,_T,74,20934.00
2018,NUMBER,_T,75,20822.00
2018,NUMBER,_T,76,21301.00
2018,NUMBER,_T,77,22722.00
2018,NUMBER,_T,78,23779.00
2018,NUMBER,_T,79,21527.00
2018,NUMBER,_T,80,19847.00
2018,NUMBER,_T,81,17932.00
2018,NUMBER,_T,82,15893.00
2018,NUMBER,_T,83,13748.00
2018,NUMBER,_T,84,11671.00
2018,NUMBER,_T,85,9769.00
2018,NUMBER,_T,86,7840.00
2018,NUMBER,_T,87,5920.00
2018,NUMBER,_T,88,5308.00
2018,NUMBER,_T,89,3658.00
2018,NUMBER,_T,90,3038.00
2018,NUMBER,_T,91,1860.00
2018,NUMBER,_T,92,1327.00
2018,NUMBER,_T,93,920.00
2018,NUMBER,_T,94,621.00
2018,NUMBER,_T,95,409.00
2018,NUMBER,_T,96,297.00
2018,NUMBER,_T,97,160.00
2018,NUMBER,_T,98,122.00
2018,NUMBER,_T,99,87.00
2018,NUMBER,_T,100,101.00
2018,NUMBER,_T,101,60.00
2018,NUMBER,_T,102,31.00
2018,NUMBER,_T,103,18.00
2018,NUMBER,_T,104,11.00
2018,NUMBER,_T,105,6.00
2018,NUMBER,_T,106,3.00
2018,NUMBER,_T,107,2.00
2018,NUMBER,_T,108,1.00
2018,NUMBER,_T,109,0.00
2018,NUMBER,_T,110,0.00
2018,NUMBER,_T,111,0.00
2018,NUMBER,_T,112,0.00
2018,NUMBER,_T,113,0.00
2018,NUMBER,_T,114,0.00
2018,NUMBER,_T,115,0.00
2018,NUMBER,_T,116,0.00
2018,NUMBER,_T,117,0.00
2018,NUMBER,_T,118,0.00
2018,NUMBER,_T,119,0.00
2018,NUMBER,_T,120+,0.00
2018,_%,_T,Total,100.00
2018,_%,_T,0,0.84
2018,_%,_T,1,0.86
2018,_%,_T,2,0.86
2018,_%,_T,3,0.85
2018,_%,_T,4,0.86
2018,_%,_T,5,0.87
2018,_%,_T,6,0.98
2018,_%,_T,7,0.98
2018,_%,_T,8,1.02
2018,_%,_T,9,1.05
2018,_%,_T,10,1.04
2018,_%,_T,11,1.00
2018,_%,_T,12,1.00
2018,_%,_T,13,1.01
2018,_%,_T,14,1.01
2018,_%,_T,15,1.04
2018,_%,_T,16,1.05
2018,_%,_T,17,1.09
2018,_%,_T,18,1.12
2018,_%,_T,19,1.16
2018,_%,_T,20,1.28
2018,_%,_T,21,1.42
2018,_%,_T,22,1.50
2018,_%,_T,23,1.49
2018,_%,_T,24,1.27
2018,_%,_T,25,1.08
2018,_%,_T,26,1.24
2018,_%,_T,27,1.39
2018,_%,_T,28,1.38
2018,_%,_T,29,1.37
