Year,SEX,UNIT_MEASURE,Value
2020,_T,_%,10.94
2025,_T,_%,11.93
2030,_T,_%,13.09
2035,_T,_%,14.47
2040,_T,_%,16.01
2045,_T,_%,17.51
2050,_T,_%,18.78
2055,_T,_%,19.84
2060,_T,_%,20.73
2065,_T,_%,21.51
2070,_T,_%,22.20
2020,M,_%,9.06
2025,M,_%,8.49
2030,M,_%,7.92
2035,M,_%,7.47
2040,M,_%,7.29
2045,M,_%,7.22
2050,M,_%,7.19
2055,M,_%,7.16
2060,M,_%,7.11
2065,M,_%,7.08
2070,M,_%,7.12
2020,F,_%,8.16
2025,F,_%,7.50
2030,F,_%,6.86
2035,F,_%,6.35
2040,F,_%,6.10
2045,F,_%,5.94
2050,F,_%,5.81
2055,F,_%,5.69
2060,F,_%,5.56
2065,F,_%,5.45
2070,F,_%,5.41
