Year,UNIT_MEASURE,SEX,Entity,Value
1996,NO_PER_1000_LIVE_BIRTHS,_T,BiH,5.82
1997,NO_PER_1000_LIVE_BIRTHS,_T,BiH,4.96
1998,NO_PER_1000_LIVE_BIRTHS,_T,BiH,4.49
1999,NO_PER_1000_LIVE_BIRTHS,_T,BiH,5.28
2000,NO_PER_1000_LIVE_BIRTHS,_T,BiH,4.02
2001,NO_PER_1000_LIVE_BIRTHS,_T,BiH,5.12
2002,NO_PER_1000_LIVE_BIRTHS,_T,BiH,3.88
2003,NO_PER_1000_LIVE_BIRTHS,_T,BiH,4.26
2004,NO_PER_1000_LIVE_BIRTHS,_T,BiH,4.78
2005,NO_PER_1000_LIVE_BIRTHS,_T,BiH,4.25
2006,NO_PER_1000_LIVE_BIRTHS,_T,BiH,4.03
2007,NO_PER_1000_LIVE_BIRTHS,_T,BiH,5.14
2008,NO_PER_1000_LIVE_BIRTHS,_T,BiH,5.00
2009,NO_PER_1000_LIVE_BIRTHS,_T,BiH,3.94
2010,NO_PER_1000_LIVE_BIRTHS,_T,BiH,4.27
2011,NO_PER_1000_LIVE_BIRTHS,_T,BiH,3.71
2012,NO_PER_1000_LIVE_BIRTHS,_T,BiH,3.69
2013,NO_PER_1000_LIVE_BIRTHS,_T,BiH,3.32
2014,NO_PER_1000_LIVE_BIRTHS,_T,BiH,2.54
2015,NO_PER_1000_LIVE_BIRTHS,_T,BiH,3.83
2016,NO_PER_1000_LIVE_BIRTHS,_T,BiH,3.64
2017,NO_PER_1000_LIVE_BIRTHS,_T,BiH,3.41
2018,NO_PER_1000_LIVE_BIRTHS,_T,BiH,2.99
2019,NO_PER_1000_LIVE_BIRTHS,_T,BiH,2.89
1997,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,4.87
1998,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,4.64
1999,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,5.51
2000,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,4.22
2001,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,4.83
2002,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,4.21
2003,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,4.70
2004,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,5.53
2005,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,5.02
2006,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,4.86
2007,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,5.99
2008,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,5.63
2009,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,3.93
2010,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,3.80
2011,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,3.58
2012,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,3.17
2013,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,2.98
2014,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,2.67
2015,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,5.01
2016,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,4.83
2017,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,4.24
2018,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,3.60
2019,NO_PER_1000_LIVE_BIRTHS,_T,FBIH,3.83
1997,NO_PER_1000_LIVE_BIRTHS,_T,RS,5.60
1998,NO_PER_1000_LIVE_BIRTHS,_T,RS,4.14
1999,NO_PER_1000_LIVE_BIRTHS,_T,RS,4.83
2000,NO_PER_1000_LIVE_BIRTHS,_T,RS,3.66
2001,NO_PER_1000_LIVE_BIRTHS,_T,RS,5.62
2002,NO_PER_1000_LIVE_BIRTHS,_T,RS,3.24
2003,NO_PER_1000_LIVE_BIRTHS,_T,RS,3.51
2004,NO_PER_1000_LIVE_BIRTHS,_T,RS,3.29
2005,NO_PER_1000_LIVE_BIRTHS,_T,RS,3.88
2006,NO_PER_1000_LIVE_BIRTHS,_T,RS,2.57
2007,NO_PER_1000_LIVE_BIRTHS,_T,RS,3.86
2008,NO_PER_1000_LIVE_BIRTHS,_T,RS,3.33
2009,NO_PER_1000_LIVE_BIRTHS,_T,RS,3.02
2010,NO_PER_1000_LIVE_BIRTHS,_T,RS,4.04
2011,NO_PER_1000_LIVE_BIRTHS,_T,RS,3.03
2012,NO_PER_1000_LIVE_BIRTHS,_T,RS,3.81
2013,NO_PER_1000_LIVE_BIRTHS,_T,RS,3.89
2014,NO_PER_1000_LIVE_BIRTHS,_T,RS,2.36
2015,NO_PER_1000_LIVE_BIRTHS,_T,RS,1.82
2016,NO_PER_1000_LIVE_BIRTHS,_T,RS,1.59
2017,NO_PER_1000_LIVE_BIRTHS,_T,RS,1.82
2018,NO_PER_1000_LIVE_BIRTHS,_T,RS,1.88
2019,NO_PER_1000_LIVE_BIRTHS,_T,RS,1.40
2004,NO_PER_1000_LIVE_BIRTHS,_T,BD,10.2
2005,NO_PER_1000_LIVE_BIRTHS,_T,BD,11.3
2006,NO_PER_1000_LIVE_BIRTHS,_T,BD,5.5
