Year,UNIT_MEASURE,SEX,STILLBIRTH_RATE,Entity,Value
1996,NUMBER,_T,per_1000,BiH,5.82
1997,NUMBER,_T,per_1000,BiH,4.96
1998,NUMBER,_T,per_1000,BiH,4.49
1999,NUMBER,_T,per_1000,BiH,5.28
2000,NUMBER,_T,per_1000,BiH,4.02
2001,NUMBER,_T,per_1000,BiH,5.12
2002,NUMBER,_T,per_1000,BiH,3.88
2003,NUMBER,_T,per_1000,BiH,4.26
2004,NUMBER,_T,per_1000,BiH,4.78
2005,NUMBER,_T,per_1000,BiH,4.25
2006,NUMBER,_T,per_1000,BiH,4.03
2007,NUMBER,_T,per_1000,BiH,5.14
2008,NUMBER,_T,per_1000,BiH,5.00
2009,NUMBER,_T,per_1000,BiH,3.94
2010,NUMBER,_T,per_1000,BiH,4.27
2011,NUMBER,_T,per_1000,BiH,3.71
2012,NUMBER,_T,per_1000,BiH,3.69
2013,NUMBER,_T,per_1000,BiH,3.32
2014,NUMBER,_T,per_1000,BiH,2.54
2015,NUMBER,_T,per_1000,BiH,3.83
2016,NUMBER,_T,per_1000,BiH,3.64
2017,NUMBER,_T,per_1000,BiH,3.41
2018,NUMBER,_T,per_1000,BiH,2.99
2019,NUMBER,_T,per_1000,BiH,2.89
1997,NUMBER,_T,per_1000,FBiH,4.87
1998,NUMBER,_T,per_1000,FBiH,4.64
1999,NUMBER,_T,per_1000,FBiH,5.51
2000,NUMBER,_T,per_1000,FBiH,4.22
2001,NUMBER,_T,per_1000,FBiH,4.83
2002,NUMBER,_T,per_1000,FBiH,4.21
2003,NUMBER,_T,per_1000,FBiH,4.70
2004,NUMBER,_T,per_1000,FBiH,5.53
2005,NUMBER,_T,per_1000,FBiH,5.02
2006,NUMBER,_T,per_1000,FBiH,4.86
2007,NUMBER,_T,per_1000,FBiH,5.99
2008,NUMBER,_T,per_1000,FBiH,5.63
2009,NUMBER,_T,per_1000,FBiH,3.93
2010,NUMBER,_T,per_1000,FBiH,3.80
2011,NUMBER,_T,per_1000,FBiH,3.58
2012,NUMBER,_T,per_1000,FBiH,3.17
2013,NUMBER,_T,per_1000,FBiH,2.98
2014,NUMBER,_T,per_1000,FBiH,2.67
2015,NUMBER,_T,per_1000,FBiH,5.01
2016,NUMBER,_T,per_1000,FBiH,4.83
2017,NUMBER,_T,per_1000,FBiH,4.24
2018,NUMBER,_T,per_1000,FBiH,3.60
2019,NUMBER,_T,per_1000,FBiH,3.83
1997,NUMBER,_T,per_1000,RS,5.60
1998,NUMBER,_T,per_1000,RS,4.14
1999,NUMBER,_T,per_1000,RS,4.83
2000,NUMBER,_T,per_1000,RS,3.66
2001,NUMBER,_T,per_1000,RS,5.62
2002,NUMBER,_T,per_1000,RS,3.24
2003,NUMBER,_T,per_1000,RS,3.51
2004,NUMBER,_T,per_1000,RS,3.29
2005,NUMBER,_T,per_1000,RS,3.88
2006,NUMBER,_T,per_1000,RS,2.57
2007,NUMBER,_T,per_1000,RS,3.86
2008,NUMBER,_T,per_1000,RS,3.33
2009,NUMBER,_T,per_1000,RS,3.02
2010,NUMBER,_T,per_1000,RS,4.04
2011,NUMBER,_T,per_1000,RS,3.03
2012,NUMBER,_T,per_1000,RS,3.81
2013,NUMBER,_T,per_1000,RS,3.89
2014,NUMBER,_T,per_1000,RS,2.36
2015,NUMBER,_T,per_1000,RS,1.82
2016,NUMBER,_T,per_1000,RS,1.59
2017,NUMBER,_T,per_1000,RS,1.82
2018,NUMBER,_T,per_1000,RS,1.88
2019,NUMBER,_T,per_1000,RS,1.40
2001,NUMBER,_T,per_1000,BD,10.16
2002,NUMBER,_T,per_1000,BD,11.26
2003,NUMBER,_T,per_1000,BD,5.48
2004,NUMBER,_T,per_1000,BD,4.10
2005,NUMBER,_T,per_1000,BD,8.84
2006,NUMBER,_T,per_1000,BD,12.86
2007,NUMBER,_T,per_1000,BD,16.38
2008,NUMBER,_T,per_1000,BD,12.15
2009,NUMBER,_T,per_1000,BD,13.49
2010,NUMBER,_T,per_1000,BD,4.46
2011,NUMBER,_T,per_1000,BD,2.18
2017,NUMBER,_T,per_1000,BD,3.41
2018,NUMBER,_T,per_1000,BD,2.99
2019,NUMBER,_T,per_1000,BD,2.89
2001,NUMBER,M,number_of_stillbirths,BiH,98.00
2002,NUMBER,M,number_of_stillbirths,BiH,77.00
2003,NUMBER,M,number_of_stillbirths,BiH,91.00
2004,NUMBER,M,number_of_stillbirths,BiH,94.00
2005,NUMBER,M,number_of_stillbirths,BiH,85.00
2006,NUMBER,M,number_of_stillbirths,BiH,83.00
2007,NUMBER,M,number_of_stillbirths,BiH,98.00
2008,NUMBER,M,number_of_stillbirths,BiH,102.00
2009,NUMBER,M,number_of_stillbirths,BiH,80.00
2010,NUMBER,M,number_of_stillbirths,BiH,83.00
2011,NUMBER,M,number_of_stillbirths,BiH,57.00
2012,NUMBER,M,number_of_stillbirths,BiH,64.00
2013,NUMBER,M,number_of_stillbirths,BiH,45.00
2014,NUMBER,M,number_of_stillbirths,BiH,45.00
2015,NUMBER,M,number_of_stillbirths,BiH,56.00
2016,NUMBER,M,number_of_stillbirths,BiH,54.00
2017,NUMBER,M,number_of_stillbirths,BiH,51.00
2018,NUMBER,M,number_of_stillbirths,BiH,49.00
2019,NUMBER,M,number_of_stillbirths,BiH,40.00
2001,NUMBER,F,number_of_stillbirths,BiH,95.00
2002,NUMBER,F,number_of_stillbirths,BiH,61.00
2003,NUMBER,F,number_of_stillbirths,BiH,59.00
2004,NUMBER,F,number_of_stillbirths,BiH,74.00
2005,NUMBER,F,number_of_stillbirths,BiH,62.00
2006,NUMBER,F,number_of_stillbirths,BiH,54.00
2007,NUMBER,F,number_of_stillbirths,BiH,76.00
2008,NUMBER,F,number_of_stillbirths,BiH,69.00
2009,NUMBER,F,number_of_stillbirths,BiH,56.00
2010,NUMBER,F,number_of_stillbirths,BiH,60.00
2011,NUMBER,F,number_of_stillbirths,BiH,61.00
2012,NUMBER,F,number_of_stillbirths,BiH,56.00
2013,NUMBER,F,number_of_stillbirths,BiH,57.00
2014,NUMBER,F,number_of_stillbirths,BiH,32.00
2015,NUMBER,F,number_of_stillbirths,BiH,58.00
2016,NUMBER,F,number_of_stillbirths,BiH,56.00
2017,NUMBER,F,number_of_stillbirths,BiH,52.00
2018,NUMBER,F,number_of_stillbirths,BiH,39.00
2019,NUMBER,F,number_of_stillbirths,BiH,42.00
1996,NUMBER,_T,number_of_stillbirths,BiH,271.00
1997,NUMBER,_T,number_of_stillbirths,BiH,240.00
1998,NUMBER,_T,number_of_stillbirths,BiH,202.00
1999,NUMBER,_T,number_of_stillbirths,BiH,224.00
2000,NUMBER,_T,number_of_stillbirths,BiH,159.00
2001,NUMBER,_T,number_of_stillbirths,BiH,193.00
2002,NUMBER,_T,number_of_stillbirths,BiH,138.00
2003,NUMBER,_T,number_of_stillbirths,BiH,150.00
2004,NUMBER,_T,number_of_stillbirths,BiH,168.00
2005,NUMBER,_T,number_of_stillbirths,BiH,147.00
2006,NUMBER,_T,number_of_stillbirths,BiH,137.00
2007,NUMBER,_T,number_of_stillbirths,BiH,174.00
2008,NUMBER,_T,number_of_stillbirths,BiH,171.00
2009,NUMBER,_T,number_of_stillbirths,BiH,136.00
2010,NUMBER,_T,number_of_stillbirths,BiH,143.00
2011,NUMBER,_T,number_of_stillbirths,BiH,118.00
2012,NUMBER,_T,number_of_stillbirths,BiH,120.00
2013,NUMBER,_T,number_of_stillbirths,BiH,102.00
2014,NUMBER,_T,number_of_stillbirths,BiH,77.00
2015,NUMBER,_T,number_of_stillbirths,BiH,114.00
2016,NUMBER,_T,number_of_stillbirths,BiH,110.00
2017,NUMBER,_T,number_of_stillbirths,BiH,103.00
2018,NUMBER,_T,number_of_stillbirths,BiH,88.00
2019,NUMBER,_T,number_of_stillbirths,BiH,82.00
1997,NUMBER,M,number_of_stillbirths,FBiH,98.00
1998,NUMBER,M,number_of_stillbirths,FBiH,76.00
1999,NUMBER,M,number_of_stillbirths,FBiH,88.00
2000,NUMBER,M,number_of_stillbirths,FBiH,59.00
2001,NUMBER,M,number_of_stillbirths,FBiH,60.00
2002,NUMBER,M,number_of_stillbirths,FBiH,60.00
2003,NUMBER,M,number_of_stillbirths,FBiH,72.00
2004,NUMBER,M,number_of_stillbirths,FBiH,70.00
2005,NUMBER,M,number_of_stillbirths,FBiH,69.00
2006,NUMBER,M,number_of_stillbirths,FBiH,62.00
2007,NUMBER,M,number_of_stillbirths,FBiH,73.00
2008,NUMBER,M,number_of_stillbirths,FBiH,79.00
2009,NUMBER,M,number_of_stillbirths,FBiH,52.00
2010,NUMBER,M,number_of_stillbirths,FBiH,55.00
2011,NUMBER,M,number_of_stillbirths,FBiH,39.00
2012,NUMBER,M,number_of_stillbirths,FBiH,36.00
2013,NUMBER,M,number_of_stillbirths,FBiH,27.00
2014,NUMBER,M,number_of_stillbirths,FBiH,32.00
2015,NUMBER,M,number_of_stillbirths,FBiH,48.00
2016,NUMBER,M,number_of_stillbirths,FBiH,54.00
2017,NUMBER,M,number_of_stillbirths,FBiH,41.00
2018,NUMBER,M,number_of_stillbirths,FBiH,37.00
2019,NUMBER,M,number_of_stillbirths,FBiH,36.00
1997,NUMBER,F,number_of_stillbirths,FBiH,69.00
1998,NUMBER,F,number_of_stillbirths,FBiH,70.00
1999,NUMBER,F,number_of_stillbirths,FBiH,66.00
2000,NUMBER,F,number_of_stillbirths,FBiH,48.00
2001,NUMBER,F,number_of_stillbirths,FBiH,56.00
