Year,UNIT_MEASURE,Entity,Value
2002,NUMBER,BiH,10.00
2002,NUMBER,FBiH,10.00
2003,NUMBER,BiH,5.00
2003,NUMBER,FBiH,5.00
2004,NUMBER,BiH,18.00
2004,NUMBER,FBiH,18.00
2005,NUMBER,BiH,18.00
2005,NUMBER,FBiH,9.00
2005,NUMBER,RS,9.00
2006,NUMBER,BiH,15.00
2006,NUMBER,FBiH,15.00
2007,NUMBER,BiH,22.00
2007,NUMBER,FBiH,17.00
2007,NUMBER,RS,5.00
2008,NUMBER,BiH,15.00
2008,NUMBER,FBiH,11.00
2008,NUMBER,RS,4.00
2009,NUMBER,BiH,10.00
2009,NUMBER,FBiH,5.00
2009,NUMBER,RS,5.00
2010,NUMBER,BiH,22.00
2010,NUMBER,FBiH,7.00
2010,NUMBER,RS,15.00
2011,NUMBER,BiH,30.00
2011,NUMBER,FBiH,5.00
2011,NUMBER,RS,25.00
2012,NUMBER,BiH,18.00
2012,NUMBER,FBiH,6.00
2012,NUMBER,RS,12.00
2013,NUMBER,BiH,14.00
2013,NUMBER,FBiH,5.00
2013,NUMBER,RS,9.00
2014,NUMBER,BiH,21.00
2014,NUMBER,FBiH,6.00
2014,NUMBER,RS,15.00
2015,NUMBER,BiH,12.00
2015,NUMBER,FBiH,4.00
2015,NUMBER,RS,8.00
2016,NUMBER,BiH,16.00
2016,NUMBER,FBiH,9.00
2016,NUMBER,RS,7.00
2017,NUMBER,BiH,20.00
2017,NUMBER,FBiH,9.00
2017,NUMBER,RS,11.00
2018,NUMBER,BiH,17.00
2018,NUMBER,FBiH,5.00
2018,NUMBER,RS,12.00
2019,NUMBER,BiH,42.00
2019,NUMBER,FBiH,42.00
