Year,AGE,UNIT_MEASURE,SEX,Value
2013,0-14,NUMBER,_T,4525
2013,15-19,NUMBER,_T,2886
2013,20-29,NUMBER,_T,6398
2013,30-49,NUMBER,_T,40196
2013,50-59,NUMBER,_T,57495
2013,60-64,NUMBER,_T,34559
2013,65+,NUMBER,_T,147999
2013,0-14,_%,_T,1.538812071
2013,15-19,_%,_T,0.981439036
2013,20-29,_%,_T,2.175761244
2013,30-49,_%,_T,13.66941216
2013,50-59,_%,_T,19.5522652
2013,60-64,_%,_T,11.7524434
2013,65+,_%,_T,50.3298669
2013,0-14,NUMBER,M,2606
2013,15-19,NUMBER,M,1641
2013,20-29,NUMBER,M,3821
2013,30-49,NUMBER,M,25762
2013,50-59,NUMBER,M,30653
2013,60-64,NUMBER,M,16157
2013,65+,NUMBER,M,52335
2013,0-14,_%,M,1.959766873
2013,15-19,_%,M,1.234066554
2013,20-29,_%,M,2.873472457
2013,30-49,_%,M,19.37356646
2013,50-59,_%,M,23.05170145
2013,60-64,_%,M,12.15040421
2013,65+,_%,M,39.357022
2013,0-14,NUMBER,F,1919
2013,15-19,NUMBER,F,1245
2013,20-29,NUMBER,F,2577
2013,30-49,NUMBER,F,14434
2013,50-59,NUMBER,F,26842
2013,60-64,NUMBER,F,18402
2013,65+,NUMBER,F,95664
2013,0-14,_%,F,1.191311312
2013,15-19,_%,F,0.772893477
2013,20-29,_%,F,1.599796378
2013,30-49,_%,F,8.960597953
2013,50-59,_%,F,16.66345921
2013,60-64,_%,F,11.42392431
2013,65+,_%,F,59.38801736
