Year,UNIT_MEASURE,school_year_end,SEX,Value
2013,NUMBER,2010/2011,_T,35349
2013,NUMBER,2011/2012,_T,34791
2013,NUMBER,2012/2013,_T,40630
2013,NUMBER,2013/2014,_T,43991
2013,NUMBER,2014/2015,_T,43318
2013,NUMBER,2015/2016,_T,35897
2013,NUMBER,2016/2017,_T,31761
2013,NUMBER,2017/2018,_T,32963
2013,NUMBER,2018/2019,_T,32540
2013,NUMBER,2019/2020,_T,31140
2013,NUMBER,2010/2011,M,18022
2013,NUMBER,2011/2012,M,18153
2013,NUMBER,2012/2013,M,20895
2013,NUMBER,2013/2014,M,22589
2013,NUMBER,2014/2015,M,22230
2013,NUMBER,2015/2016,M,18464
2013,NUMBER,2016/2017,M,16307
2013,NUMBER,2017/2018,M,16580
2013,NUMBER,2018/2019,M,16519
2013,NUMBER,2019/2020,M,15982
2013,NUMBER,2010/2011,F,17327
2013,NUMBER,2011/2012,F,16638
2013,NUMBER,2012/2013,F,19735
2013,NUMBER,2013/2014,F,21402
2013,NUMBER,2014/2015,F,21088
2013,NUMBER,2015/2016,F,17433
2013,NUMBER,2016/2017,F,15454
2013,NUMBER,2017/2018,F,16383
2013,NUMBER,2018/2019,F,16021
2013,NUMBER,2019/2020,F,15158
