Year,UNIT_MEASURE,ADMIN_AREA,Value
1997,EUR,BiH,912
1998,EUR,BiH,1062
1999,EUR,BiH,1181
2000,EUR,BiH,1300
2001,EUR,BiH,1411
2002,EUR,BiH,1556
2003,EUR,BiH,1642
2004,EUR,BiH,1796
2005,EUR,BiH,2548
2006,EUR,BiH,2895
2007,EUR,BiH,3255
2008,EUR,BiH,3684
2009,EUR,BiH,3581
2010,EUR,BiH,3664
2011,EUR,BiH,3791
2012,EUR,BiH,3793
2013,EUR,BiH,3878
2014,EUR,BiH,3967
2015,EUR,BiH,4155
2016,EUR,BiH,4355
2017,EUR,BiH,4578
2018,EUR,BiH,4891
2019,EUR,BiH,5178
1997,BAM,BiH,1798
1998,BAM,BiH,2094
1999,BAM,BiH,2310
2000,BAM,BiH,2542
2001,BAM,BiH,2759
2002,BAM,BiH,3044
2003,BAM,BiH,3211
2004,BAM,BiH,3512
2005,BAM,BiH,4983
2006,BAM,BiH,5663
2007,BAM,BiH,6366
2008,BAM,BiH,7205
2009,BAM,BiH,7003
2010,BAM,BiH,7165
2011,BAM,BiH,7414
2012,BAM,BiH,7418
2013,BAM,BiH,7584
2014,BAM,BiH,7759
2015,BAM,BiH,8127
2016,BAM,BiH,8517
2017,BAM,BiH,8954
2018,BAM,BiH,9566
2019,BAM,BiH,10128
1997,USD,BiH,1037
1998,USD,BiH,1189
1999,USD,BiH,1259
2000,USD,BiH,1200
2001,USD,BiH,1263
2002,USD,BiH,1466
2003,USD,BiH,1852
2004,USD,BiH,2229
2005,USD,BiH,3168
2006,USD,BiH,3632
2007,USD,BiH,4453
2008,USD,BiH,5390
2009,USD,BiH,4978
2010,USD,BiH,4851
2011,USD,BiH,5273
2012,USD,BiH,4872
2013,USD,BiH,5147
2014,USD,BiH,5265
2015,USD,BiH,4611
2016,USD,BiH,4818
2017,USD,BiH,5160
2018,USD,BiH,5771
2019,USD,BiH,5797
