Indicator,Disaggregation combinations using this value
#1-1-1,246
#1-1-2,264
#1-2-1,8
#1-3-1,16
#1-3-2,16
#1-3-3,16
#1-3-4,16
#1-3-5,16
#1-3-6,16
#1-6-2,4
#1-6-3,4
#1-6-4,4
#1-7-1,1
#1-7-2,1
#1-7-3,1
#1-7-4,1
#1-7-5,1
#1-7-6,1
#1-7-7,1
#1-7-8,1
#2-1-1,244
#2-1-2,68
#2-1-3,4
#2-1-4,3
#2-1-5,1
#2-1-6,1
#2-2-1,1
#2-2-2,1
#2-2-3,1
#2-3-1,1
#2-3-2,1
#2-4-1,1
#2-4-2,1
#2-5-1,1
#3-1-1,22
#3-1-3,4
#3-7-1,14
#5-1-1,16
#5-1-2,4
#5-1-3,4
#5-1-4,15
#5-2-1,1
#5-2-2,1
#5-2-3,1
#5-3-1,1
#5-3-2,1
#5-3-3,1
#5-3-4,1
#5-3-5,1
#5-4-1,1
#5-4-2,1
#5-4-3,1
#5-5-1,1
#5-5-2,1
#5-5-3,1
#5-5-4,1
#5-6-1,1
#5-6-2,1
#5-6-3,1
#5-6-4,1
#5-7-1,1
#5-7-2,1
#5-7-3,1
#5-7-4,1
#7-1-1,6
#7-1-2,6
#7-1-3,6
#8-1-1,6
