Indicator,Disaggregation combinations using this value
#1-1-1,7
#1-2-5,2
#1-3-2,3
#1-3-4,65
#1-3-5,3
#1-4-5,2
#1-6-1,1
#1-6-3,1
#1-7-1,366
#1-7-2,102
#1-7-4,9
#1-7-7,3
#1-8-1,1
#1-8-3,1
#2-1-1,369
#2-1-2,102
#2-1-3,8090
#2-1-5,11
#2-2-1,54
#2-2-2,60
#2-2-3,51
#2-3-1,8
#2-3-2,2
#2-4-1,6
#2-4-2,21
#2-5-1,21
#3-1-1,65
#3-1-2,21
#3-1-3,3
#3-2-1,1
#3-2-2,1
#3-2-3,1
#3-2-4,1
#3-3-1,1
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-3-5,1
#3-4-1,1
#3-4-2,1
#3-5-1,1
#3-5-2,1
#3-5-3,1
#3-5-4,1
#3-5-5,1
#3-5-6,1
#3-5-7,1
#3-5-8,1
#3-5-9,1
#3-7-1,21
#4-1-1,9
#4-1-2,15
#4-1-3,15
#4-1-4,3
#5-1-1,30
#5-1-2,30
#5-1-3,30
#5-1-4,30
#5-2-1,30
#5-2-2,30
#5-2-3,30
#5-3-1,30
#5-3-2,210
#5-3-3,30
#5-3-4,210
#5-3-5,30
