Indicator,Disaggregation combinations using this value
#1-1-1,246
#1-1-14 ,34
#1-10-1,34
#1-11-1,34
#1-12-1,34
#1-13-1,34
#1-15-1,34
#1-16-1,34
#1-17-1,34
#1-18-1,34
#1-19-1,34
#1-2-1,264
#1-20-1,34
#1-21-1,34
#1-22-1,34
#1-23-1,34
#1-24-1,34
#1-25-1,34
#1-26-1,34
#1-27-1,34
#1-28-1,34
#1-29-1,34
#1-3-1,34
#1-30-1,34
#1-31-1,34
#1-32-1,34
#1-33-1,34
#1-34-1,34
#1-35-1,34
#1-4-1,78
#1-5-1,703
#1-7-1,34
#1-8-1,34
#1-9-1,34
#16-2-2,2
#16-5-1,1
#2-1-2,4
#3-2-1,4
#3-2-2,2
#3-3-1,3
#3-4-1,5
#3-4-2,2
#3-5-1,1
#3-5-2,1
#3-9-3,1
#3-a-1,1
#4-1-1,2
#4-1-2,27
#4-3-1,1
#4-4-1,8
#4-5-1,15
#5-5-1,1
#8-10-2,1
#8-3-1,3
#8-5-2,3
#8-6-1,1
