Year,UNIT_MEASURE,Sex,AGE,Administrative area,Value
2013,Number,Both sexes,0-4,Federation of BiH,114843
2013,Number,Both sexes,5-9,Federation of BiH,116052
2013,Number,Both sexes,10-14,Federation of BiH,126053
2013,Number,Both sexes,15-19,Federation of BiH,161881
2013,Number,Both sexes,20-24,Federation of BiH,150902
2013,Number,Both sexes,25-29,Federation of BiH,164203
2013,Number,Both sexes,30-34,Federation of BiH,160988
2013,Number,Both sexes,35-39,Federation of BiH,157715
2013,Number,Both sexes,40-44,Federation of BiH,154830
2013,Number,Both sexes,45-49,Federation of BiH,167109
2013,Number,Both sexes,50-54,Federation of BiH,173996
2013,Number,Both sexes,55-59,Federation of BiH,156089
2013,Number,Both sexes,60-64,Federation of BiH,128613
2013,Number,Both sexes,65-69,Federation of BiH,88391
2013,Number,Both sexes,70-74,Federation of BiH,81023
2013,Number,Both sexes,75-79,Federation of BiH,65613
2013,Number,Both sexes,80-84,Federation of BiH,35227
2013,Number,Both sexes,85+,Federation of BiH,15692
2013,Number,Both sexes,Unknown,Federation of BiH,0
2013,Number,Both sexes,Total,Federation of BiH,2219220
2013,Number,Both sexes,0-14,Federation of BiH,356948
2013,Number,Both sexes,15-29,Federation of BiH,476986
2013,Number,Both sexes,15-49,Federation of BiH,1117628
2013,Number,Both sexes,15-64,Federation of BiH,1576326
2013,Number,Both sexes,65+,Federation of BiH,285946
2013,Number,Both sexes,75+,Federation of BiH,116532
2013,Number,M,0-4,Federation of BiH,59017
2013,Number,M,5-9,Federation of BiH,59633
2013,Number,M,10-14,Federation of BiH,64493
2013,Number,M,15-19,Federation of BiH,83298
2013,Number,M,20-24,Federation of BiH,77103
2013,Number,M,25-29,Federation of BiH,84119
2013,Number,M,30-34,Federation of BiH,81932
2013,Number,M,35-39,Federation of BiH,78939
2013,Number,M,40-44,Federation of BiH,77122
2013,Number,M,45-49,Federation of BiH,82594
2013,Number,M,50-54,Federation of BiH,85303
2013,Number,M,55-59,Federation of BiH,75568
2013,Number,M,60-64,Federation of BiH,59899
2013,Number,M,65-69,Federation of BiH,39438
2013,Number,M,70-74,Federation of BiH,34445
2013,Number,M,75-79,Federation of BiH,26695
2013,Number,M,80-84,Federation of BiH,13493
2013,Number,M,85+,Federation of BiH,4902
2013,Number,M,Unknown,Federation of BiH,0
2013,Number,M,Total,Federation of BiH,1087993
2013,Number,M,0-14,Federation of BiH,183143
2013,Number,M,15-29,Federation of BiH,244520
2013,Number,M,15-49,Federation of BiH,565107
2013,Number,M,15-64,Federation of BiH,785877
2013,Number,M,65+,Federation of BiH,118973
2013,Number,M,75+,Federation of BiH,45090
2013,Number,F,0-4,Federation of BiH,55826
2013,Number,F,5-9,Federation of BiH,56419
2013,Number,F,10-14,Federation of BiH,61560
2013,Number,F,15-19,Federation of BiH,78583
2013,Number,F,20-24,Federation of BiH,73799
2013,Number,F,25-29,Federation of BiH,80084
