Year,Municipality,AGE,UNIT_MEASURE,Sex,Value
2013,Banja Luka,Total,Number,Both sexes,185042
2013,Banja Luka,Total,Number,M,89148
2013,Banja Luka,Total,Number,F,95894
2013,Banovići,Total,Number,Both sexes,22773
2013,Banovići,Total,Number,M,11392
2013,Banovići,Total,Number,F,11381
2013,Berkovići,Total,Number,Both sexes,2114
2013,Berkovići,Total,Number,M,1059
2013,Berkovići,Total,Number,F,1055
2013,Bihać,Total,Number,Both sexes,56261
2013,Bihać,Total,Number,M,27041
2013,Bihać,Total,Number,F,29220
2013,Bijeljina,Total,Number,Both sexes,107715
2013,Bijeljina,Total,Number,M,52827
2013,Bijeljina,Total,Number,F,54888
2013,Bileća,Total,Number,Both sexes,10807
2013,Bileća,Total,Number,M,5454
2013,Bileća,Total,Number,F,5353
2013,Bosanska Krupa,Total,Number,Both sexes,25545
2013,Bosanska Krupa,Total,Number,M,12548
2013,Bosanska Krupa,Total,Number,F,12997
2013,Bosanski Petrovac,Total,Number,Both sexes,7328
2013,Bosanski Petrovac,Total,Number,M,3678
2013,Bosanski Petrovac,Total,Number,F,3650
2013,Bosansko Grahovo,Total,Number,Both sexes,2449
2013,Bosansko Grahovo,Total,Number,M,1287
2013,Bosansko Grahovo,Total,Number,F,1162
2013,Bratunac,Total,Number,Both sexes,20340
2013,Bratunac,Total,Number,M,10091
2013,Bratunac,Total,Number,F,10249
2013,Brčko,Total,Number,Both sexes,83516
2013,Brčko,Total,Number,M,41250
2013,Brčko,Total,Number,F,42266
2013,Breza,Total,Number,Both sexes,14168
2013,Breza,Total,Number,M,6952
2013,Breza,Total,Number,F,7216
2013,Brod,Total,Number,Both sexes,16619
2013,Brod,Total,Number,M,8143
2013,Brod,Total,Number,F,8476
2013,Bugojno,Total,Number,Both sexes,31470
2013,Bugojno,Total,Number,M,15635
2013,Bugojno,Total,Number,F,15835
2013,Busovača,Total,Number,Both sexes,17910
2013,Busovača,Total,Number,M,9134
2013,Busovača,Total,Number,F,8776
2013,Bužim,Total,Number,Both sexes,19340
2013,Bužim,Total,Number,M,9885
2013,Bužim,Total,Number,F,9455
2013,Cazin,Total,Number,Both sexes,66149
2013,Cazin,Total,Number,M,33072
2013,Cazin,Total,Number,F,33077
2013,Sarajevo - Centar,Total,Number,Both sexes,55181
2013,Sarajevo - Centar,Total,Number,M,25369
2013,Sarajevo - Centar,Total,Number,F,29812
2013,Čajniče,Total,Number,Both sexes,4895
2013,Čajniče,Total,Number,M,2474
2013,Čajniče,Total,Number,F,2421
2013,Čapljina,Total,Number,Both sexes,26157
2013,Čapljina,Total,Number,M,12947
2013,Čapljina,Total,Number,F,13210
2013,Čelić,Total,Number,Both sexes,10502
2013,Čelić,Total,Number,M,5256
2013,Čelić,Total,Number,F,5246
2013,Čelinac,Total,Number,Both sexes,15548
2013,Čelinac,Total,Number,M,7728
2013,Čelinac,Total,Number,F,7820
2013,Čitluk,Total,Number,Both sexes,18140
2013,Čitluk,Total,Number,M,8937
2013,Čitluk,Total,Number,F,9203
2013,Derventa,Total,Number,Both sexes,27404
2013,Derventa,Total,Number,M,13397
2013,Derventa,Total,Number,F,14007
2013,Doboj,Total,Number,Both sexes,71441
2013,Doboj,Total,Number,M,34916
2013,Doboj,Total,Number,F,36525
2013,Doboj-Istok,Total,Number,Both sexes,10248
2013,Doboj-Istok,Total,Number,M,5061
2013,Doboj-Istok,Total,Number,F,5187
2013,Doboj-Jug,Total,Number,Both sexes,4137
2013,Doboj-Jug,Total,Number,M,2065
2013,Doboj-Jug,Total,Number,F,2072
2013,Dobretići,Total,Number,Both sexes,1629
2013,Dobretići,Total,Number,M,905
2013,Dobretići,Total,Number,F,724
2013,Domaljevac-Šamac,Total,Number,Both sexes,4771
2013,Domaljevac-Šamac,Total,Number,M,2373
2013,Domaljevac-Šamac,Total,Number,F,2398
2013,Donji Vakuf,Total,Number,Both sexes,13985
2013,Donji Vakuf,Total,Number,M,6922
2013,Donji Vakuf,Total,Number,F,7063
2013,Donji Žabar,Total,Number,Both sexes,3809
2013,Donji Žabar,Total,Number,M,1920
2013,Donji Žabar,Total,Number,F,1889
2013,Drvar,Total,Number,Both sexes,7036
2013,Drvar,Total,Number,M,3473
2013,Drvar,Total,Number,F,3563
2013,Foča - FBiH,Total,Number,Both sexes,1933
2013,Foča - FBiH,Total,Number,M,998
2013,Foča - FBiH,Total,Number,F,935
2013,Foča - RS,Total,Number,Both sexes,18288
2013,Foča - RS,Total,Number,M,9236
2013,Foča - RS,Total,Number,F,9052
2013,Fojnica,Total,Number,Both sexes,12356
2013,Fojnica,Total,Number,M,6197
2013,Fojnica,Total,Number,F,6159
2013,Gacko,Total,Number,Both sexes,8990
2013,Gacko,Total,Number,M,4556
2013,Gacko,Total,Number,F,4434
2013,Glamoč,Total,Number,Both sexes,3860
2013,Glamoč,Total,Number,M,1963
2013,Glamoč,Total,Number,F,1897
2013,Goražde,Total,Number,Both sexes,20897
2013,Goražde,Total,Number,M,10163
2013,Goražde,Total,Number,F,10734
2013,Gornji Vakuf-Uskoplje,Total,Number,Both sexes,20933
2013,Gornji Vakuf-Uskoplje,Total,Number,M,10532
2013,Gornji Vakuf-Uskoplje,Total,Number,F,10401
2013,Gračanica,Total,Number,Both sexes,45220
2013,Gračanica,Total,Number,M,21641
2013,Gračanica,Total,Number,F,23579
2013,Gradačac,Total,Number,Both sexes,39340
2013,Gradačac,Total,Number,M,19234
2013,Gradačac,Total,Number,F,20106
2013,Gradiška,Total,Number,Both sexes,51727
2013,Gradiška,Total,Number,M,25271
2013,Gradiška,Total,Number,F,26456
2013,Grude,Total,Number,Both sexes,17308
2013,Grude,Total,Number,M,8621
2013,Grude,Total,Number,F,8687
2013,Sarajevo - Hadžići,Total,Number,Both sexes,23891
2013,Sarajevo - Hadžići,Total,Number,M,11914
2013,Sarajevo - Hadžići,Total,Number,F,11977
2013,Han Pijesak,Total,Number,Both sexes,3530
2013,Han Pijesak,Total,Number,M,1667
2013,Han Pijesak,Total,Number,F,1863
2013,Sarajevo - Ilidža,Total,Number,Both sexes,66730
2013,Sarajevo - Ilidža,Total,Number,M,32359
2013,Sarajevo - Ilidža,Total,Number,F,34371
2013,Sarajevo - Ilijaš,Total,Number,Both sexes,19603
2013,Sarajevo - Ilijaš,Total,Number,M,9381
2013,Sarajevo - Ilijaš,Total,Number,F,10222
2013,Istočna Ilidža,Total,Number,Both sexes,14763
2013,Istočna Ilidža,Total,Number,M,7069
2013,Istočna Ilidža,Total,Number,F,7694
2013,Istočni Drvar,Total,Number,Both sexes,79
2013,Istočni Drvar,Total,Number,M,53
2013,Istočni Drvar,Total,Number,F,26
2013,Istočni Mostar,Total,Number,Both sexes,257
2013,Istočni Mostar,Total,Number,M,142
2013,Istočni Mostar,Total,Number,F,115
2013,Istočni Stari Grad,Total,Number,Both sexes,1131
2013,Istočni Stari Grad,Total,Number,M,560
2013,Istočni Stari Grad,Total,Number,F,571
2013,Istočno Novo Sarajevo,Total,Number,Both sexes,10642
2013,Istočno Novo Sarajevo,Total,Number,M,5058
2013,Istočno Novo Sarajevo,Total,Number,F,5584
2013,Jablanica,Total,Number,Both sexes,10111
2013,Jablanica,Total,Number,M,5027
2013,Jablanica,Total,Number,F,5084
2013,Jajce,Total,Number,Both sexes,27258
2013,Jajce,Total,Number,M,13856
2013,Jajce,Total,Number,F,13402
2013,Jezero,Total,Number,Both sexes,1144
2013,Jezero,Total,Number,M,601
2013,Jezero,Total,Number,F,543
2013,Kakanj,Total,Number,Both sexes,37441
2013,Kakanj,Total,Number,M,18651
2013,Kakanj,Total,Number,F,18790
2013,Kalesija,Total,Number,Both sexes,33053
2013,Kalesija,Total,Number,M,16597
2013,Kalesija,Total,Number,F,16456
2013,Kalinovik,Total,Number,Both sexes,2029
2013,Kalinovik,Total,Number,M,987
2013,Kalinovik,Total,Number,F,1042
2013,Kiseljak,Total,Number,Both sexes,20722
2013,Kiseljak,Total,Number,M,10285
2013,Kiseljak,Total,Number,F,10437
2013,Kladanj,Total,Number,Both sexes,12348
