Year,UNIT_MEASURE,Sex,Age,Value
1971,Number,Both sexes,0,78188
1971,Number,Both sexes,1,78436
1971,Number,Both sexes,2,79185
1971,Number,Both sexes,3,83244
1971,Number,Both sexes,4,86452
1971,Number,Both sexes,5,87769
1971,Number,Both sexes,6,87799
1971,Number,Both sexes,7,88629
1971,Number,Both sexes,8,88698
1971,Number,Both sexes,9,89770
1971,Number,Both sexes,10,91769
1971,Number,Both sexes,11,88438
1971,Number,Both sexes,12,91254
1971,Number,Both sexes,13,84816
1971,Number,Both sexes,14,85922
1971,Number,Both sexes,15,85979
1971,Number,Both sexes,16,90521
1971,Number,Both sexes,17,81829
1971,Number,Both sexes,18,86722
1971,Number,Both sexes,19,66336
1971,Number,Both sexes,20,72810
1971,Number,Both sexes,21,69228
1971,Number,Both sexes,22,61911
1971,Number,Both sexes,23,57263
1971,Number,Both sexes,24,58105
1971,Number,Both sexes,25,43515
1971,Number,Both sexes,26,42568
1971,Number,Both sexes,27,42705
1971,Number,Both sexes,28,45326
1971,Number,Both sexes,29,51613
1971,Number,Both sexes,30,55927
1971,Number,Both sexes,31,58757
1971,Number,Both sexes,32,56737
1971,Number,Both sexes,33,59159
1971,Number,Both sexes,34,59230
1971,Number,Both sexes,35,59449
1971,Number,Both sexes,36,58439
1971,Number,Both sexes,37,57138
1971,Number,Both sexes,38,54962
1971,Number,Both sexes,39,50494
1971,Number,Both sexes,40,53335
1971,Number,Both sexes,41,51482
1971,Number,Both sexes,42,51670
1971,Number,Both sexes,43,45131
1971,Number,Both sexes,44,41398
1971,Number,Both sexes,45,38430
1971,Number,Both sexes,46,34889
1971,Number,Both sexes,47,32616
1971,Number,Both sexes,48,32560
1971,Number,Both sexes,49,27746
1971,Number,Both sexes,50,31304
1971,Number,Both sexes,51,27640
1971,Number,Both sexes,52,16290
1971,Number,Both sexes,53,13739
1971,Number,Both sexes,54,12867
1971,Number,Both sexes,55,17033
1971,Number,Both sexes,56,26007
1971,Number,Both sexes,57,23600
1971,Number,Both sexes,58,25741
1971,Number,Both sexes,59,22248
1971,Number,Both sexes,60,27390
1971,Number,Both sexes,61,23213
1971,Number,Both sexes,62,20179
1971,Number,Both sexes,63,21543
1971,Number,Both sexes,64,20402
1971,Number,Both sexes,65,19860
1971,Number,Both sexes,66,17912
1971,Number,Both sexes,67,15368
1971,Number,Both sexes,68,14263
1971,Number,Both sexes,69,12405
1971,Number,Both sexes,70,20948
1971,Number,Both sexes,71,11331
1971,Number,Both sexes,72,7947
1971,Number,Both sexes,73,6982
1971,Number,Both sexes,74,6341
1971,Number,Both sexes,75,6359
1971,Number,Both sexes,76,5014
1971,Number,Both sexes,77,4151
1971,Number,Both sexes,78,4413
1971,Number,Both sexes,79,3113
1971,Number,Both sexes,80,3754
1971,Number,Both sexes,81,2432
1971,Number,Both sexes,82,2709
1971,Number,Both sexes,83,1765
1971,Number,Both sexes,84,1492
1971,Number,Both sexes,85,1675
1971,Number,Both sexes,86,1205
1971,Number,Both sexes,87,808
1971,Number,Both sexes,88,784
1971,Number,Both sexes,89,640
1971,Number,Both sexes,90,823
1971,Number,Both sexes,91,417
1971,Number,Both sexes,92,287
1971,Number,Both sexes,93,196
1971,Number,Both sexes,94,215
1971,Number,Both sexes,95,249
1971,Number,Both sexes,96,153
1971,Number,Both sexes,97,132
1971,Number,Both sexes,98,105
1971,Number,Both sexes,99,33
1971,Number,Both sexes,100,62
1971,Number,Both sexes,101,0
1971,Number,Both sexes,102,0
1971,Number,Both sexes,103,0
1971,Number,Both sexes,104,0
1971,Number,Both sexes,105,0
1971,Number,Both sexes,106,0
1971,Number,Both sexes,107,0
1971,Number,Both sexes,108,0
1971,Number,Both sexes,109,0
1971,Number,Both sexes,110,0
1971,Number,Both sexes,111,0
1971,Number,Both sexes,112,0
1971,Number,Both sexes,113,0
1971,Number,Both sexes,114,0
1971,Number,Both sexes,115,0
1971,Number,Both sexes,116,0
1971,Number,Both sexes,117,0
1971,Number,Both sexes,118,0
1971,Number,Both sexes,119,0
1971,Number,Both sexes,120,0
1971,Number,Both sexes,Unknown,14223
1971,Number,Both sexes,Total,3746111
1981,Number,Both sexes,0,71881
1981,Number,Both sexes,1,69965
1981,Number,Both sexes,2,67249
1981,Number,Both sexes,3,68657
1981,Number,Both sexes,4,70968
1981,Number,Both sexes,5,71951
1981,Number,Both sexes,6,71141
1981,Number,Both sexes,7,71151
1981,Number,Both sexes,8,73640
1981,Number,Both sexes,9,74972
1981,Number,Both sexes,10,72003
1981,Number,Both sexes,11,74982
1981,Number,Both sexes,12,77107
1981,Number,Both sexes,13,80150
1981,Number,Both sexes,14,83627
1981,Number,Both sexes,15,85479
1981,Number,Both sexes,16,84935
1981,Number,Both sexes,17,85902
1981,Number,Both sexes,18,85978
1981,Number,Both sexes,19,86377
1981,Number,Both sexes,20,86257
1981,Number,Both sexes,21,80015
1981,Number,Both sexes,22,80476
1981,Number,Both sexes,23,73088
1981,Number,Both sexes,24,72440
1981,Number,Both sexes,25,70240
1981,Number,Both sexes,26,73331
1981,Number,Both sexes,27,65100
1981,Number,Both sexes,28,69395
1981,Number,Both sexes,29,52038
1981,Number,Both sexes,30,57265
1981,Number,Both sexes,31,55625
1981,Number,Both sexes,32,50152
1981,Number,Both sexes,33,46632
1981,Number,Both sexes,34,49504
1981,Number,Both sexes,35,36693
1981,Number,Both sexes,36,36263
1981,Number,Both sexes,37,37126
1981,Number,Both sexes,38,39913
1981,Number,Both sexes,39,45793
1981,Number,Both sexes,40,49958
1981,Number,Both sexes,41,52693
1981,Number,Both sexes,42,50845
1981,Number,Both sexes,43,53135
1981,Number,Both sexes,44,53909
1981,Number,Both sexes,45,53870
1981,Number,Both sexes,46,53207
1981,Number,Both sexes,47,51809
1981,Number,Both sexes,48,50023
1981,Number,Both sexes,49,46034
1981,Number,Both sexes,50,48966
1981,Number,Both sexes,51,46995
1981,Number,Both sexes,52,47799
1981,Number,Both sexes,53,42166
1981,Number,Both sexes,54,38248
1981,Number,Both sexes,55,35727
1981,Number,Both sexes,56,32192
1981,Number,Both sexes,57,29910
1981,Number,Both sexes,58,29938
1981,Number,Both sexes,59,24809
1981,Number,Both sexes,60,28495
1981,Number,Both sexes,61,24597
1981,Number,Both sexes,62,13866
1981,Number,Both sexes,63,11860
1981,Number,Both sexes,64,10839
1981,Number,Both sexes,65,14108
1981,Number,Both sexes,66,21522
1981,Number,Both sexes,67,19181
1981,Number,Both sexes,68,20595
1981,Number,Both sexes,69,16691
1981,Number,Both sexes,70,20293
1981,Number,Both sexes,71,16267
1981,Number,Both sexes,72,13683
1981,Number,Both sexes,73,14215
1981,Number,Both sexes,74,13034
1981,Number,Both sexes,75,12425
1981,Number,Both sexes,76,10471
1981,Number,Both sexes,77,8492
1981,Number,Both sexes,78,7556
1981,Number,Both sexes,79,5602
1981,Number,Both sexes,80,11337
1981,Number,Both sexes,81,4313
1981,Number,Both sexes,82,3108
1981,Number,Both sexes,83,2576
1981,Number,Both sexes,84,2235
1981,Number,Both sexes,85,2047
1981,Number,Both sexes,86,1471
1981,Number,Both sexes,87,1161
1981,Number,Both sexes,88,1460
1981,Number,Both sexes,89,742
1981,Number,Both sexes,90,909
1981,Number,Both sexes,91,475
1981,Number,Both sexes,92,527
1981,Number,Both sexes,93,334
