Year,UNIT_MEASURE,Sex,AGE,Value
1971,Number,Both sexes,0 - 4,405505
1971,Number,Both sexes,0 - 14,1290369
1971,Number,Both sexes,5 - 9,442665
1971,Number,Both sexes,10 - 14,442199
1971,Number,Both sexes,15 - 19,411387
1971,Number,Both sexes,15 - 29,956431
1971,Number,Both sexes,15 - 49,1935980
1971,Number,Both sexes,15 - 64,2265176
1971,Number,Both sexes,20 - 24,319317
1971,Number,Both sexes,25 - 29,225727
1971,Number,Both sexes,30 - 34,289810
1971,Number,Both sexes,35 - 39,280482
1971,Number,Both sexes,40 - 44,243016
1971,Number,Both sexes,45 - 49,166241
1971,Number,Both sexes,50 - 54,101840
1971,Number,Both sexes,55 - 59,114629
1971,Number,Both sexes,60 - 64,112727
1971,Number,Both sexes,65 - 69,79808
1971,Number,Both sexes,65+,190566
1971,Number,Both sexes,75+,57209
1971,Number,Both sexes,85+,7784
1971,Number,Both sexes,70 - 74,53549
1971,Number,Both sexes,75 - 79,23050
1971,Number,Both sexes,80 - 84,12152
1971,Number,Both sexes,85 - 89,5112
1971,Number,Both sexes,90 - 94,1938
1971,Number,Both sexes,95 - 99,672
1971,Number,Both sexes,100 - 104,62
1971,Number,Both sexes,100+,62
1971,Number,Both sexes,105 - 109,0
1971,Number,Both sexes,110 - 114,0
1971,Number,Both sexes,115 - 120,0
1971,Number,Both sexes,Unknown,14223
1971,Number,Both sexes,Total,3746111
