Year,UNIT_MEASURE,Value
1996,children_pre_woman,1.647
1997,children_pre_woman,1.684
1998,children_pre_woman,1.558
1999,children_pre_woman,1.362
2000,children_pre_woman,1.3
2001,children_pre_woman,1.4
2002,children_pre_woman,1.2
2003,children_pre_woman,1.215
2004,children_pre_woman,1.217
2005,children_pre_woman,1.2
2006,children_pre_woman,1.176
2007,children_pre_woman,1.258
2008,children_pre_woman,1.285
2009,children_pre_woman,1.303
2010,children_pre_woman,1.266
2011,children_pre_woman,1.205
2012,children_pre_woman,1.349
2013,children_pre_woman,1.276
2014,children_pre_woman,1.258
2015,children_pre_woman,1.242
2016,children_pre_woman,1.258
2017,children_pre_woman,1.259
2018,children_pre_woman,1.252
2019,children_pre_woman,1.204
