Year,UNIT_MEASURE,Sex,Administrative area,Value
2004,Age,Both sexes,BiH,37.8
2007,Age,Both sexes,BiH,38.3
2011,Age,Both sexes,BiH,39.7
2013,Age,Both sexes,BiH,39.5
2015,Age,Both sexes,BiH,41.9
2004,Age,Both sexes,Federation of BiH,36.4
2007,Age,Both sexes,Federation of BiH,37.0
2011,Age,Both sexes,Federation of BiH,38.5
2013,Age,Both sexes,Federation of BiH,38.5
2015,Age,Both sexes,Federation of BiH,40.7
2004,Age,Both sexes,Republika Srpska,40.1
2007,Age,Both sexes,Republika Srpska,40.8
2011,Age,Both sexes,Republika Srpska,42.0
2013,Age,Both sexes,Republika Srpska,41.4
2015,Age,Both sexes,Republika Srpska,44.4
2004,Age,Both sexes,Brčko District of BiH,38.3
2007,Age,Both sexes,Brčko District of BiH,39.5
2011,Age,Both sexes,Brčko District of BiH,40.4
2013,Age,Both sexes,Brčko District of BiH,39.7
2015,Age,Both sexes,Brčko District of BiH,40.8
2004,Age,M,BiH,36.8
2007,Age,M,BiH,37.2
2011,Age,M,BiH,38.6
2013,Age,M,BiH,38.2
2015,Age,M,BiH,40.5
2004,Age,M,Federation of BiH,35.6
2007,Age,M,Federation of BiH,35.8
2011,Age,M,Federation of BiH,37.6
2013,Age,M,Federation of BiH,37.2
2015,Age,M,Federation of BiH,39.2
2004,Age,M,Republika Srpska,39.0
2007,Age,M,Republika Srpska,39.6
2011,Age,M,Republika Srpska,40.5
2013,Age,M,Republika Srpska,40.0
2015,Age,M,Republika Srpska,43.0
2004,Age,M,Brčko District of BiH,37.2
2007,Age,M,Brčko District of BiH,38.7
2011,Age,M,Brčko District of BiH,39.2
2013,Age,M,Brčko District of BiH,38.4
2015,Age,M,Brčko District of BiH,39.8
2004,Age,F,BiH,38.7
2007,Age,F,BiH,39.4
2011,Age,F,BiH,40.8
2013,Age,F,BiH,40.7
2015,Age,F,BiH,43.3
2004,Age,F,Federation of BiH,37.2
2007,Age,F,Federation of BiH,38.1
2011,Age,F,Federation of BiH,39.4
2013,Age,F,Federation of BiH,39.7
2015,Age,F,Federation of BiH,42.2
2004,Age,F,Republika Srpska,41.1
2007,Age,F,Republika Srpska,42.0
2011,Age,F,Republika Srpska,43.6
2013,Age,F,Republika Srpska,42.7
2015,Age,F,Republika Srpska,45.7
2004,Age,F,Brčko District of BiH,39.3
2007,Age,F,Brčko District of BiH,40.2
2011,Age,F,Brčko District of BiH,41.7
2013,Age,F,Brčko District of BiH,40.9
2015,Age,F,Brčko District of BiH,41.7
