Year,UNIT_MEASURE,AGE,Fertility rate,Value
1996,children_pre_woman,0-15,Age specific fertility rates,0.1
1997,children_pre_woman,0-15,Age specific fertility rates,0.1
1998,children_pre_woman,0-15,Age specific fertility rates,0.0
1999,children_pre_woman,0-15,Age specific fertility rates,0.0
2000,children_pre_woman,0-15,Age specific fertility rates,0.0
2001,children_pre_woman,0-15,Age specific fertility rates,0.0
2002,children_pre_woman,0-15,Age specific fertility rates,0.0
2003,children_pre_woman,0-15,Age specific fertility rates,0.0
2004,children_pre_woman,0-15,Age specific fertility rates,0.0
2005,children_pre_woman,0-15,Age specific fertility rates,0.0
2006,children_pre_woman,0-15,Age specific fertility rates,0.0
2007,children_pre_woman,0-15,Age specific fertility rates,0.0
2008,children_pre_woman,0-15,Age specific fertility rates,0.1
2009,children_pre_woman,0-15,Age specific fertility rates,0.1
2010,children_pre_woman,0-15,Age specific fertility rates,0.1
2011,children_pre_woman,0-15,Age specific fertility rates,0.1
2012,children_pre_woman,0-15,Age specific fertility rates,0.0
2013,children_pre_woman,0-15,Age specific fertility rates,0.0
2014,children_pre_woman,0-15,Age specific fertility rates,0.0
2015,children_pre_woman,0-15,Age specific fertility rates,0.0
2016,children_pre_woman,0-15,Age specific fertility rates,0.0
2017,children_pre_woman,0-15,Age specific fertility rates,0.1
2018,children_pre_woman,0-15,Age specific fertility rates,0.1
2019,children_pre_woman,0-15,Age specific fertility rates,0.0
1996,children_pre_woman,15-19,Age specific fertility rates,30.7
1997,children_pre_woman,15-19,Age specific fertility rates,36.1
1998,children_pre_woman,15-19,Age specific fertility rates,26.2
1999,children_pre_woman,15-19,Age specific fertility rates,19.9
2000,children_pre_woman,15-19,Age specific fertility rates,16.6
2001,children_pre_woman,15-19,Age specific fertility rates,17.4
2002,children_pre_woman,15-19,Age specific fertility rates,18.7
2003,children_pre_woman,15-19,Age specific fertility rates,17.4
2004,children_pre_woman,15-19,Age specific fertility rates,17.2
2005,children_pre_woman,15-19,Age specific fertility rates,16.5
2006,children_pre_woman,15-19,Age specific fertility rates,16.4
2007,children_pre_woman,15-19,Age specific fertility rates,15.2
2008,children_pre_woman,15-19,Age specific fertility rates,15.8
2009,children_pre_woman,15-19,Age specific fertility rates,14.8
2010,children_pre_woman,15-19,Age specific fertility rates,13.5
2011,children_pre_woman,15-19,Age specific fertility rates,12.2
2012,children_pre_woman,15-19,Age specific fertility rates,12.3
2013,children_pre_woman,15-19,Age specific fertility rates,11.0
2014,children_pre_woman,15-19,Age specific fertility rates,10.7
2015,children_pre_woman,15-19,Age specific fertility rates,10.5
2016,children_pre_woman,15-19,Age specific fertility rates,11.0
2017,children_pre_woman,15-19,Age specific fertility rates,9.2
2018,children_pre_woman,15-19,Age specific fertility rates,9.5
2019,children_pre_woman,15-19,Age specific fertility rates,9.0
1996,children_pre_woman,20-24,Age specific fertility rates,107.6
1997,children_pre_woman,20-24,Age specific fertility rates,122.5
