Year,Administrative area,UNIT_MEASURE,Sex,Value
1998,BiH,Age,Both sexes,66.1
1999,BiH,Age,Both sexes,66.6
2000,BiH,Age,Both sexes,66.8
2001,BiH,Age,Both sexes,67.2
2002,BiH,Age,Both sexes,67.8
2003,BiH,Age,Both sexes,68.4
2004,BiH,Age,Both sexes,68.9
2005,BiH,Age,Both sexes,69.3
2006,BiH,Age,Both sexes,69.4
2007,BiH,Age,Both sexes,69.6
2008,BiH,Age,Both sexes,70.2
2009,BiH,Age,Both sexes,70.8
2010,BiH,Age,Both sexes,71.6
2011,BiH,Age,Both sexes,72.1
2012,BiH,Age,Both sexes,72.5
2013,BiH,Age,Both sexes,72.7
2014,BiH,Age,Both sexes,73.0
2015,BiH,Age,Both sexes,73.4
2016,BiH,Age,Both sexes,73.4
2017,BiH,Age,Both sexes,73.9
2018,BiH,Age,Both sexes,74.1
2019,BiH,Age,Both sexes,74.1
2003,BiH,Age,M,31.6
2004,BiH,Age,M,48.0
2009,BiH,Age,M,63.3
2010,BiH,Age,M,64.0
2011,BiH,Age,M,64.2
2012,BiH,Age,M,64.6
2013,BiH,Age,M,65.0
2014,BiH,Age,M,65.8
2015,BiH,Age,M,66.3
2016,BiH,Age,M,66.8
2017,BiH,Age,M,66.8
2018,BiH,Age,M,66.9
2019,BiH,Age,M,67.4
1961,BiH,Age,M,68.1
1971,BiH,Age,M,68.9
1981,BiH,Age,M,69.4
1991,BiH,Age,M,69.8
1996,BiH,Age,M,70.0
1997,BiH,Age,M,70.4
1998,BiH,Age,M,70.7
1999,BiH,Age,M,70.7
2000,BiH,Age,M,71.2
2001,BiH,Age,M,71.4
2002,BiH,Age,M,71.5
2003,BiH,Age,F,34.5
2004,BiH,Age,F,51.6
2009,BiH,Age,F,69.2
2010,BiH,Age,F,69.5
2011,BiH,Age,F,69.7
2012,BiH,Age,F,70.2
2013,BiH,Age,F,70.7
2014,BiH,Age,F,71.2
2015,BiH,Age,F,71.7
2016,BiH,Age,F,72.2
2017,BiH,Age,F,72.2
2018,BiH,Age,F,72.5
2019,BiH,Age,F,73.3
2003,BiH,Age,F,73.6
2004,BiH,Age,F,74.5
2005,BiH,Age,F,75.0
2006,BiH,Age,F,75.3
2007,BiH,Age,F,75.5
2008,BiH,Age,F,75.8
2009,BiH,Age,F,76.1
2010,BiH,Age,F,76.2
2011,BiH,Age,F,76.5
2012,BiH,Age,F,76.8
2013,BiH,Age,F,76.9
1997,Federation of BiH,Age,Both sexes,64.3
1998,Federation of BiH,Age,Both sexes,63.8
1999,Federation of BiH,Age,Both sexes,65.7
2000,Federation of BiH,Age,Both sexes,66.5
2001,Federation of BiH,Age,Both sexes,67.1
2002,Federation of BiH,Age,Both sexes,67.3
2003,Federation of BiH,Age,Both sexes,68.2
2004,Federation of BiH,Age,Both sexes,68.6
2005,Federation of BiH,Age,Both sexes,69.1
2006,Federation of BiH,Age,Both sexes,69.0
2007,Federation of BiH,Age,Both sexes,69.3
2008,Federation of BiH,Age,Both sexes,69.5
2009,Federation of BiH,Age,Both sexes,70.2
2010,Federation of BiH,Age,Both sexes,70.5
2011,Federation of BiH,Age,Both sexes,70.8
2012,Federation of BiH,Age,Both sexes,71.3
2013,Federation of BiH,Age,Both sexes,71.6
2014,Federation of BiH,Age,Both sexes,72.0
2015,Federation of BiH,Age,Both sexes,72.3
2016,Federation of BiH,Age,Both sexes,72.3
2017,Federation of BiH,Age,Both sexes,72.5
2018,Federation of BiH,Age,Both sexes,73.0
2019,Federation of BiH,Age,Both sexes,73.0
2008,Federation of BiH,Age,M,61.6
2009,Federation of BiH,Age,M,61.3
2010,Federation of BiH,Age,M,63.2
2011,Federation of BiH,Age,M,64.1
2012,Federation of BiH,Age,M,64.5
2013,Federation of BiH,Age,M,64.6
2014,Federation of BiH,Age,M,65.5
2015,Federation of BiH,Age,M,66.0
2016,Federation of BiH,Age,M,66.4
2017,Federation of BiH,Age,M,66.5
2018,Federation of BiH,Age,M,66.8
2019,Federation of BiH,Age,M,66.7
1961,Federation of BiH,Age,M,67.5
1971,Federation of BiH,Age,M,67.7
1981,Federation of BiH,Age,M,68.2
1991,Federation of BiH,Age,M,68.9
1996,Federation of BiH,Age,M,69.0
1997,Federation of BiH,Age,M,69.4
1998,Federation of BiH,Age,M,69.6
1999,Federation of BiH,Age,M,69.7
2000,Federation of BiH,Age,M,70.1
2001,Federation of BiH,Age,M,70.5
2002,Federation of BiH,Age,M,70.5
2008,Federation of BiH,Age,F,67.5
2009,Federation of BiH,Age,F,66.8
2010,Federation of BiH,Age,F,68.5
2011,Federation of BiH,Age,F,69.3
2012,Federation of BiH,Age,F,69.9
2013,Federation of BiH,Age,F,70.3
2014,Federation of BiH,Age,F,71.1
2015,Federation of BiH,Age,F,71.3
2016,Federation of BiH,Age,F,72.0
2017,Federation of BiH,Age,F,71.7
2018,Federation of BiH,Age,F,72.0
2019,Federation of BiH,Age,F,72.5
2003,Federation of BiH,Age,F,73.0
2004,Federation of BiH,Age,F,73.3
2005,Federation of BiH,Age,F,73.7
2006,Federation of BiH,Age,F,74.1
2007,Federation of BiH,Age,F,74.3
2008,Federation of BiH,Age,F,74.7
2009,Federation of BiH,Age,F,75.0
2010,Federation of BiH,Age,F,74.9
2011,Federation of BiH,Age,F,75.0
2012,Federation of BiH,Age,F,75.5
2013,Federation of BiH,Age,F,75.6
2010,Republika Srpska,Age,Both sexes,72.1
2011,Republika Srpska,Age,Both sexes,72.5
2012,Republika Srpska,Age,Both sexes,73.0
2013,Republika Srpska,Age,Both sexes,73.0
2014,Republika Srpska,Age,Both sexes,73.0
2015,Republika Srpska,Age,Both sexes,73.7
2016,Republika Srpska,Age,Both sexes,73.8
2017,Republika Srpska,Age,Both sexes,74.5
2018,Republika Srpska,Age,Both sexes,74.5
2019,Republika Srpska,Age,Both sexes,74.5
2009,Republika Srpska,Age,M,64.9
2011,Republika Srpska,Age,M,65.2
2012,Republika Srpska,Age,M,66.5
2013,Republika Srpska,Age,M,66.3
2014,Republika Srpska,Age,M,67.0
2015,Republika Srpska,Age,M,67.0
2016,Republika Srpska,Age,M,67.3
2017,Republika Srpska,Age,M,67.6
2018,Republika Srpska,Age,M,68.2
2019,Republika Srpska,Age,M,68.3
1961,Republika Srpska,Age,M,68.9
1971,Republika Srpska,Age,M,69.4
1981,Republika Srpska,Age,M,69.6
1991,Republika Srpska,Age,M,70.1
1996,Republika Srpska,Age,M,70.1
1997,Republika Srpska,Age,M,70.5
1998,Republika Srpska,Age,M,71.0
1999,Republika Srpska,Age,M,71.0
2000,Republika Srpska,Age,M,71.6
2001,Republika Srpska,Age,M,71.6
2002,Republika Srpska,Age,M,71.7
