Year,Administrative area,UNIT_MEASURE,Value
1996,BiH,Number,21107
1997,BiH,Number,23220
1998,BiH,Number,22398
1999,BiH,Number,22472
2000,BiH,Number,21897
2001,BiH,Number,20302
2002,BiH,Number,20122
2003,BiH,Number,20733
2004,BiH,Number,22252
2005,BiH,Number,21698
2006,BiH,Number,21501
2007,BiH,Number,23494
2008,BiH,Number,22151
2009,BiH,Number,20633
2010,BiH,Number,19541
2011,BiH,Number,19156
2012,BiH,Number,18235
2013,BiH,Number,17623
2014,BiH,Number,18643
2015,BiH,Number,19686
2016,BiH,Number,19265
2017,BiH,Number,19969
2018,BiH,Number,19911
2019,BiH,Number,18952
