Year,Infant Mortality Infant (up to 12 months of age) mortality rate,UNIT_MEASURE,Administrative area,Sex,Value
1971,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,22.0
1981,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,17.2
1991,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,14.9
1996,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,14.01468
1997,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,12.41812509
1998,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,10.97607039
1999,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,10.14977393
2000,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,9.680762328
2001,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,7.609300846
2002,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,9.385449743
2003,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,7.60628938
2004,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,7.197519274
2005,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,6.728853207
2006,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,7.492727647
2007,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,6.827249889
2008,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,6.876170412
2009,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,6.483357453
2010,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,6.442376521
2011,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,5.784162711
2012,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,5.438289243
2013,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,5.898839786
2014,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,5.153957975
2015,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,6.113537118
2016,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,5.897359441
2017,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,6.490066225
2018,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,6.210336987
2019,Infant (up to 12 months of age) mortality rate,Number,BiH,Both sexes,6.699576869
1996,Infant (up to 12 months of age) mortality rate,Number,BiH,M,14.75530781
1997,Infant (up to 12 months of age) mortality rate,Number,BiH,M,14.58670989
1998,Infant (up to 12 months of age) mortality rate,Number,BiH,M,12.89220918
1999,Infant (up to 12 months of age) mortality rate,Number,BiH,M,11.18506193
2000,Infant (up to 12 months of age) mortality rate,Number,BiH,M,10.7806145
2001,Infant (up to 12 months of age) mortality rate,Number,BiH,M,8.195876289
2002,Infant (up to 12 months of age) mortality rate,Number,BiH,M,10.43886976
2003,Infant (up to 12 months of age) mortality rate,Number,BiH,M,8.40152755
2004,Infant (up to 12 months of age) mortality rate,Number,BiH,M,8.327358959
2005,Infant (up to 12 months of age) mortality rate,Number,BiH,M,7.473169635
2006,Infant (up to 12 months of age) mortality rate,Number,BiH,M,9.004388215
2007,Infant (up to 12 months of age) mortality rate,Number,BiH,M,7.528230866
2008,Infant (up to 12 months of age) mortality rate,Number,BiH,M,7.44953085
2009,Infant (up to 12 months of age) mortality rate,Number,BiH,M,6.44408644
2010,Infant (up to 12 months of age) mortality rate,Number,BiH,M,7.235052382
2011,Infant (up to 12 months of age) mortality rate,Number,BiH,M,6.714657311
2012,Infant (up to 12 months of age) mortality rate,Number,BiH,M,6.611078023
2013,Infant (up to 12 months of age) mortality rate,Number,BiH,M,6.883485949
2014,Infant (up to 12 months of age) mortality rate,Number,BiH,M,4.744502148
2015,Infant (up to 12 months of age) mortality rate,Number,BiH,M,6.140580089
2016,Infant (up to 12 months of age) mortality rate,Number,BiH,M,7.062865869
2017,Infant (up to 12 months of age) mortality rate,Number,BiH,M,6.698991961
2018,Infant (up to 12 months of age) mortality rate,Number,BiH,M,5.96017815
2019,Infant (up to 12 months of age) mortality rate,Number,BiH,M,6.889099014
1996,Infant (up to 12 months of age) mortality rate,Number,BiH,F,13.20057668
1997,Infant (up to 12 months of age) mortality rate,Number,BiH,F,10.04329004
1998,Infant (up to 12 months of age) mortality rate,Number,BiH,F,8.896302474
1999,Infant (up to 12 months of age) mortality rate,Number,BiH,F,9.074323027
2000,Infant (up to 12 months of age) mortality rate,Number,BiH,F,8.509083316
2001,Infant (up to 12 months of age) mortality rate,Number,BiH,F,6.988043894
2002,Infant (up to 12 months of age) mortality rate,Number,BiH,F,8.270676692
2003,Infant (up to 12 months of age) mortality rate,Number,BiH,F,6.743965925
