Year,UNIT_MEASURE,AGE,Sex,Municipality,Value
2013,Number,Total,Both sexes,Banja Luka,185042
2013,Number,Total,Both sexes,Banovići,22773
2013,Number,Total,Both sexes,Berkovići,2114
2013,Number,Total,Both sexes,Bihać,56261
2013,Number,Total,Both sexes,Bijeljina,107715
2013,Number,Total,Both sexes,Bileća,10807
2013,Number,Total,Both sexes,Bosanska Krupa,25545
2013,Number,Total,Both sexes,Bosanski Petrovac,7328
2013,Number,Total,Both sexes,Bosansko Grahovo,2449
2013,Number,Total,Both sexes,Bratunac,20340
2013,Number,Total,Both sexes,Brčko,83516
2013,Number,Total,Both sexes,Breza,14168
2013,Number,Total,Both sexes,Brod,16619
2013,Number,Total,Both sexes,Bugojno,31470
2013,Number,Total,Both sexes,Busovača,17910
2013,Number,Total,Both sexes,Bužim,19340
2013,Number,Total,Both sexes,Cazin,66149
2013,Number,Total,Both sexes,Sarajevo - Centar,55181
2013,Number,Total,Both sexes,Čajniče,4895
2013,Number,Total,Both sexes,Čapljina,26157
2013,Number,Total,Both sexes,Čelić,10502
2013,Number,Total,Both sexes,Čelinac,15548
2013,Number,Total,Both sexes,Čitluk,18140
2013,Number,Total,Both sexes,Derventa,27404
2013,Number,Total,Both sexes,Doboj,71441
2013,Number,Total,Both sexes,Doboj-Istok,10248
2013,Number,Total,Both sexes,Doboj-Jug,4137
2013,Number,Total,Both sexes,Dobretići,1629
2013,Number,Total,Both sexes,Domaljevac-Šamac,4771
2013,Number,Total,Both sexes,Donji Vakuf,13985
2013,Number,Total,Both sexes,Donji Žabar,3809
2013,Number,Total,Both sexes,Drvar,7036
2013,Number,Total,Both sexes,Foča - FBIH,1933
2013,Number,Total,Both sexes,Foča - RS,18288
2013,Number,Total,Both sexes,Fojnica,12356
2013,Number,Total,Both sexes,Gacko,8990
2013,Number,Total,Both sexes,Glamoč,3860
2013,Number,Total,Both sexes,Goražde,20897
2013,Number,Total,Both sexes,Gornji Vakuf-Uskoplje,20933
2013,Number,Total,Both sexes,Gračanica,45220
2013,Number,Total,Both sexes,Gradačac,39340
2013,Number,Total,Both sexes,Gradiška,51727
2013,Number,Total,Both sexes,Grude,17308
2013,Number,Total,Both sexes,Sarajevo - Hadžići,23891
2013,Number,Total,Both sexes,Han Pijesak,3530
2013,Number,Total,Both sexes,Sarajevo - Ilidža,66730
2013,Number,Total,Both sexes,Sarajevo - Ilijaš,19603
2013,Number,Total,Both sexes,Istočna Ilidža,14763
2013,Number,Total,Both sexes,Istočni Drvar,79
2013,Number,Total,Both sexes,Istočni Mostar,257
2013,Number,Total,Both sexes,Istočni Stari Grad,1131
2013,Number,Total,Both sexes,Istočno Novo Sarajevo,10642
2013,Number,Total,Both sexes,Jablanica,10111
2013,Number,Total,Both sexes,Jajce,27258
2013,Number,Total,Both sexes,Jezero,1144
2013,Number,Total,Both sexes,Kakanj,37441
2013,Number,Total,Both sexes,Kalesija,33053
2013,Number,Total,Both sexes,Kalinovik,2029
2013,Number,Total,Both sexes,Kiseljak,20722
2013,Number,Total,Both sexes,Kladanj,12348
2013,Number,Total,Both sexes,Ključ,16744
2013,Number,Total,Both sexes,Kneževo,9793
2013,Number,Total,Both sexes,Konjic,25148
2013,Number,Total,Both sexes,Kostajnica,5977
2013,Number,Total,Both sexes,Kotor Varoš,19710
2013,Number,Total,Both sexes,Kozarska Dubica,21524
2013,Number,Total,Both sexes,Kreševo,5273
2013,Number,Total,Both sexes,Krupa Na Uni,1597
2013,Number,Total,Both sexes,Kupres - FBIH,5057
2013,Number,Total,Both sexes,Kupres - RS,300
2013,Number,Total,Both sexes,Laktaši,34966
2013,Number,Total,Both sexes,Livno,34133
2013,Number,Total,Both sexes,Lopare,15357
2013,Number,Total,Both sexes,Lukavac,44520
2013,Number,Total,Both sexes,Ljubinje,3511
2013,Number,Total,Both sexes,Ljubuški,28184
2013,Number,Total,Both sexes,Maglaj,23146
2013,Number,Total,Both sexes,Milići,11441
2013,Number,Total,Both sexes,Modriča,25720
2013,Number,Total,Both sexes,Mostar,105797
2013,Number,Total,Both sexes,Mrkonjić Grad,16671
2013,Number,Total,Both sexes,Neum,4653
2013,Number,Total,Both sexes,Nevesinje,12961
2013,Number,Total,Both sexes,Novi Grad,27115
2013,Number,Total,Both sexes,Sarajevo - Novi Grad,118553
2013,Number,Total,Both sexes,Novi Travnik,23832
2013,Number,Total,Both sexes,Novo Goražde,3117
2013,Number,Total,Both sexes,Sarajevo - Novo Sarajevo,64814
2013,Number,Total,Both sexes,Odžak,18821
2013,Number,Total,Both sexes,Olovo,10175
2013,Number,Total,Both sexes,Orašje,19861
2013,Number,Total,Both sexes,Osmaci,6016
2013,Number,Total,Both sexes,Oštra Luka,2786
2013,Number,Total,Both sexes,Pale - FBIH,904
2013,Number,Total,Both sexes,Pale - RS,20909
2013,Number,Total,Both sexes,Pelagićevo,5220
2013,Number,Total,Both sexes,Petrovac,361
2013,Number,Total,Both sexes,Petrovo,6474
2013,Number,Total,Both sexes,Posušje,20477
2013,Number,Total,Both sexes,Prijedor,89397
2013,Number,Total,Both sexes,Prnjavor,35956
2013,Number,Total,Both sexes,Prozor,14280
2013,Number,Total,Both sexes,Ravno,3219
2013,Number,Total,Both sexes,Ribnik,6048
2013,Number,Total,Both sexes,Rogatica,10723
2013,Number,Total,Both sexes,Rudo,7963
2013,Number,Total,Both sexes,Sanski Most,41475
2013,Number,Total,Both sexes,Sapna,11178
2013,Number,Total,Both sexes,Sokolac,12021
2013,Number,Total,Both sexes,Srbac,17587
2013,Number,Total,Both sexes,Srebrenica,13409
2013,Number,Total,Both sexes,Srebrenik,39678
2013,Number,Total,Both sexes,Sarajevo - Stari Grad,36976
2013,Number,Total,Both sexes,Stolac,14502
2013,Number,Total,Both sexes,Šamac,17273
2013,Number,Total,Both sexes,Šekovići,6761
2013,Number,Total,Both sexes,Šipovo,10293
2013,Number,Total,Both sexes,Široki Brijeg,28929
2013,Number,Total,Both sexes,Teočak,7424
2013,Number,Total,Both sexes,Teslić,38536
2013,Number,Total,Both sexes,Tešanj,43063
2013,Number,Total,Both sexes,Tomislavgrad,31592
2013,Number,Total,Both sexes,Travnik,53482
2013,Number,Total,Both sexes,Trebinje,29198
2013,Number,Total,Both sexes,Trnovo - FBIH,1502
2013,Number,Total,Both sexes,Trnovo - RS,2050
2013,Number,Total,Both sexes,Tuzla,110979
2013,Number,Total,Both sexes,Ugljevik,15710
2013,Number,Total,Both sexes,Usora,6603
2013,Number,Total,Both sexes,Vareš,8892
2013,Number,Total,Both sexes,Velika Kladuša,40419
2013,Number,Total,Both sexes,Visoko,39938
2013,Number,Total,Both sexes,Višegrad,10668
2013,Number,Total,Both sexes,Vitez,25836
2013,Number,Total,Both sexes,Vlasenica,11467
2013,Number,Total,Both sexes,Sarajevo - Vogošća,26343
2013,Number,Total,Both sexes,Vukosavlje,4667
2013,Number,Total,Both sexes,Zavidovići,35988
2013,Number,Total,Both sexes,Zenica,110663
2013,Number,Total,Both sexes,Zvornik,58856
2013,Number,Total,Both sexes,Žepče,30219
2013,Number,Total,Both sexes,Živinice,57765
2013,Number,0-4,Both sexes,Banja Luka,9610
2013,Number,0-4,Both sexes,Banovići,1206
2013,Number,0-4,Both sexes,Berkovići,93
2013,Number,0-4,Both sexes,Bihać,2652
2013,Number,0-4,Both sexes,Bijeljina,5080
2013,Number,0-4,Both sexes,Bileća,487
2013,Number,0-4,Both sexes,Bosanska Krupa,1423
2013,Number,0-4,Both sexes,Bosanski Petrovac,249
2013,Number,0-4,Both sexes,Bosansko Grahovo,69
2013,Number,0-4,Both sexes,Bratunac,948
2013,Number,0-4,Both sexes,Brčko,4165
2013,Number,0-4,Both sexes,Breza,698
2013,Number,0-4,Both sexes,Brod,771
2013,Number,0-4,Both sexes,Bugojno,1484
2013,Number,0-4,Both sexes,Busovača,961
2013,Number,0-4,Both sexes,Bužim,1405
2013,Number,0-4,Both sexes,Cazin,3940
2013,Number,0-4,Both sexes,Sarajevo - Centar,2588
2013,Number,0-4,Both sexes,Čajniče,185
2013,Number,0-4,Both sexes,Čapljina,1233
2013,Number,0-4,Both sexes,Čelić,475
2013,Number,0-4,Both sexes,Čelinac,769
2013,Number,0-4,Both sexes,Čitluk,1002
2013,Number,0-4,Both sexes,Derventa,1170
2013,Number,0-4,Both sexes,Doboj,3330
2013,Number,0-4,Both sexes,Doboj-Istok,541
2013,Number,0-4,Both sexes,Doboj-Jug,235
2013,Number,0-4,Both sexes,Dobretići,30
2013,Number,0-4,Both sexes,Domaljevac-Šamac,163
2013,Number,0-4,Both sexes,Donji Vakuf,680
2013,Number,0-4,Both sexes,Donji Žabar,145
2013,Number,0-4,Both sexes,Drvar,210
2013,Number,0-4,Both sexes,Foča - FBIH,85
2013,Number,0-4,Both sexes,Foča - RS,644
2013,Number,0-4,Both sexes,Fojnica,557
2013,Number,0-4,Both sexes,Gacko,419
2013,Number,0-4,Both sexes,Glamoč,145
2013,Number,0-4,Both sexes,Goražde,978
2013,Number,0-4,Both sexes,Gornji Vakuf-Uskoplje,1072
2013,Number,0-4,Both sexes,Gračanica,2600
2013,Number,0-4,Both sexes,Gradačac,2100
2013,Number,0-4,Both sexes,Gradiška,2092
2013,Number,0-4,Both sexes,Grude,805
2013,Number,0-4,Both sexes,Sarajevo - Hadžići,1380
2013,Number,0-4,Both sexes,Han Pijesak,134
2013,Number,0-4,Both sexes,Sarajevo - Ilidža,3915
2013,Number,0-4,Both sexes,Sarajevo - Ilijaš,1085
2013,Number,0-4,Both sexes,Istočna Ilidža,649
2013,Number,0-4,Both sexes,Istočni Mostar,7
2013,Number,0-4,Both sexes,Istočni Stari Grad,40
2013,Number,0-4,Both sexes,Istočno Novo Sarajevo,625
2013,Number,0-4,Both sexes,Jablanica,440
2013,Number,0-4,Both sexes,Jajce,1311
2013,Number,0-4,Both sexes,Jezero,44
2013,Number,0-4,Both sexes,Kakanj,2102
2013,Number,0-4,Both sexes,Kalesija,1841
2013,Number,0-4,Both sexes,Kalinovik,52
2013,Number,0-4,Both sexes,Kiseljak,1082
2013,Number,0-4,Both sexes,Kladanj,606
2013,Number,0-4,Both sexes,Ključ,699
2013,Number,0-4,Both sexes,Kneževo,406
2013,Number,0-4,Both sexes,Konjic,1046
2013,Number,0-4,Both sexes,Kostajnica,222
2013,Number,0-4,Both sexes,Kotor Varoš,922
2013,Number,0-4,Both sexes,Kozarska Dubica,800
2013,Number,0-4,Both sexes,Kreševo,240
2013,Number,0-4,Both sexes,Krupa Na Uni,49
2013,Number,0-4,Both sexes,Kupres - FBIH,164
2013,Number,0-4,Both sexes,Kupres - RS,6
2013,Number,0-4,Both sexes,Laktaši,1687
2013,Number,0-4,Both sexes,Livno,1334
2013,Number,0-4,Both sexes,Lopare,517
2013,Number,0-4,Both sexes,Lukavac,1968
2013,Number,0-4,Both sexes,Ljubinje,155
2013,Number,0-4,Both sexes,Ljubuški,1352
2013,Number,0-4,Both sexes,Maglaj,1215
2013,Number,0-4,Both sexes,Milići,489
2013,Number,0-4,Both sexes,Modriča,1001
2013,Number,0-4,Both sexes,Mostar,5335
2013,Number,0-4,Both sexes,Mrkonjić Grad,681
2013,Number,0-4,Both sexes,Neum,206
2013,Number,0-4,Both sexes,Nevesinje,561
2013,Number,0-4,Both sexes,Novi Grad,981
2013,Number,0-4,Both sexes,Sarajevo - Novi Grad,6754
2013,Number,0-4,Both sexes,Novi Travnik,1318
2013,Number,0-4,Both sexes,Novo Goražde,103
2013,Number,0-4,Both sexes,Sarajevo - Novo Sarajevo,3295
2013,Number,0-4,Both sexes,Odžak,693
2013,Number,0-4,Both sexes,Olovo,417
2013,Number,0-4,Both sexes,Orašje,726
2013,Number,0-4,Both sexes,Osmaci,275
2013,Number,0-4,Both sexes,Oštra Luka,107
2013,Number,0-4,Both sexes,Pale - FBIH,35
2013,Number,0-4,Both sexes,Pale - RS,904
2013,Number,0-4,Both sexes,Pelagićevo,133
2013,Number,0-4,Both sexes,Petrovac,13
2013,Number,0-4,Both sexes,Petrovo,264
2013,Number,0-4,Both sexes,Posušje,1237
2013,Number,0-4,Both sexes,Prijedor,3468
2013,Number,0-4,Both sexes,Prnjavor,1600
2013,Number,0-4,Both sexes,Prozor,687
2013,Number,0-4,Both sexes,Ravno,118
2013,Number,0-4,Both sexes,Ribnik,245
2013,Number,0-4,Both sexes,Rogatica,514
2013,Number,0-4,Both sexes,Rudo,289
2013,Number,0-4,Both sexes,Sanski Most,1681
2013,Number,0-4,Both sexes,Sapna,651
2013,Number,0-4,Both sexes,Sokolac,508
2013,Number,0-4,Both sexes,Srbac,836
2013,Number,0-4,Both sexes,Srebrenica,526
2013,Number,0-4,Both sexes,Srebrenik,2214
2013,Number,0-4,Both sexes,Sarajevo - Stari Grad,1623
2013,Number,0-4,Both sexes,Stolac,650
2013,Number,0-4,Both sexes,Šamac,584
2013,Number,0-4,Both sexes,Šekovići,249
2013,Number,0-4,Both sexes,Šipovo,431
2013,Number,0-4,Both sexes,Široki Brijeg,1623
2013,Number,0-4,Both sexes,Teočak,351
2013,Number,0-4,Both sexes,Teslić,1969
2013,Number,0-4,Both sexes,Tešanj,2689
2013,Number,0-4,Both sexes,Tomislavgrad,1490
2013,Number,0-4,Both sexes,Travnik,2797
2013,Number,0-4,Both sexes,Trebinje,1415
2013,Number,0-4,Both sexes,Trnovo - FBIH,40
2013,Number,0-4,Both sexes,Trnovo - RS,66
2013,Number,0-4,Both sexes,Tuzla,5105
2013,Number,0-4,Both sexes,Ugljevik,675
2013,Number,0-4,Both sexes,Usora,251
2013,Number,0-4,Both sexes,Vareš,256
2013,Number,0-4,Both sexes,Velika Kladuša,2756
2013,Number,0-4,Both sexes,Visoko,2309
2013,Number,0-4,Both sexes,Višegrad,344
2013,Number,0-4,Both sexes,Vitez,1447
2013,Number,0-4,Both sexes,Vlasenica,499
2013,Number,0-4,Both sexes,Sarajevo - Vogošća,1600
2013,Number,0-4,Both sexes,Vukosavlje,207
2013,Number,0-4,Both sexes,Zavidovići,2005
2013,Number,0-4,Both sexes,Zenica,6072
2013,Number,0-4,Both sexes,Zvornik,3061
2013,Number,0-4,Both sexes,Žepče,1657
2013,Number,0-4,Both sexes,Živinice,3389
2013,Number,5-9,Both sexes,Banja Luka,8736
2013,Number,5-9,Both sexes,Banovići,1212
