Year,UNIT_MEASURE,AGE,Sex,Value
2018,Number,Total,Both sexes,3492023.0
2018,Number,0,Both sexes,29304.0
2018,Number,1,Both sexes,29995.0
2018,Number,2,Both sexes,29995.0
2018,Number,3,Both sexes,29566.0
2018,Number,4,Both sexes,30087.0
2018,Number,5,Both sexes,30487.0
2018,Number,6,Both sexes,34340.0
2018,Number,7,Both sexes,34192.0
2018,Number,8,Both sexes,35540.0
2018,Number,9,Both sexes,36576.0
2018,Number,10,Both sexes,36416.0
2018,Number,11,Both sexes,35032.0
2018,Number,12,Both sexes,34885.0
2018,Number,13,Both sexes,35394.0
2018,Number,14,Both sexes,35371.0
2018,Number,15,Both sexes,36154.0
2018,Number,16,Both sexes,36690.0
2018,Number,17,Both sexes,38105.0
2018,Number,18,Both sexes,39196.0
2018,Number,19,Both sexes,40457.0
2018,Number,20,Both sexes,44679.0
2018,Number,21,Both sexes,49640.0
2018,Number,22,Both sexes,52209.0
2018,Number,23,Both sexes,51959.0
2018,Number,24,Both sexes,44406.0
2018,Number,25,Both sexes,37828.0
2018,Number,26,Both sexes,43284.0
2018,Number,27,Both sexes,48558.0
2018,Number,28,Both sexes,48051.0
2018,Number,29,Both sexes,47707.0
2018,Number,30,Both sexes,49939.0
2018,Number,31,Both sexes,49807.0
2018,Number,32,Both sexes,49532.0
2018,Number,33,Both sexes,50507.0
2018,Number,34,Both sexes,51448.0
2018,Number,35,Both sexes,50794.0
2018,Number,36,Both sexes,51167.0
2018,Number,37,Both sexes,50642.0
2018,Number,38,Both sexes,50330.0
2018,Number,39,Both sexes,49548.0
2018,Number,40,Both sexes,49487.0
2018,Number,41,Both sexes,49317.0
2018,Number,42,Both sexes,51251.0
2018,Number,43,Both sexes,49565.0
2018,Number,44,Both sexes,48524.0
2018,Number,45,Both sexes,47950.0
2018,Number,46,Both sexes,49027.0
2018,Number,47,Both sexes,48514.0
2018,Number,48,Both sexes,45042.0
2018,Number,49,Both sexes,48540.0
2018,Number,50,Both sexes,48827.0
2018,Number,51,Both sexes,49938.0
2018,Number,52,Both sexes,51728.0
2018,Number,53,Both sexes,53243.0
2018,Number,54,Both sexes,51756.0
2018,Number,55,Both sexes,52530.0
2018,Number,56,Both sexes,53922.0
2018,Number,57,Both sexes,53887.0
2018,Number,58,Both sexes,53840.0
2018,Number,59,Both sexes,51985.0
2018,Number,60,Both sexes,52482.0
2018,Number,61,Both sexes,47582.0
2018,Number,62,Both sexes,49876.0
2018,Number,63,Both sexes,48513.0
2018,Number,64,Both sexes,49609.0
2018,Number,65,Both sexes,45978.0
2018,Number,66,Both sexes,46083.0
2018,Number,67,Both sexes,37090.0
2018,Number,68,Both sexes,39423.0
2018,Number,69,Both sexes,38224.0
2018,Number,70,Both sexes,33281.0
2018,Number,71,Both sexes,32296.0
2018,Number,72,Both sexes,28659.0
2018,Number,73,Both sexes,22492.0
2018,Number,74,Both sexes,20934.0
2018,Number,75,Both sexes,20822.0
