Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value
2021,1971,M,0-4,-207129
2021,1971,M,5-9,-225726
2021,1971,M,10-14,-225066
2021,1971,M,15-19,-209215
2021,1971,M,20-24,-162073
2021,1971,M,25-29,-109724
2021,1971,M,30-34,-140952
2021,1971,M,35-39,-139035
2021,1971,M,40-44,-118781
2021,1971,M,45-49,-70017
2021,1971,M,50-54,-41069
2021,1971,M,55-59,-48828
2021,1971,M,60-64,-53087
2021,1971,M,65-69,-37590
2021,1971,M,70-74,-23136
2021,1971,M,75-79,-9502
2021,1971,M,80-84,-4300
2021,1971,M,85-89,-1636
2021,1971,M,90-94,-555
2021,1971,M,95-99,-158
2021,1971,M,100-104,-15
2021,1971,M,105-109,0
2021,1971,M,110-114,0
2021,1971,M,115-120,0
2021,1981,M,0-4,-178030
2021,1981,M,5-9,-185725
2021,1981,M,10-14,-198722
2021,1981,M,15-19,-220775
2021,1981,M,20-24,-205585
2021,1981,M,25-29,-170406
2021,1981,M,30-34,-125706
2021,1981,M,35-39,-91391
2021,1981,M,40-44,-123183
2021,1981,M,45-49,-123327
2021,1981,M,50-54,-107239
2021,1981,M,55-59,-62482
2021,1981,M,60-64,-35034
2021,1981,M,65-69,-37830
2021,1981,M,70-74,-34700
2021,1981,M,75-79,-19399
2021,1981,M,80-84,-9446
2021,1981,M,85-89,-2435
2021,1981,M,90-94,-810
2021,1981,M,95-99,-320
2021,1981,M,100-104,-25
2021,1981,M,105-109,0
2021,1981,M,110-114,0
2021,1981,M,115-120,0
2021,1991,M,0-4,-165380
2021,1991,M,5-9,-172585
2021,1991,M,10-14,-171325
2021,1991,M,15-19,-176899
2021,1991,M,20-24,-176964
2021,1991,M,25-29,-180750
2021,1991,M,30-34,-174952
2021,1991,M,35-39,-158175
2021,1991,M,40-44,-120184
2021,1991,M,45-49,-86297
2021,1991,M,50-54,-114074
2021,1991,M,55-59,-110798
2021,1991,M,60-64,-91391
2021,1991,M,65-69,-47796
2021,1991,M,70-74,-22785
2021,1991,M,75-79,-19076
2021,1991,M,80-84,-12614
2021,1991,M,85-89,-4367
2021,1991,M,90-94,-927
2021,1991,M,95-99,-106
2021,1991,M,100-104,-14
2021,1991,M,105-109,-7
2021,1991,M,110-114,-4
2021,1991,M,115-120,-2
2021,2013,M,0-4,-89442
2021,2013,M,5-9,-90881
2021,2013,M,10-14,-98653
2021,2013,M,15-19,-124900
2021,2013,M,20-24,-116883
2021,2013,M,25-29,-129248
2021,2013,M,30-34,-128593
2021,2013,M,35-39,-126145
2021,2013,M,40-44,-121595
2021,2013,M,45-49,-130087
2021,2013,M,50-54,-136153
2021,2013,M,55-59,-125576
2021,2013,M,60-64,-104970
2021,2013,M,65-69,-69066
2021,2013,M,70-74,-59854
2021,2013,M,75-79,-47403
2021,2013,M,80-84,-23769
2021,2013,M,85-89,-7555
2021,2013,M,90-94,-1311
2021,2013,M,95-99,-108
2021,2013,M,100-104,-29
2021,2013,M,105-109,-17
2021,2013,M,110-114,-32
2021,2013,M,115-120,0
2021,1971,F,0-4,198376
2021,1971,F,5-9,216939
2021,1971,F,10-14,217133
2021,1971,F,15-19,202172
2021,1971,F,20-24,157244
2021,1971,F,25-29,116003
2021,1971,F,30-34,148858
2021,1971,F,35-39,141447
2021,1971,F,40-44,124235
2021,1971,F,45-49,96224
2021,1971,F,50-54,60771
2021,1971,F,55-59,65801
2021,1971,F,60-64,59640
2021,1971,F,65-69,42218
2021,1971,F,70-74,30413
2021,1971,F,75-79,13548
2021,1971,F,80-84,7852
2021,1971,F,85-89,3476
2021,1971,F,90-94,1383
2021,1971,F,95-99,514
2021,1971,F,100-104,47
2021,1971,F,105-109,0
2021,1971,F,110-114,0
2021,1971,F,115-120,0
2021,1981,F,0-4,170690
2021,1981,F,5-9,177130
2021,1981,F,10-14,189147
2021,1981,F,15-19,207896
2021,1981,F,20-24,186691
2021,1981,F,25-29,159698
2021,1981,F,30-34,133472
2021,1981,F,35-39,104397
2021,1981,F,40-44,137357
2021,1981,F,45-49,131616
2021,1981,F,50-54,116935
2021,1981,F,55-59,90094
2021,1981,F,60-64,54623
2021,1981,F,65-69,54267
2021,1981,F,70-74,42792
2021,1981,F,75-79,25147
2021,1981,F,80-84,14123
2021,1981,F,85-89,4446
2021,1981,F,90-94,1798
2021,1981,F,95-99,680
2021,1981,F,100-104,81
2021,1981,F,105-109,0
2021,1981,F,110-114,0
2021,1981,F,115-120,0
2021,1991,F,0-4,157108
2021,1991,F,5-9,164525
2021,1991,F,10-14,163412
2021,1991,F,15-19,165630
2021,1991,F,20-24,162094
2021,1991,F,25-29,170619
2021,1991,F,30-34,168310
2021,1991,F,35-39,152733
2021,1991,F,40-44,128815
2021,1991,F,45-49,98024
2021,1991,F,50-54,128709
2021,1991,F,55-59,122250
2021,1991,F,60-64,105128
2021,1991,F,65-69,76378
2021,1991,F,70-74,39914
2021,1991,F,75-79,31593
2021,1991,F,80-84,18145
2021,1991,F,85-89,7157
2021,1991,F,90-94,1959
2021,1991,F,95-99,329
2021,1991,F,100-104,85
2021,1991,F,105-109,12
2021,1991,F,110-114,9
2021,1991,F,115-120,2
2021,2013,F,0-4,84622
2021,2013,F,5-9,86099
2021,2013,F,10-14,94022
2021,2013,F,15-19,117842
2021,2013,F,20-24,111173
2021,2013,F,25-29,123070
2021,2013,F,30-34,124040
2021,2013,F,35-39,123121
2021,2013,F,40-44,119543
2021,2013,F,45-49,130841
2021,2013,F,50-54,140422
2021,2013,F,55-59,132961
2021,2013,F,60-64,118281
2021,2013,F,65-69,84503
2021,2013,F,70-74,80601
2021,2013,F,75-79,69864
2021,2013,F,80-84,38867
2021,2013,F,85-89,14967
2021,2013,F,90-94,3551
2021,2013,F,95-99,376
2021,2013,F,100-104,79
2021,2013,F,105-109,17
2021,2013,F,110-114,27
2021,2013,F,115-120,0
