Year,CAUSE_OF_DEATH,UNIT_MEASURE,Sex,Value
1999,neoplasms,Number,Both sexes,4.591
1999,diseases_of_the_circulatory,Number,Both sexes,15.911
1999,diseases_of_the_respiratory,Number,Both sexes,866.0
1999,diseases_of_the_digestive,Number,Both sexes,709.0
1999,symptoms_signs_and_abnormal,Number,Both sexes,2552.0
1999,injuries_poisoning_and_consequences,Number,Both sexes,1022.0
1999,total,Number,Both sexes,25651.0
1999,neoplasms,Number,M,2.752
1999,diseases_of_the_circulatory,Number,M,7.7
1999,diseases_of_the_respiratory,Number,M,498.0
1999,diseases_of_the_digestive,Number,M,445.0
1999,symptoms_signs_and_abnormal,Number,M,1347.0
1999,injuries_poisoning_and_consequences,Number,M,786.0
1999,total,Number,M,13528.0
1999,neoplasms,Number,F,1.839
1999,diseases_of_the_circulatory,Number,F,8.211
1999,diseases_of_the_respiratory,Number,F,368.0
1999,diseases_of_the_digestive,Number,F,264.0
1999,symptoms_signs_and_abnormal,Number,F,1205.0
1999,injuries_poisoning_and_consequences,Number,F,236.0
1999,total,Number,F,12123.0
2000,neoplasms,Number,Both sexes,5.122
2000,diseases_of_the_circulatory,Number,Both sexes,16.283
2000,diseases_of_the_respiratory,Number,Both sexes,805.0
2000,diseases_of_the_digestive,Number,Both sexes,848.0
2000,symptoms_signs_and_abnormal,Number,Both sexes,2860.0
2000,injuries_poisoning_and_consequences,Number,Both sexes,1091.0
2000,total,Number,Both sexes,27009.0
2000,neoplasms,Number,M,3.144
2000,diseases_of_the_circulatory,Number,M,7.81
2000,diseases_of_the_respiratory,Number,M,464.0
2000,diseases_of_the_digestive,Number,M,518.0
2000,symptoms_signs_and_abnormal,Number,M,1484.0
2000,injuries_poisoning_and_consequences,Number,M,812.0
2000,total,Number,M,14232.0
2000,neoplasms,Number,F,1.978
2000,diseases_of_the_circulatory,Number,F,8.473
2000,diseases_of_the_respiratory,Number,F,341.0
2000,diseases_of_the_digestive,Number,F,330.0
2000,symptoms_signs_and_abnormal,Number,F,1376.0
2000,injuries_poisoning_and_consequences,Number,F,279.0
2000,total,Number,F,12777.0
2001,infectious_and_parasitic,Number,Both sexes,257.0
2001,neoplasms,Number,Both sexes,5.347
2001,diseases_of_the_blood,Number,Both sexes,20.0
2001,endocrine_metabolic_and_nutritional,Number,Both sexes,667.0
2001,mental_and_behavioural_disorders,Number,Both sexes,48.0
2001,diseases_of_the_nervous,Number,Both sexes,161.0
2001,diseases_of_the_eye,Number,Both sexes,1.0
2001,diseases_of_the_circulatory,Number,Both sexes,16.328
2001,diseases_of_the_respiratory,Number,Both sexes,745.0
2001,diseases_of_the_digestive,Number,Both sexes,827.0
2001,diseases_of_the_skin,Number,Both sexes,17.0
2001,diseases_of_the_musculoskeletal,Number,Both sexes,14.0
2001,diseases_of_the_genitourinary,Number,Both sexes,397.0
2001,pregnancy_childbirth_and_the,Number,Both sexes,1.0
2001,certain_conditions_originating,Number,Both sexes,188.0
2001,congenital_malformations_deformations,Number,Both sexes,43.0
2001,symptoms_signs_and_abnormal,Number,Both sexes,3031.0
2001,injuries_poisoning_and_consequences,Number,Both sexes,1017.0
2001,external_causes_of_mortality,Number,Both sexes,261.0
2001,factors_influencing_health_status,Number,Both sexes,1.0
2001,unknown,Number,Both sexes,954.0
2001,total,Number,Both sexes,30325.0
2001,infectious_and_parasitic,Number,M,157.0
2001,neoplasms,Number,M,3.288
2001,diseases_of_the_blood,Number,M,7.0
2001,endocrine_metabolic_and_nutritional,Number,M,240.0
2001,mental_and_behavioural_disorders,Number,M,37.0
2001,diseases_of_the_nervous,Number,M,79.0
2001,diseases_of_the_eye,Number,M,1.0
2001,diseases_of_the_circulatory,Number,M,7.943
2001,diseases_of_the_respiratory,Number,M,434.0
2001,diseases_of_the_digestive,Number,M,540.0
2001,diseases_of_the_skin,Number,M,5.0
2001,diseases_of_the_musculoskeletal,Number,M,6.0
2001,diseases_of_the_genitourinary,Number,M,200.0
2001,pregnancy_childbirth_and_the,Number,M,0.0
2001,certain_conditions_originating,Number,M,109.0
2001,congenital_malformations_deformations,Number,M,18.0
2001,symptoms_signs_and_abnormal,Number,M,1637.0
2001,injuries_poisoning_and_consequences,Number,M,768.0
2001,external_causes_of_mortality,Number,M,206.0
2001,unknown,Number,M,527.0
2001,total,Number,M,16202.0
2001,infectious_and_parasitic,Number,F,100.0
2001,neoplasms,Number,F,2.059
2001,diseases_of_the_blood,Number,F,13.0
2001,endocrine_metabolic_and_nutritional,Number,F,427.0
2001,mental_and_behavioural_disorders,Number,F,11.0
2001,diseases_of_the_nervous,Number,F,82.0
2001,diseases_of_the_circulatory,Number,F,8.385
2001,diseases_of_the_respiratory,Number,F,311.0
2001,diseases_of_the_digestive,Number,F,287.0
2001,diseases_of_the_skin,Number,F,12.0
2001,diseases_of_the_musculoskeletal,Number,F,8.0
2001,diseases_of_the_genitourinary,Number,F,197.0
2001,pregnancy_childbirth_and_the,Number,F,1.0
2001,certain_conditions_originating,Number,F,79.0
2001,congenital_malformations_deformations,Number,F,25.0
2001,symptoms_signs_and_abnormal,Number,F,1394.0
2001,injuries_poisoning_and_consequences,Number,F,249.0
2001,external_causes_of_mortality,Number,F,55.0
2001,factors_influencing_health_status,Number,F,1.0
2001,unknown,Number,F,427.0
2001,total,Number,F,14123.0
2002,infectious_and_parasitic,Number,Both sexes,263.0
2002,neoplasms,Number,Both sexes,5.288
2002,diseases_of_the_blood,Number,Both sexes,19.0
2002,endocrine_metabolic_and_nutritional,Number,Both sexes,862.0
2002,mental_and_behavioural_disorders,Number,Both sexes,66.0
2002,diseases_of_the_nervous,Number,Both sexes,157.0
2002,diseases_of_the_eye,Number,Both sexes,1.0
2002,diseases_of_the_circulatory,Number,Both sexes,16.007
2002,diseases_of_the_respiratory,Number,Both sexes,817.0
2002,diseases_of_the_digestive,Number,Both sexes,820.0
2002,diseases_of_the_skin,Number,Both sexes,17.0
2002,diseases_of_the_musculoskeletal,Number,Both sexes,10.0
2002,diseases_of_the_genitourinary,Number,Both sexes,219.0
2002,pregnancy_childbirth_and_the,Number,Both sexes,3.0
2002,certain_conditions_originating,Number,Both sexes,226.0
2002,congenital_malformations_deformations,Number,Both sexes,56.0
2002,symptoms_signs_and_abnormal,Number,Both sexes,2983.0
2002,injuries_poisoning_and_consequences,Number,Both sexes,984.0
2002,external_causes_of_mortality,Number,Both sexes,242.0
2002,factors_influencing_health_status,Number,Both sexes,1.0
2002,unknown,Number,Both sexes,1790.0
2002,total,Number,Both sexes,30831.0
2002,infectious_and_parasitic,Number,M,160.0
2002,neoplasms,Number,M,3.201
2002,diseases_of_the_blood,Number,M,11.0
2002,endocrine_metabolic_and_nutritional,Number,M,300.0
2002,mental_and_behavioural_disorders,Number,M,39.0
2002,diseases_of_the_nervous,Number,M,87.0
2002,diseases_of_the_eye,Number,M,1.0
2002,diseases_of_the_circulatory,Number,M,7.544
2002,diseases_of_the_respiratory,Number,M,478.0
2002,diseases_of_the_digestive,Number,M,495.0
2002,diseases_of_the_skin,Number,M,3.0
2002,diseases_of_the_musculoskeletal,Number,M,2.0
2002,diseases_of_the_genitourinary,Number,M,120.0
2002,pregnancy_childbirth_and_the,Number,M,0.0
2002,certain_conditions_originating,Number,M,128.0
2002,congenital_malformations_deformations,Number,M,32.0
2002,symptoms_signs_and_abnormal,Number,M,1535.0
2002,injuries_poisoning_and_consequences,Number,M,751.0
2002,external_causes_of_mortality,Number,M,180.0
2002,factors_influencing_health_status,Number,M,1.0
2002,unknown,Number,M,965.0
2002,total,Number,M,16033.0
2002,infectious_and_parasitic,Number,F,103.0
2002,neoplasms,Number,F,2.087
2002,diseases_of_the_blood,Number,F,8.0
2002,endocrine_metabolic_and_nutritional,Number,F,562.0
2002,mental_and_behavioural_disorders,Number,F,27.0
2002,diseases_of_the_nervous,Number,F,70.0
2002,diseases_of_the_circulatory,Number,F,8.463
2002,diseases_of_the_respiratory,Number,F,339.0
2002,diseases_of_the_digestive,Number,F,325.0
2002,diseases_of_the_skin,Number,F,14.0
2002,diseases_of_the_musculoskeletal,Number,F,8.0
2002,diseases_of_the_genitourinary,Number,F,99.0
2002,pregnancy_childbirth_and_the,Number,F,3.0
2002,certain_conditions_originating,Number,F,98.0
2002,congenital_malformations_deformations,Number,F,24.0
2002,symptoms_signs_and_abnormal,Number,F,1448.0
2002,injuries_poisoning_and_consequences,Number,F,233.0
2002,external_causes_of_mortality,Number,F,62.0
2002,unknown,Number,F,825.0
2002,total,Number,F,14798.0
2003,neoplasms,Number,Both sexes,5.771
2003,diseases_of_the_circulatory,Number,Both sexes,16.99
2003,diseases_of_the_respiratory,Number,Both sexes,876.0
2003,diseases_of_the_digestive,Number,Both sexes,810.0
2003,symptoms_signs_and_abnormal,Number,Both sexes,3166.0
2003,injuries_poisoning_and_consequences,Number,Both sexes,950.0
2003,unknown,Number,Both sexes,770.0
2003,total,Number,Both sexes,29333.0
2003,neoplasms,Number,M,3.499
2003,diseases_of_the_circulatory,Number,M,8.001
2003,diseases_of_the_respiratory,Number,M,542.0
2003,diseases_of_the_digestive,Number,M,499.0
2003,symptoms_signs_and_abnormal,Number,M,1612.0
2003,injuries_poisoning_and_consequences,Number,M,706.0
2003,unknown,Number,M,424.0
2003,total,Number,M,15283.0
2003,neoplasms,Number,F,2.272
2003,diseases_of_the_circulatory,Number,F,8.989
2003,diseases_of_the_respiratory,Number,F,334.0
2003,diseases_of_the_digestive,Number,F,311.0
2003,symptoms_signs_and_abnormal,Number,F,1554.0
2003,injuries_poisoning_and_consequences,Number,F,244.0
2003,unknown,Number,F,346.0
2003,total,Number,F,14050.0
2004,infectious_and_parasitic,Number,Both sexes,255.0
2004,neoplasms,Number,Both sexes,5.709
2004,diseases_of_the_blood,Number,Both sexes,31.0
2004,endocrine_metabolic_and_nutritional,Number,Both sexes,993.0
2004,mental_and_behavioural_disorders,Number,Both sexes,104.0
2004,diseases_of_the_nervous,Number,Both sexes,251.0
2004,diseases_of_the_circulatory,Number,Both sexes,17.7
2004,diseases_of_the_respiratory,Number,Both sexes,907.0
2004,diseases_of_the_digestive,Number,Both sexes,839.0
2004,diseases_of_the_skin,Number,Both sexes,11.0
2004,diseases_of_the_musculoskeletal,Number,Both sexes,16.0
2004,diseases_of_the_genitourinary,Number,Both sexes,467.0
2004,pregnancy_childbirth_and_the,Number,Both sexes,1.0
2004,certain_conditions_originating,Number,Both sexes,163.0
2004,congenital_malformations_deformations,Number,Both sexes,42.0
2004,symptoms_signs_and_abnormal,Number,Both sexes,2723.0
2004,injuries_poisoning_and_consequences,Number,Both sexes,920.0
2004,external_causes_of_mortality,Number,Both sexes,273.0
2004,factors_influencing_health_status,Number,Both sexes,1.0
2004,unknown,Number,Both sexes,1210.0
2004,total,Number,Both sexes,32616.0
2004,infectious_and_parasitic,Number,M,152.0
2004,neoplasms,Number,M,3.398
2004,diseases_of_the_blood,Number,M,10.0
2004,endocrine_metabolic_and_nutritional,Number,M,377.0
2004,mental_and_behavioural_disorders,Number,M,80.0
2004,diseases_of_the_nervous,Number,M,126.0
2004,diseases_of_the_circulatory,Number,M,8.262
2004,diseases_of_the_respiratory,Number,M,551.0
2004,diseases_of_the_digestive,Number,M,498.0
2004,diseases_of_the_skin,Number,M,2.0
2004,diseases_of_the_musculoskeletal,Number,M,9.0
2004,diseases_of_the_genitourinary,Number,M,248.0
2004,certain_conditions_originating,Number,M,101.0
2004,congenital_malformations_deformations,Number,M,26.0
2004,symptoms_signs_and_abnormal,Number,M,1399.0
2004,injuries_poisoning_and_consequences,Number,M,691.0
2004,external_causes_of_mortality,Number,M,198.0
2004,factors_influencing_health_status,Number,M,1.0
2004,unknown,Number,M,651.0
2004,total,Number,M,16780.0
2004,infectious_and_parasitic,Number,F,103.0
2004,neoplasms,Number,F,2.311
2004,diseases_of_the_blood,Number,F,21.0
2004,endocrine_metabolic_and_nutritional,Number,F,616.0
2004,mental_and_behavioural_disorders,Number,F,24.0
2004,diseases_of_the_nervous,Number,F,125.0
2004,diseases_of_the_circulatory,Number,F,9.438
2004,diseases_of_the_respiratory,Number,F,356.0
2004,diseases_of_the_digestive,Number,F,341.0
2004,diseases_of_the_skin,Number,F,9.0
2004,diseases_of_the_musculoskeletal,Number,F,7.0
2004,diseases_of_the_genitourinary,Number,F,219.0
2004,pregnancy_childbirth_and_the,Number,F,1.0
2004,certain_conditions_originating,Number,F,62.0
2004,congenital_malformations_deformations,Number,F,16.0
2004,symptoms_signs_and_abnormal,Number,F,1324.0
2004,injuries_poisoning_and_consequences,Number,F,229.0
2004,external_causes_of_mortality,Number,F,75.0
2004,unknown,Number,F,559.0
2004,total,Number,F,15836.0
2005,neoplasms,Number,Both sexes,6.255
2005,diseases_of_the_circulatory,Number,Both sexes,17.915
2005,diseases_of_the_respiratory,Number,Both sexes,1242.0
2005,diseases_of_the_digestive,Number,Both sexes,818.0
2005,symptoms_signs_and_abnormal,Number,Both sexes,2394.0
