Year,CAUSE_OF_DEATH,UNIT_MEASURE,Value
1999,neoplasms,Number,123.0
1999,diseases_of_the_circulatory,Number,427.0
1999,diseases_of_the_respiratory,Number,23.25
1999,diseases_of_the_digestive,Number,19.0
1999,symptoms_signs_and_abnormal,Number,68.51
1999,injuries_poisoning_and_consequences,Number,27.44
2000,neoplasms,Number,135.0
2000,diseases_of_the_circulatory,Number,431.0
2000,diseases_of_the_respiratory,Number,21.29
2000,diseases_of_the_digestive,Number,22.0
2000,symptoms_signs_and_abnormal,Number,75.64
2000,injuries_poisoning_and_consequences,Number,28.85
2000,infectious_and_parasitic,Number,6.77
2000,neoplasms,Number,141.0
2000,diseases_of_the_blood,Number,0.53
2000,endocrine_metabolic_and_nutritional,Number,18.0
2000,mental_and_behavioural_disorders,Number,1.26
2000,diseases_of_the_nervous,Number,4.0
2000,diseases_of_the_eye,Number,0.03
2000,diseases_of_the_circulatory,Number,430.0
2000,diseases_of_the_respiratory,Number,19.62
2000,diseases_of_the_digestive,Number,22.0
2000,diseases_of_the_skin,Number,0.45
2000,diseases_of_the_genitourinary,Number,10.45
2000,certain_conditions_originating,Number,4.95
2000,congenital_malformations_deformations,Number,1.13
2000,symptoms_signs_and_abnormal,Number,79.81
2000,injuries_poisoning_and_consequences,Number,26.78
2000,external_causes_of_mortality,Number,6.87
2000,factors_influencing_health_status,Number,0.03
2000,unknown,Number,25.12
2002,infectious_and_parasitic,Number,6.87
2002,neoplasms,Number,138.0
2002,diseases_of_the_blood,Number,0.5
2002,endocrine_metabolic_and_nutritional,Number,23.0
2002,mental_and_behavioural_disorders,Number,1.72
2002,diseases_of_the_nervous,Number,4.0
2002,diseases_of_the_eye,Number,0.03
2002,diseases_of_the_circulatory,Number,418.0
2002,diseases_of_the_respiratory,Number,21.34
2002,diseases_of_the_digestive,Number,21.0
2002,diseases_of_the_skin,Number,0.44
2002,diseases_of_the_genitourinary,Number,5.72
2002,certain_conditions_originating,Number,5.9
2002,congenital_malformations_deformations,Number,1.46
2002,symptoms_signs_and_abnormal,Number,77.93
2002,injuries_poisoning_and_consequences,Number,25.71
2002,external_causes_of_mortality,Number,6.32
2002,factors_influencing_health_status,Number,0.03
2002,unknown,Number,46.76
2003,neoplasms,Number,151.0
2003,diseases_of_the_circulatory,Number,443.0
2003,diseases_of_the_respiratory,Number,22.86
2003,diseases_of_the_digestive,Number,21.0
2003,symptoms_signs_and_abnormal,Number,82.62
2003,injuries_poisoning_and_consequences,Number,24.79
2003,unknown,Number,20.09
2004,infectious_and_parasitic,Number,6.64
2004,neoplasms,Number,149.0
2004,diseases_of_the_blood,Number,0.81
2004,endocrine_metabolic_and_nutritional,Number,26.0
2004,mental_and_behavioural_disorders,Number,2.71
2004,diseases_of_the_nervous,Number,7.0
2004,diseases_of_the_circulatory,Number,461.0
2004,diseases_of_the_respiratory,Number,23.61
2004,diseases_of_the_digestive,Number,22.0
2004,diseases_of_the_skin,Number,0.29
2004,diseases_of_the_genitourinary,Number,12.16
2004,certain_conditions_originating,Number,4.24
2004,congenital_malformations_deformations,Number,1.09
2004,symptoms_signs_and_abnormal,Number,70.87
2004,injuries_poisoning_and_consequences,Number,23.95
2004,external_causes_of_mortality,Number,7.11
2004,factors_influencing_health_status,Number,0.03
2004,unknown,Number,31.49
2005,neoplasms,Number,163.0
2005,diseases_of_the_circulatory,Number,466.0
2005,diseases_of_the_respiratory,Number,32.32
2005,diseases_of_the_digestive,Number,21.0
2005,symptoms_signs_and_abnormal,Number,62.3
2005,injuries_poisoning_and_consequences,Number,24.77
2005,neoplasms,Number,3.14
2005,diseases_of_the_circulatory,Number,10.19
2005,diseases_of_the_respiratory,Number,512.0
2005,diseases_of_the_digestive,Number,390.0
2005,symptoms_signs_and_abnormal,Number,62.3
2005,injuries_poisoning_and_consequences,Number,24.77
2006,infectious_and_parasitic,Number,6.17
2006,neoplasms,Number,163.0
2006,diseases_of_the_blood,Number,0.52
2006,endocrine_metabolic_and_nutritional,Number,40.0
2006,mental_and_behavioural_disorders,Number,3.07
2006,diseases_of_the_nervous,Number,8.0
2006,diseases_of_the_eye,Number,0.03
2006,diseases_of_the_circulatory,Number,442.0
2006,diseases_of_the_respiratory,Number,29.46
2006,diseases_of_the_digestive,Number,21.0
2006,diseases_of_the_skin,Number,0.29
2006,diseases_of_the_genitourinary,Number,14.23
2006,certain_conditions_originating,Number,4.81
2006,congenital_malformations_deformations,Number,1.46
2006,symptoms_signs_and_abnormal,Number,71.4
2006,injuries_poisoning_and_consequences,Number,26.46
2006,external_causes_of_mortality,Number,5.52
2006,factors_influencing_health_status,Number,0.03
2006,unknown,Number,27.09
2007,infectious_and_parasitic,Number,6.51
2007,neoplasms,Number,175.0
2007,diseases_of_the_blood,Number,1.41
2007,endocrine_metabolic_and_nutritional,Number,41.0
2007,mental_and_behavioural_disorders,Number,4.22
2007,diseases_of_the_nervous,Number,8.0
2007,diseases_of_the_eye,Number,0.03
2007,diseases_of_the_circulatory,Number,482.0
2007,diseases_of_the_respiratory,Number,29.8
2007,diseases_of_the_digestive,Number,24.0
2007,diseases_of_the_skin,Number,0.26
2007,diseases_of_the_musculoskeletal,Number,1.0
2007,diseases_of_the_genitourinary,Number,14.52
2007,certain_conditions_originating,Number,3.46
2007,congenital_malformations_deformations,Number,1.41
2007,symptoms_signs_and_abnormal,Number,57.76
2007,injuries_poisoning_and_consequences,Number,26.81
2007,external_causes_of_mortality,Number,6.95
2007,unknown,Number,28.01
2008,infectious_and_parasitic,Number,7.16
2008,neoplasms,Number,175.0
2008,diseases_of_the_blood,Number,0.96
2008,endocrine_metabolic_and_nutritional,Number,41.0
2008,mental_and_behavioural_disorders,Number,4.4
2008,diseases_of_the_nervous,Number,7.0
2008,diseases_of_the_eye,Number,0.03
2008,diseases_of_the_circulatory,Number,468.0
2008,diseases_of_the_respiratory,Number,26.94
2008,diseases_of_the_digestive,Number,22.0
2008,diseases_of_the_skin,Number,0.26
2008,diseases_of_the_musculoskeletal,Number,1.0
2008,diseases_of_the_genitourinary,Number,14.86
2008,certain_conditions_originating,Number,3.54
2008,congenital_malformations_deformations,Number,1.59
2008,symptoms_signs_and_abnormal,Number,52.79
2008,injuries_poisoning_and_consequences,Number,31.23
2008,external_causes_of_mortality,Number,0.05
2008,unknown,Number,27.04
2009,infectious_and_parasitic,Number,7.47
2009,neoplasms,Number,181.0
2009,diseases_of_the_blood,Number,1.07
2009,endocrine_metabolic_and_nutritional,Number,52.0
2009,mental_and_behavioural_disorders,Number,4.97
2009,diseases_of_the_nervous,Number,8.0
2009,diseases_of_the_circulatory,Number,476.0
2009,diseases_of_the_respiratory,Number,29.48
2009,diseases_of_the_digestive,Number,24.0
2009,diseases_of_the_skin,Number,0.23
2009,diseases_of_the_musculoskeletal,Number,1.0
2009,diseases_of_the_genitourinary,Number,15.3
2009,certain_conditions_originating,Number,3.75
2009,congenital_malformations_deformations,Number,1.59
2009,symptoms_signs_and_abnormal,Number,51.65
2009,injuries_poisoning_and_consequences,Number,32.68
2009,external_causes_of_mortality,Number,0.05
2009,factors_influencing_health_status,Number,0.05
2009,unknown,Number,16.91
2010,infectious_and_parasitic,Number,7.42
2010,neoplasms,Number,181.0
2010,diseases_of_the_blood,Number,1.17
2010,endocrine_metabolic_and_nutritional,Number,50.0
2010,mental_and_behavioural_disorders,Number,4.45
2010,diseases_of_the_nervous,Number,9.0
2010,diseases_of_the_eye,Number,0.05
2010,diseases_of_the_circulatory,Number,489.0
2010,diseases_of_the_respiratory,Number,29.79
2010,diseases_of_the_digestive,Number,24.0
2010,diseases_of_the_skin,Number,0.36
2010,diseases_of_the_musculoskeletal,Number,1.0
2010,diseases_of_the_genitourinary,Number,15.01
2010,certain_conditions_originating,Number,3.59
2010,congenital_malformations_deformations,Number,1.64
2010,symptoms_signs_and_abnormal,Number,49.86
2010,injuries_poisoning_and_consequences,Number,29.07
2010,external_causes_of_mortality,Number,0.39
2010,unknown,Number,16.6
2011,infectious_and_parasitic,Number,7.76
2011,neoplasms,Number,188.0
2011,diseases_of_the_blood,Number,1.54
2011,endocrine_metabolic_and_nutritional,Number,51.0
2011,mental_and_behavioural_disorders,Number,4.19
