Year,UNIT_MEASURE,FORM_OF_VIOLENCE,Administrative area,SURVEY_IMPLEMENTED_BY,Value
2013,% of total,,BiH,UN Women & UNFPA,47.2
2013,% of total,,BiH,UN Women & UNFPA,11.9
2013,% of total,,BiH,UN Women & UNFPA,37.9
2013,% of total,,BiH,UN Women & UNFPA,0.0
2013,% of total,,BiH,UN Women & UNFPA,56.8
2013,% of total,,BiH,UN Women & UNFPA,56.4
2013,% of total,,BiH,UN Women & UNFPA,46.8
2013,% of total,,BiH,UN Women & UNFPA,47.5
2013,% of total,,BiH,UN Women & UNFPA,44.2
2013,% of total,,BiH,UN Women & UNFPA,44.2
2013,% of total,,BiH,UN Women & UNFPA,44.3
2013,% of total,,BiH,UN Women & UNFPA,49.2
2013,% of total,,BiH,UN Women & UNFPA,41.9
2013,% of total,,BiH,UN Women & UNFPA,10.8
2013,% of total,,BiH,UN Women & UNFPA,39.0
2013,% of total,,BiH,UN Women & UNFPA,8.2
2013,% of total,,BiH,UN Women & UNFPA,8.5
2013,% of total,,BiH,UN Women & UNFPA,24.3
2013,% of total,,BiH,UN Women & UNFPA,2.4
2013,% of total,,BiH,UN Women & UNFPA,20.8
2013,% of total,,BiH,UN Women & UNFPA,19.0
2013,% of total,,BiH,UN Women & UNFPA,4.1
2013,% of total,,BiH,UN Women & UNFPA,6.0
2013,% of total,,BiH,UN Women & UNFPA,1.3
2013,% of total,,BiH,UN Women & UNFPA,5.1
2013,% of total,,BiH,UN Women & UNFPA,0.0
2013,% of total,,BiH,UN Women & UNFPA,1.3
2013,% of total,,BiH,UN Women & UNFPA,4.8
2013,% of total,,BiH,UN Women & UNFPA,1.4
2013,% of total,,Federation of BiH,UN Women & UNFPA,47.2
2013,% of total,,Federation of BiH,UN Women & UNFPA,12.7
2013,% of total,,Federation of BiH,UN Women & UNFPA,37.0
2013,% of total,,Federation of BiH,UN Women & UNFPA,54.0
2013,% of total,,Federation of BiH,UN Women & UNFPA,54.4
2013,% of total,,Federation of BiH,UN Women & UNFPA,46.4
2013,% of total,,Federation of BiH,UN Women & UNFPA,47.0
2013,% of total,,Federation of BiH,UN Women & UNFPA,43.7
2013,% of total,,Federation of BiH,UN Women & UNFPA,46.3
2013,% of total,,Federation of BiH,UN Women & UNFPA,45.2
2013,% of total,,Federation of BiH,UN Women & UNFPA,48.5
2013,% of total,,Federation of BiH,UN Women & UNFPA,43.4
2013,% of total,,Federation of BiH,UN Women & UNFPA,11.9
2013,% of total,,Federation of BiH,UN Women & UNFPA,38.2
2013,% of total,,Federation of BiH,UN Women & UNFPA,8.0
2013,% of total,,Federation of BiH,UN Women & UNFPA,7.5
2013,% of total,,Federation of BiH,UN Women & UNFPA,23.0
2013,% of total,,Federation of BiH,UN Women & UNFPA,2.7
2013,% of total,,Federation of BiH,UN Women & UNFPA,18.1
2013,% of total,,Federation of BiH,UN Women & UNFPA,16.6
2013,% of total,,Federation of BiH,UN Women & UNFPA,4.5
2013,% of total,,Federation of BiH,UN Women & UNFPA,5.8
2013,% of total,,Federation of BiH,UN Women & UNFPA,1.5
2013,% of total,,Federation of BiH,UN Women & UNFPA,5.0
2013,% of total,,Federation of BiH,UN Women & UNFPA,1.1
2013,% of total,,Federation of BiH,UN Women & UNFPA,3.8
2013,% of total,,Federation of BiH,UN Women & UNFPA,1.0
2013,% of total,,Republika Srpska,UN Women & UNFPA,47.3
2013,% of total,,Republika Srpska,UN Women & UNFPA,10.6
2013,% of total,,Republika Srpska,UN Women & UNFPA,39.6
2013,% of total,,Republika Srpska,UN Women & UNFPA,63.2
2013,% of total,,Republika Srpska,UN Women & UNFPA,60.2
2013,% of total,,Republika Srpska,UN Women & UNFPA,47.6
2013,% of total,,Republika Srpska,UN Women & UNFPA,48.4
2013,% of total,,Republika Srpska,UN Women & UNFPA,45.1
2013,% of total,,Republika Srpska,UN Women & UNFPA,41.2
2013,% of total,,Republika Srpska,UN Women & UNFPA,42.5
2013,% of total,,Republika Srpska,UN Women & UNFPA,50.3
2013,% of total,,Republika Srpska,UN Women & UNFPA,39.1
2013,% of total,,Republika Srpska,UN Women & UNFPA,8.9
2013,% of total,,Republika Srpska,UN Women & UNFPA,40.5
2013,% of total,,Republika Srpska,UN Women & UNFPA,8.8
2013,% of total,,Republika Srpska,UN Women & UNFPA,10.3
2013,% of total,,Republika Srpska,UN Women & UNFPA,26.5
2013,% of total,,Republika Srpska,UN Women & UNFPA,1.9
2013,% of total,,Republika Srpska,UN Women & UNFPA,25.2
2013,% of total,,Republika Srpska,UN Women & UNFPA,22.6
2013,% of total,,Republika Srpska,UN Women & UNFPA,3.5
2013,% of total,,Republika Srpska,UN Women & UNFPA,6.4
2013,% of total,,Republika Srpska,UN Women & UNFPA,0.9
2013,% of total,,Republika Srpska,UN Women & UNFPA,5.2
2013,% of total,,Republika Srpska,UN Women & UNFPA,1.7
2013,% of total,,Republika Srpska,UN Women & UNFPA,6.6
2013,% of total,,Republika Srpska,UN Women & UNFPA,2.1
2019,% of total,,BiH,OSCE,48.0
2019,% of total,,BiH,OSCE,19.0
2019,% of total,,BiH,OSCE,36.0
2019,% of total,,BiH,OSCE,10.0
2019,% of total,,BiH,OSCE,35.0
2019,% of total,,BiH,OSCE,10.0
2019,% of total,,BiH,OSCE,10.0
2019,% of total,,BiH,OSCE,3.0
2019,% of total,,BiH,OSCE,18.0
2019,% of total,,BiH,OSCE,7.0
2019,% of total,,BiH,OSCE,1.0
2019,% of total,,BiH,OSCE,4.0
2019,% of total,,BiH,OSCE,1.0
2019,% of total,,BiH,OSCE,1.0
2019,% of total,,BiH,OSCE,0.4
2019,% of total,,BiH,OSCE,28.0
2019,% of total,,BiH,OSCE,10.0
2019,% of total,,BiH,OSCE,12.0
2019,% of total,,Federation of BiH,OSCE,36.0
2019,% of total,,Federation of BiH,OSCE,11.0
2019,% of total,,Federation of BiH,OSCE,36.0
2019,% of total,,Federation of BiH,OSCE,10.0
2019,% of total,,Federation of BiH,OSCE,10.0
2019,% of total,,Federation of BiH,OSCE,3.0
2019,% of total,,Federation of BiH,OSCE,23.0
2019,% of total,,Federation of BiH,OSCE,7.0
